year,age_gr,pgisced97,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Pre-primary Level,Not Disabled (<= 30%),0.98993,185,185,0.97550,1.00436
1984,17-29 y.,Primary Level,Not Disabled (<= 30%),0.90081,196,196,0.85886,0.94277
1984,17-29 y.,Lower Secondary Level,Not Disabled (<= 30%),0.98785,1035,1035,0.98118,0.99453
1984,17-29 y.,Upper Secondary Level,Not Disabled (<= 30%),0.98228,1578,1578,0.97577,0.98879
1984,17-29 y.,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.99156,124,124,0.97539,1.00773
1984,17-29 y.,First Stage of Tertiary Education,Not Disabled (<= 30%),0.99319,124,124,0.97866,1.00772
1984,17-29 y.,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.96095,124,124,0.92672,0.99519
1984,30-45 y.,Primary Level,Not Disabled (<= 30%),0.92812,385,385,0.90229,0.95396
1984,30-45 y.,Lower Secondary Level,Not Disabled (<= 30%),0.94191,772,772,0.92540,0.95842
1984,30-45 y.,Upper Secondary Level,Not Disabled (<= 30%),0.95468,1863,1945,0.94543,0.96392
1984,30-45 y.,Upper Secondary Level,Disabled (> 30%),0.04435,82,1945,0.03520,0.05350
1984,30-45 y.,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.96246,94,94,0.92383,1.00109
1984,30-45 y.,First Stage of Tertiary Education,Not Disabled (<= 30%),0.96079,240,240,0.93619,0.98540
1984,30-45 y.,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.98706,372,372,0.97557,0.99856
1984,46-65 y.,Primary Level,Not Disabled (<= 30%),0.86443,345,378,0.82987,0.89899
1984,46-65 y.,Primary Level,Disabled (> 30%),0.13403,33,378,0.09964,0.16842
1984,46-65 y.,Lower Secondary Level,Not Disabled (<= 30%),0.84461,938,1079,0.82298,0.86623
1984,46-65 y.,Lower Secondary Level,Disabled (> 30%),0.14972,141,1079,0.12842,0.17102
1984,46-65 y.,Upper Secondary Level,Not Disabled (<= 30%),0.77533,1258,1573,0.75469,0.79596
1984,46-65 y.,Upper Secondary Level,Disabled (> 30%),0.21811,315,1573,0.19769,0.23852
1984,46-65 y.,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.79845,53,53,0.68942,0.90749
1984,46-65 y.,First Stage of Tertiary Education,Not Disabled (<= 30%),0.73815,151,203,0.67752,0.79878
1984,46-65 y.,First Stage of Tertiary Education,Disabled (> 30%),0.26185,52,203,0.20122,0.32248
1984,46-65 y.,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.78312,177,220,0.72853,0.83770
1984,46-65 y.,Second Stage of Tertiary Education,Disabled (> 30%),0.21263,43,220,0.15844,0.26682
1984,66 and older,Lower Secondary Level,Not Disabled (<= 30%),0.81636,416,512,0.78279,0.84993
1984,66 and older,Lower Secondary Level,Disabled (> 30%),0.17987,96,512,0.14656,0.21317
1984,66 and older,Upper Secondary Level,Not Disabled (<= 30%),0.77056,437,567,0.73592,0.80520
1984,66 and older,Upper Secondary Level,Disabled (> 30%),0.22400,130,567,0.18965,0.25834
1984,66 and older,First Stage of Tertiary Education,Not Disabled (<= 30%),0.76710,63,63,0.66189,0.87231
1984,66 and older,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.84093,52,52,0.74055,0.94131
1985,17-29 y.,Pre-primary Level,Not Disabled (<= 30%),0.99715,186,186,0.98946,1.00483
1985,17-29 y.,Primary Level,Not Disabled (<= 30%),0.85886,149,149,0.80276,0.91495
1985,17-29 y.,Lower Secondary Level,Not Disabled (<= 30%),0.98635,948,948,0.97896,0.99374
1985,17-29 y.,Upper Secondary Level,Not Disabled (<= 30%),0.98626,1413,1413,0.98019,0.99233
1985,17-29 y.,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.97544,108,108,0.94611,1.00477
1985,17-29 y.,First Stage of Tertiary Education,Not Disabled (<= 30%),0.99329,110,110,0.97796,1.00862
1985,17-29 y.,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.96286,116,116,0.92829,0.99742
1985,30-45 y.,Primary Level,Not Disabled (<= 30%),0.89756,307,307,0.86358,0.93153
1985,30-45 y.,Lower Secondary Level,Not Disabled (<= 30%),0.94085,651,651,0.92271,0.95898
1985,30-45 y.,Upper Secondary Level,Not Disabled (<= 30%),0.95847,1695,1759,0.94914,0.96780
1985,30-45 y.,Upper Secondary Level,Disabled (> 30%),0.04016,64,1759,0.03098,0.04934
1985,30-45 y.,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.97784,84,84,0.94617,1.00951
