year,age_gr,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Not Disabled (<= 30%),0.98011,3379,3432,0.97543,0.98478
1984,17-29 y.,Disabled (> 30%),0.01763,53,3432,0.01323,0.02204
1984,30-45 y.,Not Disabled (<= 30%),0.95643,3754,3899,0.95003,0.96284
1984,30-45 y.,Disabled (> 30%),0.04222,145,3899,0.03591,0.04853
1984,46-65 y.,Not Disabled (<= 30%),0.79736,2938,3539,0.78411,0.81060
1984,46-65 y.,Disabled (> 30%),0.19722,601,3539,0.18411,0.21033
1984,66 and older,Not Disabled (<= 30%),0.79380,997,1262,0.77147,0.81613
1984,66 and older,Disabled (> 30%),0.20217,265,1262,0.18000,0.22434
1985,17-29 y.,Not Disabled (<= 30%),0.98145,3087,3138,0.97673,0.98618
1985,17-29 y.,Disabled (> 30%),0.01734,51,3138,0.01277,0.02191
1985,30-45 y.,Not Disabled (<= 30%),0.95823,3352,3467,0.95157,0.96489
1985,30-45 y.,Disabled (> 30%),0.03962,115,3467,0.03313,0.04612
1985,46-65 y.,Not Disabled (<= 30%),0.79530,2736,3274,0.78148,0.80912
1985,46-65 y.,Disabled (> 30%),0.19464,538,3274,0.18107,0.20820
1985,66 and older,Not Disabled (<= 30%),0.80696,880,1105,0.78368,0.83024
1985,66 and older,Disabled (> 30%),0.19096,225,1105,0.16777,0.21415
1987,17-29 y.,Not Disabled (<= 30%),0.98021,2946,2997,0.97522,0.98520
1987,17-29 y.,Disabled (> 30%),0.01617,51,2997,0.01165,0.02069
1987,30-45 y.,Not Disabled (<= 30%),0.95706,3052,3160,0.94999,0.96413
1987,30-45 y.,Disabled (> 30%),0.03976,108,3160,0.03295,0.04657
1987,46-65 y.,Not Disabled (<= 30%),0.81513,2694,3186,0.80165,0.82862
1987,46-65 y.,Disabled (> 30%),0.17886,492,3186,0.16555,0.19217
1987,66 and older,Not Disabled (<= 30%),0.78321,825,1061,0.75841,0.80802
1987,66 and older,Disabled (> 30%),0.21048,236,1061,0.18594,0.23502
1988,17-29 y.,Not Disabled (<= 30%),0.97977,2809,2865,0.97461,0.98492
1988,17-29 y.,Disabled (> 30%),0.01801,56,2865,0.01314,0.02288
1988,30-45 y.,Not Disabled (<= 30%),0.95712,2841,2947,0.94981,0.96444
1988,30-45 y.,Disabled (> 30%),0.04025,106,2947,0.03315,0.04735
1988,46-65 y.,Not Disabled (<= 30%),0.80714,2579,3088,0.79322,0.82105
1988,46-65 y.,Disabled (> 30%),0.18574,509,3088,0.17202,0.19946
1988,66 and older,Not Disabled (<= 30%),0.73572,754,1029,0.70877,0.76268
1988,66 and older,Disabled (> 30%),0.25704,275,1029,0.23033,0.28376
1989,17-29 y.,Not Disabled (<= 30%),0.97897,2770,2819,0.97368,0.98427
1989,17-29 y.,Disabled (> 30%),0.01661,49,2819,0.01189,0.02132
1989,30-45 y.,Not Disabled (<= 30%),0.95351,2732,2833,0.94576,0.96127
1989,30-45 y.,Disabled (> 30%),0.04328,101,2833,0.03579,0.05078
1989,46-65 y.,Not Disabled (<= 30%),0.80663,2471,2965,0.79241,0.82085
1989,46-65 y.,Disabled (> 30%),0.18774,494,2965,0.17368,0.20180
1989,66 and older,Not Disabled (<= 30%),0.71362,713,1003,0.68563,0.74161
1989,66 and older,Disabled (> 30%),0.27840,290,1003,0.25064,0.30615
1991,17-29 y.,Not Disabled (<= 30%),0.98192,3637,3688,0.97762,0.98622
1991,17-29 y.,Disabled (> 30%),0.01472,51,3688,0.01083,0.01861
1991,30-45 y.,Not Disabled (<= 30%),0.95948,4185,4305,0.95359,0.96537
1991,30-45 y.,Disabled (> 30%),0.03729,120,4305,0.03163,0.04295
1991,46-65 y.,Not Disabled (<= 30%),0.85067,3650,4118,0.83978,0.86156
1991,46-65 y.,Disabled (> 30%),0.14463,468,4118,0.13388,0.15537
1991,66 and older,Not Disabled (<= 30%),0.74974,1123,1433,0.72731,0.77218
1991,66 and older,Disabled (> 30%),0.24073,310,1433,0.21859,0.26287
1992,17-29 y.,Not Disabled (<= 30%),0.98169,3513,3565,0.97728,0.98609
1992,17-29 y.,Disabled (> 30%),0.01471,52,3565,0.01076,0.01866
1992,30-45 y.,Not Disabled (<= 30%),0.95486,4085,4243,0.94861,0.96111
1992,30-45 y.,Disabled (> 30%),0.04237,158,4243,0.03631,0.04844
1992,46-65 y.,Not Disabled (<= 30%),0.82375,3397,3981,0.81191,0.83559
