year,quintil_oecd,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Not Disabled (<= 30%),0.66589,2255,2477,0.64731,0.68447
1984,1st Quintile,Disabled (> 30%),0.09840,222,2477,0.08667,0.11014
1984,2nd Quintile,Not Disabled (<= 30%),0.69054,2152,2378,0.67196,0.70912
1984,2nd Quintile,Disabled (> 30%),0.10001,226,2378,0.08795,0.11208
1984,3rd Quintile,Not Disabled (<= 30%),0.73390,2157,2356,0.71605,0.75175
1984,3rd Quintile,Disabled (> 30%),0.08483,199,2356,0.07358,0.09609
1984,4th Quintile,Not Disabled (<= 30%),0.76505,2293,2495,0.74841,0.78169
1984,4th Quintile,Disabled (> 30%),0.08527,202,2495,0.07431,0.09623
1984,5th Quintile,Not Disabled (<= 30%),0.80032,2192,2404,0.78434,0.81630
1984,5th Quintile,Disabled (> 30%),0.09369,212,2404,0.08204,0.10534
1985,1st Quintile,Not Disabled (<= 30%),0.67626,2049,2231,0.65684,0.69569
1985,1st Quintile,Disabled (> 30%),0.09041,182,2231,0.07851,0.10231
1985,2nd Quintile,Not Disabled (<= 30%),0.69800,1955,2151,0.67860,0.71741
1985,2nd Quintile,Disabled (> 30%),0.09727,196,2151,0.08474,0.10979
1985,3rd Quintile,Not Disabled (<= 30%),0.74078,2001,2199,0.72246,0.75910
1985,3rd Quintile,Disabled (> 30%),0.10041,198,2199,0.08785,0.11298
1985,4th Quintile,Not Disabled (<= 30%),0.79934,2071,2227,0.78270,0.81598
1985,4th Quintile,Disabled (> 30%),0.07141,156,2227,0.06071,0.08211
1985,5th Quintile,Not Disabled (<= 30%),0.80229,1971,2168,0.78552,0.81906
1985,5th Quintile,Disabled (> 30%),0.09812,197,2168,0.08560,0.11065
1987,1st Quintile,Not Disabled (<= 30%),0.67477,1819,2018,0.65433,0.69521
1987,1st Quintile,Disabled (> 30%),0.10560,199,2018,0.09219,0.11901
1987,2nd Quintile,Not Disabled (<= 30%),0.69516,1882,2040,0.67518,0.71514
1987,2nd Quintile,Disabled (> 30%),0.08843,158,2040,0.07610,0.10075
1987,3rd Quintile,Not Disabled (<= 30%),0.73031,1912,2094,0.71130,0.74933
1987,3rd Quintile,Disabled (> 30%),0.08957,182,2094,0.07733,0.10180
1987,4th Quintile,Not Disabled (<= 30%),0.78976,2005,2177,0.77264,0.80688
1987,4th Quintile,Disabled (> 30%),0.08576,172,2177,0.07399,0.09753
1987,5th Quintile,Not Disabled (<= 30%),0.80963,1896,2072,0.79272,0.82654
1987,5th Quintile,Disabled (> 30%),0.08726,176,2072,0.07510,0.09941
1988,1st Quintile,Not Disabled (<= 30%),0.64510,1733,1956,0.62389,0.66631
1988,1st Quintile,Disabled (> 30%),0.12643,223,1956,0.11170,0.14116
1988,2nd Quintile,Not Disabled (<= 30%),0.67677,1793,1974,0.65613,0.69741
