year,sex,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Not Disabled (<= 30%),0.69980,5303,5943,0.68814,0.71145
1984,male,Disabled (> 30%),0.11142,640,5943,0.10342,0.11942
1984,female,Not Disabled (<= 30%),0.76006,5765,6189,0.74942,0.77070
1984,female,Disabled (> 30%),0.07528,424,6189,0.06871,0.08186
1985,male,Not Disabled (<= 30%),0.71265,4829,5395,0.70057,0.72473
1985,male,Disabled (> 30%),0.11174,566,5395,0.10333,0.12014
1985,female,Not Disabled (<= 30%),0.77162,5226,5589,0.76061,0.78263
1985,female,Disabled (> 30%),0.07297,363,5589,0.06615,0.07979
1987,male,Not Disabled (<= 30%),0.71209,4620,5154,0.69973,0.72445
1987,male,Disabled (> 30%),0.10858,534,5154,0.10008,0.11707
1987,female,Not Disabled (<= 30%),0.76567,4897,5250,0.75421,0.77713
1987,female,Disabled (> 30%),0.07537,353,5250,0.06823,0.08251
1988,male,Not Disabled (<= 30%),0.70418,4346,4911,0.69141,0.71695
1988,male,Disabled (> 30%),0.11861,565,4911,0.10957,0.12765
1988,female,Not Disabled (<= 30%),0.75459,4637,5018,0.74268,0.76650
1988,female,Disabled (> 30%),0.08469,381,5018,0.07699,0.09239
1989,male,Not Disabled (<= 30%),0.70187,4193,4742,0.68884,0.71489
1989,male,Disabled (> 30%),0.12121,549,4742,0.11192,0.13050
1989,female,Not Disabled (<= 30%),0.75203,4493,4878,0.73991,0.76415
1989,female,Disabled (> 30%),0.08926,385,4878,0.08126,0.09727
1991,male,Not Disabled (<= 30%),0.70912,6044,6610,0.69817,0.72007
1991,male,Disabled (> 30%),0.09829,566,6610,0.09111,0.10546
1991,female,Not Disabled (<= 30%),0.76096,6551,6934,0.75092,0.77100
1991,female,Disabled (> 30%),0.07075,383,6934,0.06472,0.07679
1992,male,Not Disabled (<= 30%),0.69597,5730,6414,0.68471,0.70723
1992,male,Disabled (> 30%),0.11153,684,6414,0.10383,0.11924
1992,female,Not Disabled (<= 30%),0.74391,6303,6802,0.73354,0.75428
1992,female,Disabled (> 30%),0.08394,499,6802,0.07735,0.09053
1994,male,Not Disabled (<= 30%),0.70212,5548,6192,0.69072,0.71351
1994,male,Disabled (> 30%),0.10628,644,6192,0.09861,0.11396
1994,female,Not Disabled (<= 30%),0.74321,6118,6620,0.73268,0.75373
1994,female,Disabled (> 30%),0.08402,502,6620,0.07734,0.09070
1995,male,Not Disabled (<= 30%),0.69010,5670,6342,0.67872,0.70149
1995,male,Disabled (> 30%),0.11024,672,6342,0.10253,0.11794
1995,female,Not Disabled (<= 30%),0.73180,6268,6823,0.72129,0.74231
1995,female,Disabled (> 30%),0.09257,555,6823,0.08569,0.09945
1996,male,Not Disabled (<= 30%),0.69323,5602,6274,0.68182,0.70464
1996,male,Disabled (> 30%),0.11508,672,6274,0.10718,0.12297
1996,female,Not Disabled (<= 30%),0.73784,6165,6725,0.72733,0.74835
1996,female,Disabled (> 30%),0.09228,560,6725,0.08536,0.09920
1997,male,Not Disabled (<= 30%),0.69489,5524,6179,0.68341,0.70637
1997,male,Disabled (> 30%),0.11293,655,6179,0.10504,0.12082
1997,female,Not Disabled (<= 30%),0.73914,6032,6588,0.72854,0.74975
1997,female,Disabled (> 30%),0.09196,556,6588,0.08498,0.09894
1998,male,Not Disabled (<= 30%),0.70283,6102,6866,0.69202,0.71365
1998,male,Disabled (> 30%),0.11181,764,6866,0.10435,0.11926
1998,female,Not Disabled (<= 30%),0.73791,6677,7325,0.72784,0.74799
1998,female,Disabled (> 30%),0.09369,648,7325,0.08702,0.10037
1999,male,Not Disabled (<= 30%),0.70525,5866,6598,0.69425,0.71625
1999,male,Disabled (> 30%),0.11386,732,6598,0.10620,0.12153
1999,female,Not Disabled (<= 30%),0.73505,6399,7052,0.72475,0.74535
1999,female,Disabled (> 30%),0.09861,653,7052,0.09165,0.10557
2000,male,Not Disabled (<= 30%),0.71057,10224,11554,0.70230,0.71884
2000,male,Disabled (> 30%),0.10535,1330,11554,0.09975,0.11095
2000,female,Not Disabled (<= 30%),0.75036,11408,12500,0.74277,0.75795
2000,female,Disabled (> 30%),0.08454,1092,12500,0.07966,0.08941
2001,male,Not Disabled (<= 30%),0.71437,9315,10500,0.70573,0.72301
2001,male,Disabled (> 30%),0.10441,1185,10500,0.09856,0.11026
2001,female,Not Disabled (<= 30%),0.74805,10354,11364,0.74007,0.75604
2001,female,Disabled (> 30%),0.08566,1010,11364,0.08052,0.09081
2002,male,Not Disabled (<= 30%),0.70898,9828,11105,0.70053,0.71743
2002,male,Disabled (> 30%),0.11179,1277,11105,0.10593,0.11766
2002,female,Not Disabled (<= 30%),0.74340,10788,11872,0.73554,0.75126
2002,female,Disabled (> 30%),0.09319,1084,11872,0.08796,0.09842
2003,male,Not Disabled (<= 30%),0.71218,9408,10661,0.70358,0.72077
2003,male,Disabled (> 30%),0.11128,1253,10661,0.10531,0.11725
2003,female,Not Disabled (<= 30%),0.74567,10408,11466,0.73770,0.75364
2003,female,Disabled (> 30%),0.09215,1058,11466,0.08685,0.09744
2004,male,Not Disabled (<= 30%),0.71355,9118,10361,0.70484,0.72225
2004,male,Disabled (> 30%),0.11427,1243,10361,0.10814,0.12040
