year,age_gr,migback,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Not Disabled (<= 30%),0.97905,2303,2345,0.97325,0.98485
1984,17-29 y.,No migration background,Disabled (> 30%),0.01877,42,2345,0.01328,0.02427
1984,17-29 y.,Direct migration background,Not Disabled (<= 30%),0.99405,988,988,0.98925,0.99885
1984,17-29 y.,Indirect migration background,Not Disabled (<= 30%),0.92866,88,88,0.87457,0.98274
1984,30-45 y.,No migration background,Not Disabled (<= 30%),0.95344,2385,2494,0.94517,0.96171
1984,30-45 y.,No migration background,Disabled (> 30%),0.04509,109,2494,0.03695,0.05324
1984,30-45 y.,Direct migration background,Not Disabled (<= 30%),0.97600,1351,1386,0.96794,0.98406
1984,30-45 y.,Direct migration background,Disabled (> 30%),0.02339,35,1386,0.01543,0.03135
1984,46-65 y.,No migration background,Not Disabled (<= 30%),0.79306,2080,2582,0.77744,0.80869
1984,46-65 y.,No migration background,Disabled (> 30%),0.20104,502,2582,0.18558,0.21651
1984,46-65 y.,Direct migration background,Not Disabled (<= 30%),0.83245,847,945,0.80862,0.85627
1984,46-65 y.,Direct migration background,Disabled (> 30%),0.16632,98,945,0.14256,0.19007
1984,66 and older,No migration background,Not Disabled (<= 30%),0.79021,963,1224,0.76739,0.81303
1984,66 and older,No migration background,Disabled (> 30%),0.20566,261,1224,0.18301,0.22831
1984,66 and older,Direct migration background,Not Disabled (<= 30%),0.93962,31,31,0.85439,1.02486
1985,17-29 y.,No migration background,Not Disabled (<= 30%),0.97992,2161,2203,0.97406,0.98578
1985,17-29 y.,No migration background,Disabled (> 30%),0.01874,42,2203,0.01308,0.02441
1985,17-29 y.,Direct migration background,Not Disabled (<= 30%),0.99591,818,818,0.99154,1.00029
1985,17-29 y.,Indirect migration background,Not Disabled (<= 30%),0.99051,108,108,0.97215,1.00888
1985,30-45 y.,No migration background,Not Disabled (<= 30%),0.95554,2182,2273,0.94706,0.96401
