"year","hhtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","(Ehe-)Paar ohne Kind(er)","16252.34","14484.5","2702","15548.6","16956.08"
"1984","1-Pers.- Haushalt","6650.51","0","1288","5971.11","7329.91"
"1984","Alleinerziehende","13121.87","12112.5","828","12187.32","14056.42"
"1984","Paar mit Kind(ern)","29555.71","26940","10356","29216.18","29895.24"
"1984","Sonstige","22475.73","19470","1002","20937.96","24013.5"
"1985","(Ehe-)Paar ohne Kind(er)","16283.18","14597.5","2450","15614.95","16951.41"
"1985","1-Pers.- Haushalt","6863.73","0","1140","5952.66","7774.8"
"1985","Alleinerziehende","13873.14","13039","748","12936.01","14810.27"
"1985","Paar mit Kind(ern)","30371.33","27441","9339","30011.33","30731.33"
"1985","Sonstige","21264.11","19096.5","921","20019.74","22508.48"
"1986","(Ehe-)Paar ohne Kind(er)","17570.46","16122.5","2410","16840.01","18300.91"
"1986","1-Pers.- Haushalt","6936.49","0","1079","6286.2","7586.78"
"1986","Alleinerziehende","14066.12","12731.5","712","13046.33","15085.91"
"1986","Paar mit Kind(ern)","31262.64","28245","8799","30867.39","31657.89"
"1986","Sonstige","22722.3","20517","894","21570.53","23874.07"
"1987","(Ehe-)Paar ohne Kind(er)","18411.17","17271","2384","17627.08","19195.26"
"1987","1-Pers.- Haushalt","7629.12","0","1078","6937.85","8320.39"
"1987","Alleinerziehende","15420.95","12572","705","14297.84","16544.06"
"1987","Paar mit Kind(ern)","32002.15","28989.5","8532","31649.79","32354.51"
"1987","Sonstige","25545.61","22722","943","24265.57","26825.65"
"1988","(Ehe-)Paar ohne Kind(er)","19648.32","18054.5","2336","18786.3","20510.34"
"1988","1-Pers.- Haushalt","7873.98","0","1037","7091.17","8656.79"
"1988","Alleinerziehende","16819.11","13983.5","704","15590.07","18048.15"
"1988","Paar mit Kind(ern)","33155.76","29854.5","8110","32773.12","33538.4"
"1988","Sonstige","25650.64","23652","826","24250.34","27050.94"
"1989","(Ehe-)Paar ohne Kind(er)","21192.17","20075.5","2316","20312.12","22072.22"
"1989","1-Pers.- Haushalt","8663.96","0","1040","7717.54","9610.38"
"1989","Alleinerziehende","18603.08","14247.5","660","17154.21","20051.95"
"1989","Paar mit Kind(ern)","34692.59","30979","7743","34249.21","35135.97"
"1989","Sonstige","27857.29","23801","835","26372.47","29342.11"
"1990","(Ehe-)Paar ohne Kind(er)","21869.22","19382","2368","20761.02","22977.42"
"1990","1-Pers.- Haushalt","9067.85","0","1001","8093.3","10042.4"
"1990","Alleinerziehende","18902.49","16031","640","17488.88","20316.1"
"1990","Paar mit Kind(ern)","36964.4","32489","7526","36476.56","37452.24"
"1990","Sonstige","30829.29","29242.5","898","29364.87","32293.71"
"1991","(Ehe-)Paar ohne Kind(er)","22614.41","20477.5","2396","21641.62","23587.2"
"1991","1-Pers.- Haushalt","9864.01","0","1003","8982.08","10745.94"
"1991","Alleinerziehende","18829.82","16136.5","659","17387.4","20272.24"
"1991","Paar mit Kind(ern)","38703.89","34258","7467","38234.45","39173.33"
"1991","Sonstige","31892.65","30063.5","902","30467.31","33317.99"
"1992","(Ehe-)Paar ohne Kind(er)","21809.76","18023","3390","21011.87","22607.65"
"1992","1-Pers.- Haushalt","9665.26","0","1302","8864.13","10466.39"
"1992","Alleinerziehende","17921.09","15070.5","957","16786.55","19055.63"
"1992","Paar mit Kind(ern)","36953.58","32721.5","10961","36590.53","37316.63"
"1992","Sonstige","31147.55","25385.5","1232","29868.87","32426.23"
"1993","(Ehe-)Paar ohne Kind(er)","23603.31","19215","3448","22823.07","24383.55"
"1993","1-Pers.- Haushalt","10447.14","0","1362","9633.62","11260.66"
"1993","Alleinerziehende","16839.2","15014","918","15869.04","17809.36"
