"year","bula_h","hhtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","Baden-Wuerttemberg","(Ehe-)Paar ohne Kind(er)","17463.56","15224","406","0","0","28479","41977","60741","15424.82","19502.3","0","210308","17895","20891"
"1984","Baden-Wuerttemberg","1-Pers.- Haushalt","7336.13","0","209","0","0","13498","22354","44891","5567.54","9104.72","0","118978","0","11197"
"1984","Baden-Wuerttemberg","Alleinerziehende","13876.18","13840.5","160","0","1534","20927","27405","50312","11736.91","16015.45","0","62787","12271","15993"
"1984","Baden-Wuerttemberg","Paar mit Kind(ern)","31109.9","28050","2155","14730","20452","37222","49258","87124","30289.23","31930.57","0","264849","26178","27570"
"1984","Baden-Wuerttemberg","Sonstige","36876.08","28246","184","9970","19536","35351","45082","192808","32463.53","41288.63","0","192808","31496","34921"
"1984","Bayern","(Ehe-)Paar ohne Kind(er)","16248.9","11862","482","0","0","28172","39411","76625","14469.92","18027.88","0","163102","14776","20448"
"1984","Bayern","1-Pers.- Haushalt","7146.89","0","191","0","0","14521","21433","43409","5511.23","8782.55","0","70558","0","8283"
"1984","Bayern","Alleinerziehende","16656.53","13033.5","122","0","6800","20523","31956","82829","14022.27","19290.79","0","82829","12271","17282"
"1984","Bayern","Paar mit Kind(ern)","28480.65","26359","1785","14981","19540","34425","44789","63453","27820.77","29140.53","0","220878","24702","26587"
"1984","Bayern","Sonstige","22989.38","20819.5","151","0","7014","27584","48471","111342","19259.34","26719.42","0","111342","20758","24747"
"1984","Berlin","(Ehe-)Paar ohne Kind(er)","","","","","","","","","","","","","",""
"1984","Berlin","1-Pers.- Haushalt","","","","","","","","","","","","","",""
"1984","Berlin","Alleinerziehende","","","","","","","","","","","","","",""
"1984","Berlin","Paar mit Kind(ern)","","","","","","","","","","","","","",""
"1984","Berlin","Sonstige","","","","","","","","","","","","","",""
"1984","Brandenburg","(Ehe-)Paar ohne Kind(er)","","","","","","","","","","","","","",""
"1984","Brandenburg","1-Pers.- Haushalt","","","","","","","","","","","","","",""
"1984","Brandenburg","Alleinerziehende","","","","","","","","","","","","","",""
"1984","Brandenburg","Paar mit Kind(ern)","","","","","","","","","","","","","",""
"1984","Brandenburg","Sonstige","","","","","","","","","","","","","",""
"1984","Bremen","(Ehe-)Paar ohne Kind(er)","5349.23","0","46","0","0","1892","27702","31112","1970.34","8728.12","0","31112","0","1892"
"1984","Bremen","1-Pers.- Haushalt","","","","","","","","","","","","","",""
"1984","Bremen","Alleinerziehende","","","","","","","","","","","","","",""
"1984","Bremen","Paar mit Kind(ern)","27076.5","23023.5","79","6442","14649","32911","38654","100622","22952.33","31200.67","0","100622","15936","23039"
"1984","Bremen","Sonstige","","","","","","","","","","","","","",""
"1984","Hamburg","(Ehe-)Paar ohne Kind(er)","16652.44","6289","92","0","0","24849","48282","79088","12397.46","20907.42","0","79088","12877","21219"
"1984","Hamburg","1-Pers.- Haushalt","8680.4","0","53","0","0","16694","21934","55782","5235.57","12125.23","0","55782","0","13744"
"1984","Hamburg","Alleinerziehende","","","","","","","","","","","","","",""
"1984","Hamburg","Paar mit Kind(ern)","31390.88","30386","204","17946","22701","39804","45651","75825","29422.14","33359.62","3323","75825","25025","30422"
"1984","Hamburg","Sonstige","","","","","","","","","","","","","",""
"1984","Hessen","(Ehe-)Paar ohne Kind(er)","16888.19","15262","286","0","0","31802","41707","59297","14989.84","18786.54","0","60920","15993","23110"
"1984","Hessen","1-Pers.- Haushalt","6079.39","0","121","0","0","12026","19940","40085","4406.15","7752.63","0","40085","0","7010"
"1984","Hessen","Alleinerziehende","10225.51","4985","67","0","0","15543","25360","38347","7403.13","13047.89","0","38347","3477","14623"
"1984","Hessen","Paar mit Kind(ern)","32444.56","28146.5","1017","13717","20733","41865","53760","93311","30962.61","33926.51","0","290361","23882","25626"
"1984","Hessen","Sonstige","21958.78","23136","141","0","11402","32457","35926","54606","19359.22","24558.34","0","55859","22088","30908"
"1984","Mecklenburg-Vorpommern","(Ehe-)Paar ohne Kind(er)","","","","","","","","","","","","","",""
"1984","Mecklenburg-Vorpommern","1-Pers.- Haushalt","","","","","","","","","","","","","",""
"1984","Mecklenburg-Vorpommern","Alleinerziehende","","","","","","","","","","","","","",""
"1984","Mecklenburg-Vorpommern","Paar mit Kind(ern)","","","","","","","","","","","","","",""
"1984","Mecklenburg-Vorpommern","Sonstige","","","","","","","","","","","","","",""
"1984","Niedersachsen","(Ehe-)Paar ohne Kind(er)","12865.17","9356.5","282","0","0","21116","34972","55220","11180.75","14549.59","0","55884","10507","16770"
"1984","Niedersachsen","1-Pers.- Haushalt","4221.15","0","117","0","0","4709","16658","24006","2695.02","5747.28","0","36133","0","2761"
"1984","Niedersachsen","Alleinerziehende","11093.18","7567","85","0","0","17179","25769","41721","8576.7","13609.66","0","41721","1963","12246"
"1984","Niedersachsen","Paar mit Kind(ern)","28952.52","27942","983","13677","19508","34618","45761","94282","27940.5","29964.54","0","138662","25104","27058"
"1984","Niedersachsen","Sonstige","17678.8","18274","142","0","6187","26894","30079","70277","15296.31","20061.29","0","70277","14623","21025"
"1984","Nordrhein-Westfalen","(Ehe-)Paar ohne Kind(er)","18288.29","17527","710","0","0","28070","39472","84874","16836.81","19739.77","0","225173","18534","20788"
"1984","Nordrhein-Westfalen","1-Pers.- Haushalt","7135.82","0","368","0","0","14163","20196","42795","5544.3","8727.34","0","197819","0","4141"
"1984","Nordrhein-Westfalen","Alleinerziehende","12339.12","7869","225","0","0","20017","26300","64156","10254.34","14423.9","0","75058","4180","11657"
"1984","Nordrhein-Westfalen","Paar mit Kind(ern)","29017.23","25807.5","2893","13120","18534","35995","48675","79762","28405.27","29629.19","0","187031","23417","24363"
"1984","Nordrhein-Westfalen","Sonstige","18519.8","15645.5","200","0","1473","28039","41331","62173","16397.43","20642.17","0","62173","19130","25871"
"1984","Rheinland-Pfalz,Saarland","(Ehe-)Paar ohne Kind(er)","14714.58","10152","206","0","0","25181","34512","79762","12323.51","17105.65","0","85171","11351","19966"
"1984","Rheinland-Pfalz,Saarland","1-Pers.- Haushalt","3855.1","0","77","0","0","4704","15901","29297","2029.91","5680.29","0","29297","0","0"
"1984","Rheinland-Pfalz,Saarland","Alleinerziehende","14780.28","14878.5","61","0","767","20349","30678","34512","12020.76","17539.8","0","34512","12373","16464"
"1984","Rheinland-Pfalz,Saarland","Paar mit Kind(ern)","27606.31","23791","646","11811","17435","34400","47968","95731","26398.87","28813.75","0","107558","23085","24674"
"1984","Rheinland-Pfalz,Saarland","Sonstige","23415.28","17987","95","2091","14546","37427","42872","61969","20320.54","26510.02","0","61969","17977","29369"
"1984","Saarland","(Ehe-)Paar ohne Kind(er)","","","","","","","","","","","","","",""
"1984","Saarland","1-Pers.- Haushalt","","","","","","","","","","","","","",""
"1984","Saarland","Alleinerziehende","","","","","","","","","","","","","",""
"1984","Saarland","Paar mit Kind(ern)","","","","","","","","","","","","","",""
"1984","Saarland","Sonstige","","","","","","","","","","","","","",""
"1984","Sachsen","(Ehe-)Paar ohne Kind(er)","","","","","","","","","","","","","",""
"1984","Sachsen","1-Pers.- Haushalt","","","","","","","","","","","","","",""
"1984","Sachsen","Alleinerziehende","","","","","","","","","","","","","",""
"1984","Sachsen","Paar mit Kind(ern)","","","","","","","","","","","","","",""
"1984","Sachsen","Sonstige","","","","","","","","","","","","","",""
"1984","Sachsen-Anhalt","(Ehe-)Paar ohne Kind(er)","","","","","","","","","","","","","",""
"1984","Sachsen-Anhalt","1-Pers.- Haushalt","","","","","","","","","","","","","",""
"1984","Sachsen-Anhalt","Alleinerziehende","","","","","","","","","","","","","",""
"1984","Sachsen-Anhalt","Paar mit Kind(ern)","","","","","","","","","","","","","",""
"1984","Sachsen-Anhalt","Sonstige","","","","","","","","","","","","","",""
"1984","Schleswig-Holstein","(Ehe-)Paar ohne Kind(er)","12373.09","8718","88","0","0","21899","32723","50877","9489.22","15256.96","0","50877","6136","16259"
"1984","Schleswig-Holstein","1-Pers.- Haushalt","9170.62","3650.5","53","0","0","15374","23219","53686","5818.48","12522.76","0","53686","0","13654"
