"year","quintil","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","1 Einkommensschwächstes Quintil","Laendlicher Raum","17740.46","17139.5","2818","0","1534","26868","37782","65206","17177.57","18303.35","0","93987","18713","20304"
"1995","1 Einkommensschwächstes Quintil","Staedtischer Raum","18734.41","17593","4287","0","0","28336","38858","84465","18197.4","19271.42","0","171198","21229","22241"
"1995","2","Laendlicher Raum","26403.22","28058","1765","0","11044","40653","48419","65521","25621.07","27185.37","0","88126","31271","32672"
"1995","2","Staedtischer Raum","26389.58","28707.5","3185","0","5096","39165","48812","79199","25745.14","27034.02","0","136763","32211","33541"
"1995","3","Laendlicher Raum","36333.73","38526.5","983","0","20298","50515","61322","85572","34322.69","38344.77","0","390116","40822","42949"
"1995","3","Staedtischer Raum","36933.44","39000","2034","0","22057","51154","65660","95785","35973.14","37893.74","0","153741","40928","43143"
"1995","4","Laendlicher Raum","48467.59","48434","478","0","35688","64372","79653","121687","46295.3","50639.88","0","126837","50490","54964"
"1995","4","Staedtischer Raum","45439.34","47877.5","1317","0","30678","61202","75140","107330","44076.87","46801.81","0","131408","50516","52441"
"1995","5 Einkommensstärkstes Quintil","Laendlicher Raum","64994.57","69634.5","160","0","35944","83187","93566","197052","58846.6","71142.54","0","197052","70558","78759"
"1995","5 Einkommensstärkstes Quintil","Staedtischer Raum","61551.83","64440","685","0","35867","82778","108120","201149","58423.26","64680.4","0","301664","67757","72348"
"1996","1 Einkommensschwächstes Quintil","Laendlicher Raum","18251.05","17068.5","2475","0","184","27917","37469","88943","17560.17","18941.93","0","130104","20503","22026"
"1996","1 Einkommensschwächstes Quintil","Staedtischer Raum","18522.75","16080.5","3899","0","0","29348","40085","81230","17959.06","19086.44","0","167222","21372","22232"
"1996","2","Laendlicher Raum","27187.73","28248.5","1855","0","8181","42182","52663","64621","26347.19","28028.27","0","99150","30678","32498"
"1996","2","Staedtischer Raum","28120.57","29906.5","3081","0","10942","40965","50558","82636","27438.37","28802.77","0","149502","32032","33592"
"1996","3","Laendlicher Raum","37118.62","39507.5","1041","0","23443","50107","62937","80273","35893.42","38343.82","0","100520","40230","43511"
"1996","3","Staedtischer Raum","36209.35","37424.5","2115","0","19429","51078","66954","102477","35245.55","37173.15","0","142068","41065","43345"
"1996","4","Laendlicher Raum","48637.01","50666.5","490","0","32160","66800","82819","114018","46384.35","50889.67","0","115322","51487","56907"
"1996","4","Staedtischer Raum","44911.72","49314.5","1411","0","28784","61304","75804","98158","43489.33","46334.11","0","433269","50618","52255"
"1996","5 Einkommensstärkstes Quintil","Laendlicher Raum","66188.88","63132","213","0","39881","83064","97708","321705","59872.59","72505.17","0","321705","62378","71146"
"1996","5 Einkommensstärkstes Quintil","Staedtischer Raum","63264.22","64039.5","759","0","36813","88024","111087","245418","60279.73","66248.71","0","266287","68574","76059"
"1997","1 Einkommensschwächstes Quintil","Laendlicher Raum","19283.92","17932","2336","0","828","29093","39881","75770","18452.62","20115.22","0","236268","20720","21934"
"1997","1 Einkommensschwächstes Quintil","Staedtischer Raum","19516.01","18166","3651","0","0","29058","40392","85273","18916.28","20115.74","0","171602","20983","22139"
"1997","2","Laendlicher Raum","25508.91","25308","1866","0","3375","39881","52121","75131","24608.28","26409.54","0","109627","28837","30998"
"1997","2","Staedtischer Raum","27065.23","29112.5","2961","0","2163","40907","52313","91010","26338.96","27791.5","0","171206","32723","34062"
"1997","3","Laendlicher Raum","35890.04","38023","1036","0","17179","50720","64932","106911","34501.46","37278.62","0","118466","41005","44248"
"1997","3","Staedtischer Raum","35791.35","38126.5","2255","0","21484","51768","61815","85191","34912.52","36670.18","0","103730","40998","42949"
"1997","4","Laendlicher Raum","46901.69","47611.5","550","0","33234","65113","76694","93566","44954.07","48849.31","0","110183","51385","55986"
