"year","hhtyp","quintil","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1995","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","8157.73","0","892","7305.05","9010.41"
"1995","(Ehe-)Paar ohne Kind(er)","2","12847.86","3042","876","11839.91","13855.81"
"1995","(Ehe-)Paar ohne Kind(er)","3","23824.43","27523.5","836","22625.29","25023.57"
"1995","(Ehe-)Paar ohne Kind(er)","4","39522.27","46112.5","704","37954.76","41089.78"
"1995","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","60805.98","65496.5","346","56884.84","64727.12"
"1995","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","2728.28","0","509","2155.9","3300.66"
"1995","1-Pers.- Haushalt","2","7592.15","0","423","6582.19","8602.11"
"1995","1-Pers.- Haushalt","3","14188.41","12886","224","12414.69","15962.13"
"1995","1-Pers.- Haushalt","4","20847.44","25871.5","144","18192.54","23502.34"
"1995","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","26437.29","30585.5","104","20977.03","31897.55"
"1995","Alleinerziehende","1 Einkommensschwächstes Quintil","10200","5902.5","543","9061.55","11338.45"
"1995","Alleinerziehende","2","20938.27","21037.5","203","19332.49","22544.05"
"1995","Alleinerziehende","3","27366.81","28877.5","114","24654.46","30079.16"
"1995","Alleinerziehende","4","39018.87","40983.5","58","32511.18","45526.56"
"1995","Alleinerziehende","5 Einkommensstärkstes Quintil","","","","",""
"1995","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","26844.12","25256.5","4668","26395.63","27292.61"
"1995","Paar mit Kind(ern)","2","38130.62","37298.5","3113","37661.36","38599.88"
"1995","Paar mit Kind(ern)","3","51494.69","49140.5","1623","50237.31","52752.07"
"1995","Paar mit Kind(ern)","4","63802.12","63401.5","783","62418.81","65185.43"
"1995","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","87480.57","82305","336","83262.97","91698.17"
"1995","Sonstige","1 Einkommensschwächstes Quintil","21759.43","20247","493","20003.57","23515.29"
"1995","Sonstige","2","33368.12","32469","335","31088.55","35647.69"
"1995","Sonstige","3","41777.31","44530","220","39213.89","44340.73"
"1995","Sonstige","4","53038.96","56546","106","48006.41","58071.51"
"1995","Sonstige","5 Einkommensstärkstes Quintil","71729.62","58803","35","60743.61","82715.63"
"1996","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","9877.93","0","866","8879.6","10876.26"
"1996","(Ehe-)Paar ohne Kind(er)","2","11389.51","0","864","10412.2","12366.82"
"1996","(Ehe-)Paar ohne Kind(er)","3","23194.66","25507.5","832","21867.69","24521.63"
"1996","(Ehe-)Paar ohne Kind(er)","4","36828.4","45421","730","35140.48","38516.32"
"1996","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","62464.79","64756.5","390","58909.31","66020.27"
"1996","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","3323.75","0","510","2709.72","3937.78"
"1996","1-Pers.- Haushalt","2","8144.22","0","412","7079.75","9208.69"
"1996","1-Pers.- Haushalt","3","15509.55","21453.5","238","13782.94","17236.16"
"1996","1-Pers.- Haushalt","4","23069.76","25590","156","17224.86","28914.66"
"1996","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","24787.26","17932","117","19658.01","29916.51"
"1996","Alleinerziehende","1 Einkommensschwächstes Quintil","10300.92","7930","551","9379.35","11222.49"
"1996","Alleinerziehende","2","26229.56","24223.5","188","23688.78","28770.34"
"1996","Alleinerziehende","3","26910.51","22318","125","23807.43","30013.59"
"1996","Alleinerziehende","4","36879.31","36998","71","32515.73","41242.89"
"1996","Alleinerziehende","5 Einkommensstärkstes Quintil","","","","",""
"1996","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","27759.53","26225","3960","27262.44","28256.62"
"1996","Paar mit Kind(ern)","2","39154.67","37960.5","3203","38642.26","39667.08"
"1996","Paar mit Kind(ern)","3","49790.12","48986.5","1759","48984.02","50596.22"
"1996","Paar mit Kind(ern)","4","63327.99","62955.5","836","62123.58","64532.4"
"1996","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","92433.85","84097","399","88502.38","96365.32"
