"year","quintil","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1995","1 Einkommensschwächstes Quintil","18351.74","17520.5","7105","17957.98","18745.5"
"1995","2","26394.09","28545.5","4950","25894.08","26894.1"
"1995","3","36758.31","38860.5","3017","35837.42","37679.2"
"1995","4","46203.59","48049","1795","45047.72","47359.46"
"1995","5 Einkommensstärkstes Quintil","62198.02","65944","845","59408.94","64987.1"
"1996","1 Einkommensschwächstes Quintil","18421.6","16847.5","6374","17984.75","18858.45"
"1996","2","27794.63","29366","4936","27264.27","28324.99"
"1996","3","36466.41","38308.5","3156","35704.84","37227.98"
"1996","4","45805.87","49800","1901","44599.5","47012.24"
"1996","5 Einkommensstärkstes Quintil","63832.68","64039.5","972","61126.91","66538.45"
"1997","1 Einkommensschwächstes Quintil","19427.27","18010","5987","18938.56","19915.98"
"1997","2","26502.61","27968.5","4827","25936.53","27068.69"
"1997","3","35816.84","38126.5","3291","35072.81","36560.87"
"1997","4","44930.15","47384","1935","43816.78","46043.52"
"1997","5 Einkommensstärkstes Quintil","67449.66","67566.5","967","64651.12","70248.2"
"1998","1 Einkommensschwächstes Quintil","19027.19","17313","6439","18579.07","19475.31"
"1998","2","27209.55","28835.5","5174","26651.43","27767.67"
"1998","3","33817.27","36869","3597","33080.11","34554.43"
"1998","4","47172.11","49783","2383","45838.75","48505.47"
"1998","5 Einkommensstärkstes Quintil","67204.49","69011.5","1163","64767.82","69641.16"
"1999","1 Einkommensschwächstes Quintil","17414.27","16115.5","5258","16917.1","17911.44"
"1999","2","26824.5","28351.5","5303","26268.9","27380.1"
"1999","3","36356.14","37988","3663","35577.91","37134.37"
"1999","4","45826.11","49711","2438","44785.35","46866.87"
"1999","5 Einkommensstärkstes Quintil","66214.3","67454.5","1326","63955.26","68473.34"
"2000","1 Einkommensschwächstes Quintil","18314.41","15159.5","8689","17905.48","18723.34"
"2000","2","27273.67","29109","8714","26840.77","27706.57"
"2000","3","35822.72","37663","6738","35237.14","36408.3"
"2000","4","46621.32","49077.5","4752","45668.5","47574.14"
"2000","5 Einkommensstärkstes Quintil","65371.16","65810.5","2914","63765.93","66976.39"
"2001","1 Einkommensschwächstes Quintil","17231.77","13215","7277","16780.18","17683.36"
"2001","2","28111.44","29548","7647","27581.95","28640.93"
"2001","3","34607.86","35642","6305","33970.99","35244.73"
"2001","4","45191.69","47076","4636","44319.16","46064.22"
"2001","5 Einkommensstärkstes Quintil","65175.54","66135.5","2863","63464.36","66886.72"
"2002","1 Einkommensschwächstes Quintil","18307.78","12514.5","6246","17767.24","18848.32"
"2002","2","27296.02","28175","6580","26712.99","27879.05"
"2002","3","32264.56","34192","5965","31619.56","32909.56"
"2002","4","42564.59","43980","5859","41678.39","43450.79"
"2002","5 Einkommensstärkstes Quintil","71748.68","67475","5466","70002.67","73494.69"
