"year","hhtyp","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","",""
"1984","(Ehe-)Paar ohne Kind(er)","Westdeutschland","16252.34","14484.5","2702","15548.6","16956.08"
"1984","1-Pers.- Haushalt","Ostdeutschland","","","","",""
"1984","1-Pers.- Haushalt","Westdeutschland","6650.51","0","1288","5971.11","7329.91"
"1984","Alleinerziehende","Ostdeutschland","","","","",""
"1984","Alleinerziehende","Westdeutschland","13121.87","12112.5","828","12187.32","14056.42"
"1984","Paar mit Kind(ern)","Ostdeutschland","","","","",""
"1984","Paar mit Kind(ern)","Westdeutschland","29555.71","26940","10356","29216.18","29895.24"
"1984","Sonstige","Ostdeutschland","","","","",""
"1984","Sonstige","Westdeutschland","22475.73","19470","1002","20937.96","24013.5"
"1985","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","",""
"1985","(Ehe-)Paar ohne Kind(er)","Westdeutschland","16283.18","14597.5","2450","15614.95","16951.41"
"1985","1-Pers.- Haushalt","Ostdeutschland","","","","",""
"1985","1-Pers.- Haushalt","Westdeutschland","6863.73","0","1140","5952.66","7774.8"
"1985","Alleinerziehende","Ostdeutschland","","","","",""
"1985","Alleinerziehende","Westdeutschland","13873.14","13039","748","12936.01","14810.27"
"1985","Paar mit Kind(ern)","Ostdeutschland","","","","",""
"1985","Paar mit Kind(ern)","Westdeutschland","30371.33","27441","9339","30011.33","30731.33"
"1985","Sonstige","Ostdeutschland","","","","",""
"1985","Sonstige","Westdeutschland","21264.11","19096.5","921","20019.74","22508.48"
"1986","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","",""
"1986","(Ehe-)Paar ohne Kind(er)","Westdeutschland","17570.46","16122.5","2410","16840.01","18300.91"
"1986","1-Pers.- Haushalt","Ostdeutschland","","","","",""
"1986","1-Pers.- Haushalt","Westdeutschland","6936.49","0","1079","6286.2","7586.78"
"1986","Alleinerziehende","Ostdeutschland","","","","",""
"1986","Alleinerziehende","Westdeutschland","14066.12","12731.5","712","13046.33","15085.91"
"1986","Paar mit Kind(ern)","Ostdeutschland","","","","",""
"1986","Paar mit Kind(ern)","Westdeutschland","31262.64","28245","8799","30867.39","31657.89"
"1986","Sonstige","Ostdeutschland","","","","",""
"1986","Sonstige","Westdeutschland","22722.3","20517","894","21570.53","23874.07"
"1987","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","",""
"1987","(Ehe-)Paar ohne Kind(er)","Westdeutschland","18411.17","17271","2384","17627.08","19195.26"
"1987","1-Pers.- Haushalt","Ostdeutschland","","","","",""
"1987","1-Pers.- Haushalt","Westdeutschland","7629.12","0","1078","6937.85","8320.39"
"1987","Alleinerziehende","Ostdeutschland","","","","",""
"1987","Alleinerziehende","Westdeutschland","15420.95","12572","705","14297.84","16544.06"
"1987","Paar mit Kind(ern)","Ostdeutschland","","","","",""
"1987","Paar mit Kind(ern)","Westdeutschland","32002.15","28989.5","8532","31649.79","32354.51"
"1987","Sonstige","Ostdeutschland","","","","",""
"1987","Sonstige","Westdeutschland","25545.61","22722","943","24265.57","26825.65"
"1988","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","",""
"1988","(Ehe-)Paar ohne Kind(er)","Westdeutschland","19648.32","18054.5","2336","18786.3","20510.34"
"1988","1-Pers.- Haushalt","Ostdeutschland","","","","",""
"1988","1-Pers.- Haushalt","Westdeutschland","7873.98","0","1037","7091.17","8656.79"
"1988","Alleinerziehende","Ostdeutschland","","","","",""
"1988","Alleinerziehende","Westdeutschland","16819.11","13983.5","704","15590.07","18048.15"
"1988","Paar mit Kind(ern)","Ostdeutschland","","","","",""
"1988","Paar mit Kind(ern)","Westdeutschland","33155.76","29854.5","8110","32773.12","33538.4"
"1988","Sonstige","Ostdeutschland","","","","",""
"1988","Sonstige","Westdeutschland","25650.64","23652","826","24250.34","27050.94"
"1989","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","",""
"1989","(Ehe-)Paar ohne Kind(er)","Westdeutschland","21192.17","20075.5","2316","20312.12","22072.22"
"1989","1-Pers.- Haushalt","Ostdeutschland","","","","",""
"1989","1-Pers.- Haushalt","Westdeutschland","8663.96","0","1040","7717.54","9610.38"
"1989","Alleinerziehende","Ostdeutschland","","","","",""
"1989","Alleinerziehende","Westdeutschland","18603.08","14247.5","660","17154.21","20051.95"
"1989","Paar mit Kind(ern)","Ostdeutschland","","","","",""
"1989","Paar mit Kind(ern)","Westdeutschland","34692.59","30979","7743","34249.21","35135.97"
"1989","Sonstige","Ostdeutschland","","","","",""
"1989","Sonstige","Westdeutschland","27857.29","23801","835","26372.47","29342.11"
"1990","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","",""
"1990","(Ehe-)Paar ohne Kind(er)","Westdeutschland","21869.22","19382","2368","20761.02","22977.42"
