"year","quintil","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1995","1 Einkommensschwächstes Quintil","Ostdeutschland","15001.93","13994.5","2335","14429.34","15574.52"
"1995","1 Einkommensschwächstes Quintil","Westdeutschland","19498.53","19428.5","4770","18987.27","20009.79"
"1995","2","Ostdeutschland","24316.82","26459.5","1530","23502.96","25130.68"
"1995","2","Westdeutschland","26975.23","29406.5","3420","26352.87","27597.59"
"1995","3","Ostdeutschland","36458.58","38211","695","35056.37","37860.79"
"1995","3","Westdeutschland","36808.28","39011.5","2322","35687.31","37929.25"
"1995","4","Ostdeutschland","50854.12","51085.5","250","48225.44","53482.8"
"1995","4","Westdeutschland","45805.23","47371.5","1545","44532.62","47077.84"
"1995","5 Einkommensstärkstes Quintil","Ostdeutschland","79272.77","77729","51","70524.9","88020.64"
"1995","5 Einkommensstärkstes Quintil","Westdeutschland","61538.68","65547.5","794","58622.49","64454.87"
"1996","1 Einkommensschwächstes Quintil","Ostdeutschland","15925.69","14334","2040","15240.32","16611.06"
"1996","1 Einkommensschwächstes Quintil","Westdeutschland","19224.32","18365.5","4334","18671.18","19777.46"
"1996","2","Ostdeutschland","23659.49","23849.5","1598","22786.57","24532.41"
"1996","2","Westdeutschland","29021.28","30060","3338","28364.07","29678.49"
"1996","3","Ostdeutschland","34007.59","36276.5","793","32562.68","35452.5"
"1996","3","Westdeutschland","36928.15","38615.5","2363","36034.85","37821.45"
"1996","4","Ostdeutschland","48521.64","52110.5","289","46011.25","51032.03"
"1996","4","Westdeutschland","45567.39","49423","1612","44217.81","46916.97"
"1996","5 Einkommensstärkstes Quintil","Ostdeutschland","69198.4","64592.5","77","61912.5","76484.3"
"1996","5 Einkommensstärkstes Quintil","Westdeutschland","63588.02","64039.5","895","60713.92","66462.12"
"1997","1 Einkommensschwächstes Quintil","Ostdeutschland","16243.52","14438.5","1956","15508.17","16978.87"
"1997","1 Einkommensschwächstes Quintil","Westdeutschland","20469.3","19287.5","4031","19839.01","21099.59"
"1997","2","Ostdeutschland","22468.06","21437.5","1518","21450.36","23485.76"
"1997","2","Westdeutschland","27670.43","29375.5","3309","26995.13","28345.73"
"1997","3","Ostdeutschland","34178.75","36792","823","32660.43","35697.07"
"1997","3","Westdeutschland","36110.03","38527.5","2468","35256.43","36963.63"
"1997","4","Ostdeutschland","45473.87","50965.5","307","42879.04","48068.7"
"1997","4","Westdeutschland","44876.22","47263","1628","43646.07","46106.37"
"1997","5 Einkommensstärkstes Quintil","Ostdeutschland","79642.73","69254.5","79","65708.01","93577.45"
"1997","5 Einkommensstärkstes Quintil","Westdeutschland","66836.49","67439.5","888","64042.3","69630.68"
"1998","1 Einkommensschwächstes Quintil","Ostdeutschland","16601.93","15019","2103","15899.43","17304.43"
"1998","1 Einkommensschwächstes Quintil","Westdeutschland","19830.6","19625","4336","19260.2","20401"
"1998","2","Ostdeutschland","22991.33","23665.5","1418","22050.27","23932.39"
"1998","2","Westdeutschland","28277.75","30015.5","3756","27600.86","28954.64"
"1998","3","Ostdeutschland","30919.95","34640","903","29375.66","32464.24"
"1998","3","Westdeutschland","34422.84","37980","2694","33586.83","35258.85"
"1998","4","Ostdeutschland","45087.08","51799.5","391","42732.4","47441.76"
"1998","4","Westdeutschland","47391.52","49270","1992","45864.2","48918.84"
"1998","5 Einkommensstärkstes Quintil","Ostdeutschland","78070.14","64642","119","69684.2","86456.08"
"1998","5 Einkommensstärkstes Quintil","Westdeutschland","66444.28","69267","1044","63899.94","68988.62"
"1999","1 Einkommensschwächstes Quintil","Ostdeutschland","15316.33","14101.5","1675","14573.64","16059.02"
"1999","1 Einkommensschwächstes Quintil","Westdeutschland","18065.28","17537","3583","17426.09","18704.47"
"1999","2","Ostdeutschland","24100.47","23238.5","1624","22933.5","25267.44"
"1999","2","Westdeutschland","27603.66","29931.5","3679","26991.61","28215.71"
"1999","3","Ostdeutschland","28820.74","32543.5","954","27382.52","30258.96"
"1999","3","Westdeutschland","37944.69","39436","2709","37031.27","38858.11"
"1999","4","Ostdeutschland","45408.48","50592","406","42954.89","47862.07"
"1999","4","Westdeutschland","45870.22","49627","2032","44721.29","47019.15"
