"plh0109","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"1 Sehr wichtig","1990","(noch) kein Abschluss","Staedtischer Raum","59","0.44674124509692","0.359934196404602","0.533548293789238"
"1 Sehr wichtig","1990","(noch) kein Abschluss","Laendlicher Raum","26","","",""
"1 Sehr wichtig","1990","Hauptschule","Staedtischer Raum","1995","","",""
"1 Sehr wichtig","1990","Hauptschule","Laendlicher Raum","707","0.622582166668474","0.593551106061531","0.651613227275417"
"1 Sehr wichtig","1990","Realschule","Staedtischer Raum","812","0.649971923336231","0.622641025457178","0.677302821215284"
"1 Sehr wichtig","1990","Realschule","Laendlicher Raum","240","","",""
"1 Sehr wichtig","1990","(Fach-)Abitur","Staedtischer Raum","318","0.661359896122653","0.618392082534936","0.70432770971037"
"1 Sehr wichtig","1990","(Fach-)Abitur","Laendlicher Raum","55","0.543769368968336","0.443079968682498","0.644458769254174"
"1 Sehr wichtig","1990","AkademikerIn","Staedtischer Raum","390","0.679805714084837","0.640743486514686","0.718867941654988"
"1 Sehr wichtig","1990","AkademikerIn","Laendlicher Raum","73","0.666054397953114","0.57584616913756","0.756262626768668"
"2 Wichtig","1990","(noch) kein Abschluss","Staedtischer Raum","45","0.367222994403395","0.283053814289697","0.451392174517092"
"2 Wichtig","1990","(noch) kein Abschluss","Laendlicher Raum","11","","",""
"2 Wichtig","1990","Hauptschule","Staedtischer Raum","756","0.26836776824154","0.252445087101241","0.28429044938184"
"2 Wichtig","1990","Hauptschule","Laendlicher Raum","267","","",""
"2 Wichtig","1990","Realschule","Staedtischer Raum","276","","",""
"2 Wichtig","1990","Realschule","Laendlicher Raum","83","0.238251677493476","0.193298304860095","0.283205050126858"
"2 Wichtig","1990","(Fach-)Abitur","Staedtischer Raum","110","","",""
"2 Wichtig","1990","(Fach-)Abitur","Laendlicher Raum","32","0.350846846433386","0.254371457414282","0.447322235452489"
"2 Wichtig","1990","AkademikerIn","Staedtischer Raum","127","","",""
"2 Wichtig","1990","AkademikerIn","Laendlicher Raum","24","","",""
"3 Weniger wichtig","1990","(noch) kein Abschluss","Staedtischer Raum","12","","",""
"3 Weniger wichtig","1990","(noch) kein Abschluss","Laendlicher Raum","3","","",""
"3 Weniger wichtig","1990","Hauptschule","Staedtischer Raum","99","0.043302156740113","0.0359882946458181","0.0506160188344079"
"3 Weniger wichtig","1990","Hauptschule","Laendlicher Raum","50","0.0542546304660535","0.0406884099448867","0.0678208509872202"
"3 Weniger wichtig","1990","Realschule","Staedtischer Raum","45","0.0448109985323237","0.0329562559650582","0.0566657410995893"
