,Unnamed: 0,year,regtyp,plh0109,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,Urban regions,Very important,0.63626,3630,7041,0.62882,0.64608
1,1,1990,Urban regions,Important,0.26443,1339,7041,0.25814,0.27117
2,2,1990,Urban regions,Less important,0.04913,214,7041,0.04602,0.05172
3,3,1990,Urban regions,Unimportant,0.05018,190,7041,0.04737,0.05264
4,4,1990,Rural regions,Very important,0.62777,1108,7041,0.61305,0.64271
5,5,1990,Rural regions,Important,0.26601,422,7041,0.25526,0.27412
6,6,1990,Rural regions,Less important,0.05517,75,7041,0.05004,0.05943
7,7,1990,Rural regions,Unimportant,0.05106,63,7041,0.04574,0.05758
8,8,1992,Urban regions,Very important,0.66345,4633,10765,0.6517,0.67313
9,9,1992,Urban regions,Important,0.24324,1480,10765,0.23659,0.24915
10,10,1992,Urban regions,Less important,0.04194,220,10765,0.03892,0.04492
11,11,1992,Urban regions,Unimportant,0.05137,230,10765,0.04809,0.05429
12,12,1992,Rural regions,Very important,0.66601,3020,10765,0.64953,0.68116
13,13,1992,Rural regions,Important,0.23069,863,10765,0.22067,0.23975
14,14,1992,Rural regions,Less important,0.04432,158,10765,0.03936,0.04921
15,15,1992,Rural regions,Unimportant,0.05899,161,10765,0.05429,0.06395
16,16,1995,Urban regions,Very important,0.67644,4895,11107,0.66327,0.6901
17,17,1995,Urban regions,Important,0.23278,1502,11107,0.22588,0.24138
18,18,1995,Urban regions,Less important,0.04984,261,11107,0.04652,0.05364
19,19,1995,Urban regions,Unimportant,0.04094,186,11107,0.03806,0.04422
20,20,1995,Rural regions,Very important,0.66713,3018,11107,0.6502,0.68295
21,21,1995,Rural regions,Important,0.23641,945,11107,0.22553,0.24996
22,22,1995,Rural regions,Less important,0.04108,147,11107,0.03712,0.04511
23,23,1995,Rural regions,Unimportant,0.05538,153,11107,0.05035,0.06155
24,24,2004,Urban regions,Very important,0.63226,9548,21331,0.62261,0.64514
25,25,2004,Urban regions,Important,0.27593,3655,21331,0.26922,0.28232
26,26,2004,Urban regions,Less important,0.05565,632,21331,0.05272,0.05893
27,27,2004,Urban regions,Unimportant,0.03616,321,21331,0.03382,0.03852
28,28,2004,Rural regions,Very important,0.61952,4653,21331,0.60485,0.63341
29,29,2004,Rural regions,Important,0.29316,2047,21331,0.28353,0.30368
30,30,2004,Rural regions,Less important,0.05103,299,21331,0.04653,0.05484
31,31,2004,Rural regions,Unimportant,0.03628,176,21331,0.03285,0.03943
32,32,2008,Urban regions,Very important,0.62408,8304,19103,0.61215,0.63523
33,33,2008,Urban regions,Important,0.28181,3363,19103,0.27351,0.2886
34,34,2008,Urban regions,Less important,0.05863,566,19103,0.05532,0.06189
35,35,2008,Urban regions,Unimportant,0.03548,292,19103,0.03317,0.03862
36,36,2008,Rural regions,Very important,0.58824,4087,19103,0.57057,0.60614
37,37,2008,Rural regions,Important,0.31083,2014,19103,0.29844,0.32067
38,38,2008,Rural regions,Less important,0.06697,312,19103,0.06208,0.07231
39,39,2008,Rural regions,Unimportant,0.03396,165,19103,0.03127,0.03683
40,40,2012,Urban regions,Very important,0.61209,11184,27319,0.59981,0.62458
41,41,2012,Urban regions,Important,0.29596,4876,27319,0.28783,0.30523
42,42,2012,Urban regions,Less important,0.05643,791,27319,0.05238,0.05993
43,43,2012,Urban regions,Unimportant,0.03552,436,27319,0.03293,0.03801
44,44,2012,Rural regions,Very important,0.59649,6414,27319,0.57898,0.61239
45,45,2012,Rural regions,Important,0.31161,2921,27319,0.30183,0.32182
46,46,2012,Rural regions,Less important,0.05921,437,27319,0.0537,0.06487
47,47,2012,Rural regions,Unimportant,0.03269,260,27319,0.0296,0.03635
48,48,2016,Urban regions,Very important,0.6132,10086,24027,0.5992,0.62655
49,49,2016,Urban regions,Important,0.28516,4351,24027,0.27528,0.29507
50,50,2016,Urban regions,Less important,0.06647,757,24027,0.06094,0.07166
51,51,2016,Urban regions,Unimportant,0.03517,401,24027,0.03221,0.03874
52,52,2016,Rural regions,Very important,0.57729,5328,24027,0.55662,0.59672
53,53,2016,Rural regions,Important,0.31258,2441,24027,0.29894,0.32679
54,54,2016,Rural regions,Less important,0.07494,438,24027,0.06744,0.08192
55,55,2016,Rural regions,Unimportant,0.03519,225,24027,0.03082,0.03967
56,56,2021,Urban regions,Very important,0.59866,6916,16945,0.57977,0.61818
57,57,2021,Urban regions,Important,0.29578,3272,16945,0.28399,0.30932
58,58,2021,Urban regions,Less important,0.06771,700,16945,0.06092,0.07391
59,59,2021,Urban regions,Unimportant,0.03784,329,16945,0.03386,0.04214
60,60,2021,Rural regions,Very important,0.56148,3480,16945,0.53818,0.58982
61,61,2021,Rural regions,Important,0.30863,1685,16945,0.28985,0.3272
62,62,2021,Rural regions,Less important,0.08518,385,16945,0.07558,0.09423
63,63,2021,Rural regions,Unimportant,0.04472,178,16945,0.03653,0.05363
