year,quintil_oecd,regtyp,plh0109,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,Urban regions,Very important,0.57533,488,771,0.54042,0.61025
1990,1st Quintile,Urban regions,Important,0.25605,184,771,0.22522,0.28688
1990,1st Quintile,Urban regions,Less important,0.05763,36,771,0.04117,0.07409
1990,1st Quintile,Urban regions,Unimportant,0.11099,63,771,0.08880,0.13318
1990,1st Quintile,Rural regions,Very important,0.48650,171,279,0.42775,0.54526
1990,1st Quintile,Rural regions,Important,0.35822,108,279,0.30186,0.41459
1990,2nd Quintile,Urban regions,Very important,0.62331,654,987,0.59307,0.65356
1990,2nd Quintile,Urban regions,Important,0.26681,251,987,0.23921,0.29442
1990,2nd Quintile,Urban regions,Less important,0.04976,42,987,0.03618,0.06333
1990,2nd Quintile,Urban regions,Unimportant,0.06012,40,987,0.04528,0.07495
1990,2nd Quintile,Rural regions,Very important,0.61354,228,321,0.56019,0.66690
1990,2nd Quintile,Rural regions,Important,0.29361,93,321,0.24371,0.34351
1990,3rd Quintile,Urban regions,Very important,0.64063,747,1063,0.61177,0.66949
1990,3rd Quintile,Urban regions,Important,0.27390,276,1063,0.24708,0.30072
1990,3rd Quintile,Urban regions,Less important,0.04571,40,1063,0.03315,0.05828
1990,3rd Quintile,Rural regions,Very important,0.67445,205,266,0.61803,0.73087
1990,3rd Quintile,Rural regions,Important,0.20586,61,266,0.15718,0.25454
1990,4th Quintile,Urban regions,Very important,0.64561,795,1143,0.61787,0.67336
1990,4th Quintile,Urban regions,Important,0.26839,298,1143,0.24269,0.29409
1990,4th Quintile,Urban regions,Less important,0.05156,50,1143,0.03874,0.06439
1990,4th Quintile,Rural regions,Very important,0.66742,278,378,0.61986,0.71498
1990,4th Quintile,Rural regions,Important,0.26474,100,378,0.22021,0.30928
1990,5th Quintile,Urban regions,Very important,0.67366,954,1364,0.64877,0.69856
1990,5th Quintile,Urban regions,Important,0.25632,331,1364,0.23314,0.27950
1990,5th Quintile,Urban regions,Less important,0.04307,46,1364,0.03229,0.05385
1990,5th Quintile,Urban regions,Unimportant,0.02694,33,1364,0.01835,0.03554
1990,5th Quintile,Rural regions,Very important,0.72583,218,275,0.67301,0.77865
1990,5th Quintile,Rural regions,Important,0.18013,57,275,0.13462,0.22563
1992,1st Quintile,No answer / don't know,Very important,0.71005,35,35,0.55753,0.86257
1992,1st Quintile,Urban regions,Very important,0.58732,618,961,0.55617,0.61846
1992,1st Quintile,Urban regions,Important,0.24681,221,961,0.21953,0.27408
1992,1st Quintile,Urban regions,Less important,0.05447,47,961,0.04012,0.06883
1992,1st Quintile,Urban regions,Unimportant,0.11140,75,961,0.09150,0.13130
1992,1st Quintile,Rural regions,Very important,0.56774,802,1224,0.53997,0.59550
1992,1st Quintile,Rural regions,Important,0.26317,276,1224,0.23849,0.28785
1992,1st Quintile,Rural regions,Less important,0.05482,60,1224,0.04206,0.06758
1992,1st Quintile,Rural regions,Unimportant,0.11427,86,1224,0.09644,0.13210
1992,2nd Quintile,Urban regions,Very important,0.66140,817,1138,0.63389,0.68891
1992,2nd Quintile,Urban regions,Important,0.22830,238,1138,0.20390,0.25270
1992,2nd Quintile,Urban regions,Less important,0.04831,39,1138,0.03585,0.06078
1992,2nd Quintile,Urban regions,Unimportant,0.06199,44,1138,0.04797,0.07600
1992,2nd Quintile,Rural regions,Very important,0.70808,830,1103,0.68124,0.73493
1992,2nd Quintile,Rural regions,Important,0.19724,200,1103,0.17374,0.22073
1992,2nd Quintile,Rural regions,Less important,0.04346,42,1103,0.03142,0.05550
1992,2nd Quintile,Rural regions,Unimportant,0.05122,31,1103,0.03821,0.06424
1992,3rd Quintile,Urban regions,Very important,0.64992,886,1257,0.62354,0.67630
1992,3rd Quintile,Urban regions,Important,0.25336,283,1257,0.22931,0.27741
1992,3rd Quintile,Urban regions,Less important,0.04389,47,1257,0.03256,0.05522
1992,3rd Quintile,Urban regions,Unimportant,0.05283,41,1257,0.04046,0.06520
1992,3rd Quintile,Rural regions,Very important,0.69777,612,781,0.66554,0.73000
1992,3rd Quintile,Rural regions,Important,0.22884,169,781,0.19936,0.25832
1992,4th Quintile,Urban regions,Very important,0.68063,1045,1453,0.65665,0.70461
1992,4th Quintile,Urban regions,Important,0.24025,318,1453,0.21827,0.26222
1992,4th Quintile,Urban regions,Less important,0.03941,48,1453,0.02940,0.04941
1992,4th Quintile,Urban regions,Unimportant,0.03972,42,1453,0.02968,0.04977
1992,4th Quintile,Rural regions,Very important,0.68841,459,591,0.65104,0.72578
1992,4th Quintile,Rural regions,Important,0.24311,132,591,0.20849,0.27772
1992,5th Quintile,Urban regions,Very important,0.69751,1280,1743,0.67594,0.71908
1992,5th Quintile,Urban regions,Important,0.24657,423,1743,0.22633,0.26681
1992,5th Quintile,Urban regions,Less important,0.03249,40,1743,0.02417,0.04082
1992,5th Quintile,Rural regions,Very important,0.72643,304,386,0.68189,0.77096
1992,5th Quintile,Rural regions,Important,0.19900,82,386,0.15912,0.23888
