"plh0109","year","migback","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"1 Sehr wichtig","1990","kein Migrationshintergrund","maennlich","2106","0.639101609900623","0.622377888166731","0.655825331634515"
"1 Sehr wichtig","1990","kein Migrationshintergrund","weiblich","2289","0.625114010336158","0.608806112731833","0.641421907940484"
"1 Sehr wichtig","1990","direkter Migrationshintergrund","maennlich","147","0.714698422934057","0.652272702893476","0.777124142974639"
"1 Sehr wichtig","1990","direkter Migrationshintergrund","weiblich","162","0.63945911107756","0.577938050368011","0.700980171787109"
"1 Sehr wichtig","1990","indirekter Migrationshintergrund","maennlich","13","","",""
"1 Sehr wichtig","1990","indirekter Migrationshintergrund","weiblich","21","","",""
"1 Sehr wichtig","1990","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"1 Sehr wichtig","1990","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"2 Wichtig","1990","kein Migrationshintergrund","maennlich","857","0.282262777498639","0.26658931154725","0.297936243450029"
"2 Wichtig","1990","kein Migrationshintergrund","weiblich","800","0.254868130626911","0.240187554798884","0.269548706454937"
"2 Wichtig","1990","direkter Migrationshintergrund","maennlich","42","0.209440393215536","0.153187146293648","0.265693640137424"
"2 Wichtig","1990","direkter Migrationshintergrund","weiblich","48","0.213535838099072","0.16102910258494","0.266042573613203"
"2 Wichtig","1990","indirekter Migrationshintergrund","maennlich","7","","",""
"2 Wichtig","1990","indirekter Migrationshintergrund","weiblich","7","","",""
"2 Wichtig","1990","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"2 Wichtig","1990","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"3 Weniger wichtig","1990","kein Migrationshintergrund","maennlich","141","0.0533300094293941","0.0455057968783526","0.0611542219804356"
"3 Weniger wichtig","1990","kein Migrationshintergrund","weiblich","126","0.0472368904083428","0.0400902509760387","0.0543835298406469"
"3 Weniger wichtig","1990","direkter Migrationshintergrund","maennlich","10","","",""
"3 Weniger wichtig","1990","direkter Migrationshintergrund","weiblich","10","","",""
"3 Weniger wichtig","1990","indirekter Migrationshintergrund","maennlich","1","","",""
"3 Weniger wichtig","1990","indirekter Migrationshintergrund","weiblich","1","","",""
"3 Weniger wichtig","1990","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"3 Weniger wichtig","1990","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"4 Ganz unwichtig","1990","kein Migrationshintergrund","maennlich","64","0.0253056031713439","0.0198367270505416","0.0307744792921462"
"4 Ganz unwichtig","1990","kein Migrationshintergrund","weiblich","170","0.0727809686285881","0.0640297438572888","0.0815321933998874"
"4 Ganz unwichtig","1990","direkter Migrationshintergrund","maennlich","2","","",""
"4 Ganz unwichtig","1990","direkter Migrationshintergrund","weiblich","14","","",""
"4 Ganz unwichtig","1990","indirekter Migrationshintergrund","maennlich","2","","",""
"4 Ganz unwichtig","1990","indirekter Migrationshintergrund","weiblich","1","","",""
"4 Ganz unwichtig","1990","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"4 Ganz unwichtig","1990","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"1 Sehr wichtig","1991","kein Migrationshintergrund","maennlich","","","",""
"1 Sehr wichtig","1991","kein Migrationshintergrund","weiblich","","","",""
"1 Sehr wichtig","1991","direkter Migrationshintergrund","maennlich","","","",""
"1 Sehr wichtig","1991","direkter Migrationshintergrund","weiblich","","","",""
"1 Sehr wichtig","1991","indirekter Migrationshintergrund","maennlich","","","",""
"1 Sehr wichtig","1991","indirekter Migrationshintergrund","weiblich","","","",""
"1 Sehr wichtig","1991","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"1 Sehr wichtig","1991","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"2 Wichtig","1991","kein Migrationshintergrund","maennlich","","","",""
"2 Wichtig","1991","kein Migrationshintergrund","weiblich","","","",""
"2 Wichtig","1991","direkter Migrationshintergrund","maennlich","","","",""
