year,age_gr,sampreg,plh0109,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,West,Very important,0.66358,1268,1849,0.64203,0.68512
1990,17-29 y.,West,Important,0.26111,446,1849,0.24109,0.28114
1990,17-29 y.,West,Less important,0.05850,104,1849,0.04780,0.06920
1990,17-29 y.,West,Unimportant,0.01681,31,1849,0.01095,0.02267
1990,30-45 y.,West,Very important,0.71429,1528,2036,0.69466,0.73392
1990,30-45 y.,West,Important,0.24169,457,2036,0.22309,0.26029
1990,30-45 y.,West,Less important,0.03238,51,2036,0.02469,0.04007
1990,46-65 y.,West,Very important,0.64586,1442,2150,0.62564,0.66608
1990,46-65 y.,West,Important,0.27990,591,2150,0.26092,0.29889
1990,46-65 y.,West,Less important,0.04034,63,2150,0.03202,0.04866
1990,46-65 y.,West,Unimportant,0.03389,54,2150,0.02624,0.04154
1990,66 and older,West,Very important,0.45864,500,986,0.42752,0.48976
1990,66 and older,West,Important,0.27644,267,986,0.24851,0.30437
1990,66 and older,West,Less important,0.08556,71,986,0.06809,0.10303
1990,66 and older,West,Unimportant,0.17935,148,986,0.15539,0.20331
1992,17-29 y.,West,Very important,0.66772,1248,1782,0.64584,0.68960
1992,17-29 y.,West,Important,0.25469,413,1782,0.23445,0.27492
1992,17-29 y.,West,Less important,0.05492,86,1782,0.04434,0.06550
1992,17-29 y.,West,Unimportant,0.02267,35,1782,0.01576,0.02959
1992,17-29 y.,East,Very important,0.68951,616,885,0.65901,0.72002
1992,17-29 y.,East,Important,0.22812,205,885,0.20046,0.25579
1992,17-29 y.,East,Less important,0.06359,64,885,0.04751,0.07968
1992,30-45 y.,West,Very important,0.74911,1676,2147,0.73077,0.76745
1992,30-45 y.,West,Important,0.20558,417,2147,0.18848,0.22267
1992,30-45 y.,West,Less important,0.03395,54,2147,0.02629,0.04161
1992,30-45 y.,East,Very important,0.76698,1157,1388,0.74473,0.78923
1992,30-45 y.,East,Important,0.18322,231,1388,0.16286,0.20358
1992,46-65 y.,West,Very important,0.66886,1398,2013,0.64829,0.68942
1992,46-65 y.,West,Important,0.26280,516,2013,0.24356,0.28203
1992,46-65 y.,West,Less important,0.03158,45,2013,0.02394,0.03922
1992,46-65 y.,West,Unimportant,0.03677,54,2013,0.02854,0.04499
1992,46-65 y.,East,Very important,0.73673,933,1192,0.71171,0.76174
1992,46-65 y.,East,Important,0.19501,228,1192,0.17251,0.21751
1992,46-65 y.,East,Unimportant,0.03463,31,1192,0.02425,0.04502
1992,66 and older,West,Very important,0.49353,540,992,0.46240,0.52466
1992,66 and older,West,Important,0.28464,271,992,0.25654,0.31273
1992,66 and older,West,Less important,0.05713,50,992,0.04268,0.07159
1992,66 and older,West,Unimportant,0.16470,131,992,0.14161,0.18779
1992,66 and older,East,Very important,0.44902,178,346,0.39654,0.50151
1992,66 and older,East,Important,0.19854,77,346,0.15645,0.24063
1992,66 and older,East,Unimportant,0.29151,91,346,0.24355,0.33946
1995,17-29 y.,West,Very important,0.66961,1239,1751,0.64757,0.69164
1995,17-29 y.,West,Important,0.25688,426,1751,0.23641,0.27735
1995,17-29 y.,West,Less important,0.05681,86,1751,0.04597,0.06766
1995,17-29 y.,East,Very important,0.69543,552,796,0.66344,0.72742
1995,17-29 y.,East,Important,0.21294,185,796,0.18448,0.24140
1995,17-29 y.,East,Less important,0.07319,59,796,0.05509,0.09130
1995,30-45 y.,West,Very important,0.73369,1993,2578,0.71662,0.75076
1995,30-45 y.,West,Important,0.21606,514,2578,0.20017,0.23195
1995,30-45 y.,West,Less important,0.03908,71,2578,0.03159,0.04656
1995,30-45 y.,East,Very important,0.76155,1003,1239,0.73781,0.78529
1995,30-45 y.,East,Important,0.19520,236,1239,0.17312,0.21728
1995,46-65 y.,West,Very important,0.68791,1476,2066,0.66793,0.70790
1995,46-65 y.,West,Important,0.23486,479,2066,0.21658,0.25315
1995,46-65 y.,West,Less important,0.04287,66,2066,0.03413,0.05160
1995,46-65 y.,West,Unimportant,0.03436,45,2066,0.02650,0.04221
1995,46-65 y.,East,Very important,0.70873,856,1121,0.68212,0.73534
1995,46-65 y.,East,Important,0.23488,265,1121,0.21006,0.25971
1995,66 and older,West,Very important,0.54098,594,1020,0.51039,0.57158
1995,66 and older,West,Important,0.26480,260,1020,0.23770,0.29189
1995,66 and older,West,Less important,0.05772,49,1020,0.04340,0.07204
1995,66 and older,West,Unimportant,0.13650,117,1020,0.11542,0.15758
1995,66 and older,East,Very important,0.49387,200,355,0.44179,0.54596
1995,66 and older,East,Important,0.21010,82,355,0.16767,0.25254
1995,66 and older,East,Unimportant,0.22502,73,355,0.18152,0.26853
2004,17-29 y.,West,Very important,0.59164,1739,2840,0.57356,0.60972
2004,17-29 y.,West,Important,0.31168,857,2840,0.29464,0.32872
2004,17-29 y.,West,Less important,0.07397,205,2840,0.06434,0.08360
2004,17-29 y.,West,Unimportant,0.02271,39,2840,0.01723,0.02819
