year,bula_h,quintil_oecd,plh0109,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,1st Quintile,Very important,0.57564,37,37,0.41419,0.73709
1990,Schleswig-Holstein,2nd Quintile,Very important,0.68364,32,32,0.51993,0.84735
1990,Schleswig-Holstein,4th Quintile,Very important,0.73505,43,43,0.60158,0.86852
1990,Schleswig-Holstein,5th Quintile,Very important,0.80032,37,37,0.66973,0.93091
1990,Lower Saxony,1st Quintile,Very important,0.51512,89,128,0.42820,0.60204
1990,Lower Saxony,1st Quintile,Important,0.31966,39,128,0.23856,0.40077
1990,Lower Saxony,2nd Quintile,Very important,0.65453,106,144,0.57659,0.73247
1990,Lower Saxony,2nd Quintile,Important,0.24620,38,144,0.17559,0.31680
1990,Lower Saxony,3rd Quintile,Very important,0.65531,106,140,0.57630,0.73432
1990,Lower Saxony,3rd Quintile,Important,0.23786,34,140,0.16708,0.30864
1990,Lower Saxony,4th Quintile,Very important,0.66862,135,186,0.60079,0.73645
1990,Lower Saxony,4th Quintile,Important,0.27146,51,186,0.20738,0.33555
1990,Lower Saxony,5th Quintile,Very important,0.71219,130,171,0.64413,0.78025
1990,Lower Saxony,5th Quintile,Important,0.23469,41,171,0.17098,0.29839
1990,North Rhine-Westphalia,1st Quintile,Very important,0.63913,208,280,0.58278,0.69549
1990,North Rhine-Westphalia,1st Quintile,Important,0.23226,72,280,0.18271,0.28181
1990,North Rhine-Westphalia,2nd Quintile,Very important,0.64489,265,349,0.59461,0.69516
1990,North Rhine-Westphalia,2nd Quintile,Important,0.24533,84,349,0.20012,0.29054
1990,North Rhine-Westphalia,3rd Quintile,Very important,0.68771,274,365,0.64011,0.73532
1990,North Rhine-Westphalia,3rd Quintile,Important,0.24255,91,365,0.19852,0.28658
1990,North Rhine-Westphalia,4th Quintile,Very important,0.70347,274,353,0.65576,0.75119
1990,North Rhine-Westphalia,4th Quintile,Important,0.21678,79,353,0.17373,0.25983
1990,North Rhine-Westphalia,5th Quintile,Very important,0.67401,315,435,0.62991,0.71811
1990,North Rhine-Westphalia,5th Quintile,Important,0.27643,120,435,0.23436,0.31851
1990,Hesse,1st Quintile,Very important,0.48932,50,50,0.34936,0.62929
1990,Hesse,2nd Quintile,Very important,0.50248,49,90,0.39860,0.60636
1990,Hesse,2nd Quintile,Important,0.42633,41,90,0.32358,0.52908
1990,Hesse,3rd Quintile,Very important,0.65326,94,126,0.56983,0.73670
1990,Hesse,3rd Quintile,Important,0.24437,32,126,0.16904,0.31970
1990,Hesse,4th Quintile,Very important,0.62265,103,141,0.54235,0.70294
1990,Hesse,4th Quintile,Important,0.27279,38,141,0.19901,0.34657
1990,Hesse,5th Quintile,Very important,0.70971,131,167,0.64066,0.77876
1990,Hesse,5th Quintile,Important,0.21512,36,167,0.15261,0.27763
1990,"Rhineland-Palatinate, Saarland",1st Quintile,Very important,0.51056,62,94,0.40896,0.61216
1990,"Rhineland-Palatinate, Saarland",1st Quintile,Important,0.35577,32,94,0.25846,0.45307
1990,"Rhineland-Palatinate, Saarland",2nd Quintile,Very important,0.60512,77,108,0.51250,0.69775
1990,"Rhineland-Palatinate, Saarland",2nd Quintile,Important,0.29282,31,108,0.20660,0.37905
1990,"Rhineland-Palatinate, Saarland",3rd Quintile,Very important,0.64726,80,113,0.55876,0.73575
1990,"Rhineland-Palatinate, Saarland",3rd Quintile,Important,0.29159,33,113,0.20742,0.37576
1990,"Rhineland-Palatinate, Saarland",4th Quintile,Very important,0.60986,82,117,0.52109,0.69863
1990,"Rhineland-Palatinate, Saarland",4th Quintile,Important,0.32440,35,117,0.23921,0.40960
1990,"Rhineland-Palatinate, Saarland",5th Quintile,Very important,0.68917,63,63,0.57397,0.80438
1990,Baden-Wuerttemberg,1st Quintile,Very important,0.60311,95,95,0.50421,0.70202
1990,Baden-Wuerttemberg,2nd Quintile,Very important,0.67286,169,227,0.61169,0.73403
1990,Baden-Wuerttemberg,2nd Quintile,Important,0.25886,58,227,0.20175,0.31596
1990,Baden-Wuerttemberg,3rd Quintile,Very important,0.62451,163,224,0.56095,0.68807
1990,Baden-Wuerttemberg,3rd Quintile,Important,0.29745,61,224,0.23745,0.35745
1990,Baden-Wuerttemberg,4th Quintile,Very important,0.64152,161,226,0.57885,0.70418
1990,Baden-Wuerttemberg,4th Quintile,Important,0.27855,65,226,0.21997,0.33713
1990,Baden-Wuerttemberg,5th Quintile,Very important,0.69215,195,260,0.63593,0.74837
1990,Baden-Wuerttemberg,5th Quintile,Important,0.24834,65,260,0.19572,0.30095
1990,Bavaria,1st Quintile,Very important,0.42367,83,155,0.34562,0.50171
1990,Bavaria,1st Quintile,Important,0.40957,72,155,0.33190,0.48724
1990,Bavaria,2nd Quintile,Very important,0.58369,147,210,0.51686,0.65052
1990,Bavaria,2nd Quintile,Important,0.29050,63,210,0.22895,0.35205
1990,Bavaria,3rd Quintile,Very important,0.64268,142,191,0.57454,0.71082
1990,Bavaria,3rd Quintile,Important,0.26302,49,191,0.20042,0.32563
1990,Bavaria,4th Quintile,Very important,0.60787,200,291,0.55168,0.66406
1990,Bavaria,4th Quintile,Important,0.31475,91,291,0.26130,0.36820
1990,Bavaria,5th Quintile,Very important,0.65705,228,306,0.60378,0.71033
1990,Bavaria,5th Quintile,Important,0.24041,78,306,0.19245,0.28837
1990,Berlin,4th Quintile,Very important,0.56958,39,39,0.41215,0.72701
1990,Berlin,5th Quintile,Very important,0.55530,39,39,0.39730,0.71330
1992,Schleswig-Holstein,2nd Quintile,Very important,0.77142,46,46,0.64873,0.89411
1992,Schleswig-Holstein,3rd Quintile,Very important,0.64342,33,33,0.47746,0.80938
1992,Schleswig-Holstein,4th Quintile,Very important,0.66594,35,35,0.50739,0.82448
1992,Schleswig-Holstein,5th Quintile,Very important,0.74613,40,40,0.60953,0.88272
1992,Lower Saxony,1st Quintile,Very important,0.59813,51,51,0.46223,0.73402
1992,Lower Saxony,2nd Quintile,Very important,0.70233,87,87,0.60569,0.79897
1992,Lower Saxony,3rd Quintile,Very important,0.66466,125,163,0.59196,0.73736
1992,Lower Saxony,3rd Quintile,Important,0.23895,38,163,0.17328,0.30462
1992,Lower Saxony,4th Quintile,Very important,0.71343,179,229,0.65474,0.77212
1992,Lower Saxony,4th Quintile,Important,0.22623,50,229,0.17192,0.28054
1992,Lower Saxony,5th Quintile,Very important,0.69832,160,204,0.63518,0.76146
1992,Lower Saxony,5th Quintile,Important,0.22028,44,204,0.16327,0.27729
1992,North Rhine-Westphalia,1st Quintile,Very important,0.56802,115,165,0.49220,0.64383
1992,North Rhine-Westphalia,1st Quintile,Important,0.28239,50,165,0.21349,0.35129
1992,North Rhine-Westphalia,2nd Quintile,Very important,0.67747,248,314,0.62568,0.72925
1992,North Rhine-Westphalia,2nd Quintile,Important,0.22914,66,314,0.18258,0.27570
1992,North Rhine-Westphalia,3rd Quintile,Very important,0.61726,253,350,0.56626,0.66825
1992,North Rhine-Westphalia,3rd Quintile,Important,0.28360,97,350,0.23631,0.33089
1992,North Rhine-Westphalia,4th Quintile,Very important,0.70006,315,404,0.65532,0.74480
1992,North Rhine-Westphalia,4th Quintile,Important,0.24397,89,404,0.20204,0.28590
1992,North Rhine-Westphalia,5th Quintile,Very important,0.72727,411,529,0.68928,0.76526
