year,age_gr,plh0109,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Very important,0.66358,1268,1849,0.64203,0.68512
1990,17-29 y.,Important,0.26111,446,1849,0.24109,0.28114
1990,17-29 y.,Less important,0.05850,104,1849,0.04780,0.06920
1990,17-29 y.,Unimportant,0.01681,31,1849,0.01095,0.02267
1990,30-45 y.,Very important,0.71429,1528,2036,0.69466,0.73392
1990,30-45 y.,Important,0.24169,457,2036,0.22309,0.26029
1990,30-45 y.,Less important,0.03238,51,2036,0.02469,0.04007
1990,46-65 y.,Very important,0.64586,1442,2150,0.62564,0.66608
1990,46-65 y.,Important,0.27990,591,2150,0.26092,0.29889
1990,46-65 y.,Less important,0.04034,63,2150,0.03202,0.04866
1990,46-65 y.,Unimportant,0.03389,54,2150,0.02624,0.04154
1990,66 and older,Very important,0.45864,500,986,0.42752,0.48976
1990,66 and older,Important,0.27644,267,986,0.24851,0.30437
1990,66 and older,Less important,0.08556,71,986,0.06809,0.10303
1990,66 and older,Unimportant,0.17935,148,986,0.15539,0.20331
1992,17-29 y.,Very important,0.67259,1864,2684,0.65484,0.69035
1992,17-29 y.,Important,0.24875,618,2684,0.23239,0.26510
1992,17-29 y.,Less important,0.05686,150,2684,0.04810,0.06562
1992,17-29 y.,Unimportant,0.02180,52,2684,0.01627,0.02733
1992,30-45 y.,Very important,0.75289,2833,3602,0.73881,0.76698
1992,30-45 y.,Important,0.20084,648,3602,0.18775,0.21393
1992,30-45 y.,Less important,0.03347,84,3602,0.02760,0.03934
1992,30-45 y.,Unimportant,0.01280,37,3602,0.00912,0.01647
1992,46-65 y.,Very important,0.68470,2331,3234,0.66869,0.70072
1992,46-65 y.,Important,0.24697,744,3234,0.23211,0.26184
1992,46-65 y.,Less important,0.03206,74,3234,0.02599,0.03813
1992,46-65 y.,Unimportant,0.03627,85,3234,0.02982,0.04271
1992,66 and older,Very important,0.48578,718,1360,0.45921,0.51236
1992,66 and older,Important,0.26966,348,1360,0.24606,0.29325
1992,66 and older,Less important,0.05780,72,1360,0.04539,0.07020
1992,66 and older,Unimportant,0.18676,222,1360,0.16604,0.20748
1995,17-29 y.,Very important,0.67519,1791,2592,0.65715,0.69322
1995,17-29 y.,Important,0.24738,611,2592,0.23077,0.26400
1995,17-29 y.,Less important,0.06035,145,2592,0.05118,0.06952
1995,17-29 y.,Unimportant,0.01708,45,2592,0.01209,0.02206
1995,30-45 y.,Very important,0.73908,2996,3882,0.72526,0.75290
1995,30-45 y.,Important,0.21203,750,3882,0.19917,0.22489
1995,30-45 y.,Less important,0.03770,98,3882,0.03170,0.04369
1995,30-45 y.,Unimportant,0.01120,38,3882,0.00789,0.01451
1995,46-65 y.,Very important,0.69256,2332,3232,0.67665,0.70847
1995,46-65 y.,Important,0.23487,744,3232,0.22025,0.24948
1995,46-65 y.,Less important,0.04006,90,3232,0.03330,0.04683
1995,46-65 y.,Unimportant,0.03251,66,3232,0.02639,0.03863
1995,66 and older,Very important,0.53248,794,1401,0.50634,0.55862
1995,66 and older,Important,0.25492,342,1401,0.23209,0.27775
1995,66 and older,Less important,0.06012,75,1401,0.04767,0.07257
1995,66 and older,Unimportant,0.15248,190,1401,0.13365,0.17131
2004,17-29 y.,Very important,0.58494,2350,3904,0.56948,0.60040
2004,17-29 y.,Important,0.31742,1202,3904,0.30282,0.33202
2004,17-29 y.,Less important,0.07457,292,3904,0.06633,0.08281
2004,17-29 y.,Unimportant,0.02306,60,3904,0.01836,0.02777
2004,30-45 y.,Very important,0.70562,4778,6498,0.69454,0.71671
2004,30-45 y.,Important,0.24841,1481,6498,0.23790,0.25892
2004,30-45 y.,Less important,0.03736,186,6498,0.03275,0.04198
2004,30-45 y.,Unimportant,0.00860,53,6498,0.00636,0.01085
2004,46-65 y.,Very important,0.61590,4833,7298,0.60474,0.62706
2004,46-65 y.,Important,0.30198,2071,7298,0.29145,0.31252
2004,46-65 y.,Less important,0.05405,276,7298,0.04887,0.05924
2004,46-65 y.,Unimportant,0.02806,118,7298,0.02427,0.03185
2004,66 and older,Very important,0.57540,2240,3631,0.55932,0.59148
2004,66 and older,Important,0.26685,948,3631,0.25246,0.28123
2004,66 and older,Less important,0.06119,177,3631,0.05339,0.06898
2004,66 and older,Unimportant,0.09656,266,3631,0.08696,0.10617
2008,17-29 y.,Very important,0.62662,1969,3138,0.60970,0.64355
2008,17-29 y.,Important,0.30151,958,3138,0.28545,0.31757
2008,17-29 y.,Less important,0.06137,179,3138,0.05297,0.06977
2008,17-29 y.,Unimportant,0.01049,32,3138,0.00693,0.01406
2008,30-45 y.,Very important,0.69015,3725,5148,0.67752,0.70279
2008,30-45 y.,Important,0.24779,1178,5148,0.23599,0.25958
2008,30-45 y.,Less important,0.05116,205,5148,0.04514,0.05718
2008,30-45 y.,Unimportant,0.01090,40,5148,0.00806,0.01373
2008,46-65 y.,Very important,0.58567,4219,6651,0.57383,0.59751
2008,46-65 y.,Important,0.31883,2015,6651,0.30763,0.33003
2008,46-65 y.,Less important,0.06808,302,6651,0.06202,0.07413
2008,46-65 y.,Unimportant,0.02742,115,6651,0.02350,0.03135
2008,66 and older,Very important,0.54539,2478,4166,0.53027,0.56051
2008,66 and older,Important,0.29695,1226,4166,0.28308,0.31083
2008,66 and older,Less important,0.06402,192,4166,0.05658,0.07145
2008,66 and older,Unimportant,0.09364,270,4166,0.08479,0.10249
2012,17-29 y.,Very important,0.63422,2568,3954,0.61920,0.64923
2012,17-29 y.,Important,0.28974,1108,3954,0.27560,0.30389
2012,17-29 y.,Less important,0.06646,240,3954,0.05870,0.07423
2012,17-29 y.,Unimportant,0.00957,38,3954,0.00654,0.01261
