year,bula_h,pgisced97,plh0109,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,Lower Secondary Level,Very important,1.00000,34,5673,1.00000,1.00000
1990,Schleswig-Holstein,Upper Secondary Level,Very important,1.00000,115,5673,1.00000,1.00000
1990,Hamburg,Upper Secondary Level,Very important,1.00000,48,5673,1.00000,1.00000
1990,Lower Saxony,Lower Secondary Level,Very important,0.64718,111,5673,0.64629,0.64806
1990,Lower Saxony,Lower Secondary Level,Important,0.35282,52,5673,0.35194,0.35371
1990,Lower Saxony,Upper Secondary Level,Very important,0.71588,325,5673,0.71536,0.71641
1990,Lower Saxony,Upper Secondary Level,Important,0.28412,113,5673,0.28359,0.28464
1990,Lower Saxony,First Stage of Tertiary Education,Very important,1.00000,46,5673,1.00000,1.00000
1990,Lower Saxony,Second Stage of Tertiary Education,Very important,1.00000,55,5673,1.00000,1.00000
1990,Bremen,Upper Secondary Level,Very important,1.00000,37,5673,1.00000,1.00000
1990,North Rhine-Westphalia,Lower Secondary Level,Very important,0.68253,230,5673,0.68195,0.68311
1990,North Rhine-Westphalia,Lower Secondary Level,Important,0.31747,112,5673,0.31689,0.31805
1990,North Rhine-Westphalia,Upper Secondary Level,Very important,0.71422,779,5673,0.71389,0.71456
1990,North Rhine-Westphalia,Upper Secondary Level,Important,0.24504,229,5673,0.24472,0.24535
1990,North Rhine-Westphalia,Upper Secondary Level,Less important,0.04074,35,5673,0.04059,0.04089
1990,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Very important,1.00000,45,5673,1.00000,1.00000
1990,North Rhine-Westphalia,First Stage of Tertiary Education,Very important,1.00000,104,5673,1.00000,1.00000
1990,North Rhine-Westphalia,Second Stage of Tertiary Education,Very important,0.74123,133,5673,0.74044,0.74202
1990,North Rhine-Westphalia,Second Stage of Tertiary Education,Important,0.25877,46,5673,0.25798,0.25956
1990,Hesse,Lower Secondary Level,Very important,0.69458,92,5673,0.69360,0.69556
1990,Hesse,Lower Secondary Level,Important,0.30542,40,5673,0.30444,0.30640
1990,Hesse,Upper Secondary Level,Very important,0.68139,232,5673,0.68075,0.68202
1990,Hesse,Upper Secondary Level,Important,0.31861,92,5673,0.31798,0.31925
1990,Hesse,Second Stage of Tertiary Education,Very important,1.00000,52,5673,1.00000,1.00000
1990,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Very important,0.59526,98,5673,0.59431,0.59621
1990,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Important,0.40474,56,5673,0.40379,0.40569
1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Very important,0.69742,198,5673,0.69674,0.69810
1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Important,0.30258,71,5673,0.30190,0.30326
1990,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Very important,1.00000,34,5673,1.00000,1.00000
1990,Baden-Wuerttemberg,Lower Secondary Level,Very important,0.67027,176,5673,0.66954,0.67099
1990,Baden-Wuerttemberg,Lower Secondary Level,Important,0.32973,75,5673,0.32901,0.33046
1990,Baden-Wuerttemberg,Upper Secondary Level,Very important,0.72741,429,5673,0.72695,0.72788
1990,Baden-Wuerttemberg,Upper Secondary Level,Important,0.27259,143,5673,0.27212,0.27305
1990,Baden-Wuerttemberg,First Stage of Tertiary Education,Very important,1.00000,71,5673,1.00000,1.00000
1990,Baden-Wuerttemberg,Second Stage of Tertiary Education,Very important,1.00000,66,5673,1.00000,1.00000
1990,Bavaria,Lower Secondary Level,Very important,0.54097,133,5673,0.54018,0.54177
1990,Bavaria,Lower Secondary Level,Important,0.45903,96,5673,0.45823,0.45982
1990,Bavaria,Upper Secondary Level,Very important,0.69236,469,5673,0.69192,0.69279
1990,Bavaria,Upper Secondary Level,Important,0.30764,192,5673,0.30721,0.30808
1990,Bavaria,First Stage of Tertiary Education,Very important,1.00000,64,5673,1.00000,1.00000
1990,Bavaria,Second Stage of Tertiary Education,Very important,1.00000,79,5673,1.00000,1.00000
1990,Berlin,Upper Secondary Level,Very important,1.00000,66,5673,1.00000,1.00000
1992,Schleswig-Holstein,Upper Secondary Level,Very important,0.78198,112,8772,0.78127,0.78270
1992,Schleswig-Holstein,Upper Secondary Level,Important,0.21802,31,8772,0.21730,0.21873
