year,sampreg,plh0109,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,West,Very important,0.63426,4738,7041,0.62301,0.64551
1990,West,Important,0.26478,1761,7041,0.25448,0.27509
1990,West,Less important,0.05057,289,7041,0.04545,0.05569
1990,West,Unimportant,0.05038,253,7041,0.04527,0.05549
1992,West,Very important,0.65789,4862,6956,0.64674,0.66904
1992,West,Important,0.24888,1617,6956,0.23872,0.25904
1992,West,Less important,0.04215,235,6956,0.03742,0.04687
1992,West,Unimportant,0.05109,242,6956,0.04591,0.05626
1992,East,Very important,0.69191,2884,3924,0.67746,0.70636
1992,East,Important,0.19966,741,3924,0.18715,0.21217
1992,East,Less important,0.04388,145,3924,0.03747,0.05029
1992,East,Unimportant,0.06455,154,3924,0.05686,0.07224
1995,West,Very important,0.67018,5302,7469,0.65951,0.68084
1995,West,Important,0.23894,1679,7469,0.22927,0.24861
1995,West,Less important,0.04718,272,7469,0.04237,0.05199
1995,West,Unimportant,0.04371,216,7469,0.03907,0.04834
1995,East,Very important,0.68563,2611,3638,0.67054,0.70072
1995,East,Important,0.21486,768,3638,0.20151,0.22821
1995,East,Less important,0.04613,136,3638,0.03931,0.05294
1995,East,Unimportant,0.05338,123,3638,0.04608,0.06069
2004,West,Very important,0.63358,10857,16154,0.62615,0.64101
2004,West,Important,0.27792,4258,16154,0.27101,0.28482
2004,West,Less important,0.05350,684,16154,0.05003,0.05697
2004,West,Unimportant,0.03501,355,16154,0.03218,0.03784
2004,East,Very important,0.60517,3344,5177,0.59186,0.61849
2004,East,Important,0.29637,1444,5177,0.28393,0.30881
2004,East,Less important,0.05712,247,5177,0.05080,0.06345
2004,East,Unimportant,0.04133,142,5177,0.03591,0.04675
2008,West,Very important,0.62173,9477,14377,0.61380,0.62966
2008,West,Important,0.28469,3928,14377,0.27731,0.29206
2008,West,Less important,0.05980,639,14377,0.05593,0.06368
2008,West,Unimportant,0.03378,333,14377,0.03083,0.03674
2008,East,Very important,0.57303,2914,4726,0.55893,0.58714
2008,East,Important,0.31896,1449,4726,0.30567,0.33225
2008,East,Less important,0.06778,239,4726,0.06061,0.07495
2008,East,Unimportant,0.04023,124,4726,0.03463,0.04583
2012,West,Very important,0.61537,13797,21198,0.60882,0.62192
2012,West,Important,0.29616,5966,21198,0.29002,0.30231
2012,West,Less important,0.05517,934,21198,0.05210,0.05824
2012,West,Unimportant,0.03330,501,21198,0.03088,0.03571
2012,East,Very important,0.56899,3801,6121,0.55658,0.58140
2012,East,Important,0.32359,1831,6121,0.31187,0.33531
2012,East,Less important,0.06710,294,6121,0.06083,0.07337
2012,East,Unimportant,0.04032,195,6121,0.03539,0.04525
2016,West,Very important,0.61037,12337,19045,0.60344,0.61729
2016,West,Important,0.29045,5338,19045,0.28400,0.29690
2016,West,Less important,0.06695,924,19045,0.06340,0.07050
2016,West,Unimportant,0.03223,446,19045,0.02972,0.03474
2016,East,Very important,0.56181,3077,4982,0.54803,0.57559
2016,East,Important,0.31136,1454,4982,0.29850,0.32422
2016,East,Less important,0.07823,271,4982,0.07077,0.08569
2016,East,Unimportant,0.04860,180,4982,0.04263,0.05457
2021,West,Very important,0.59221,8277,13376,0.58388,0.60054
2021,West,Important,0.29824,3894,13376,0.29049,0.30600
2021,West,Less important,0.07095,830,13376,0.06660,0.07530
2021,West,Unimportant,0.03859,375,13376,0.03533,0.04186
2021,East,Very important,0.55938,2119,3570,0.54309,0.57567
2021,East,Important,0.30481,1064,3570,0.28971,0.31991
2021,East,Less important,0.08678,255,3570,0.07755,0.09602
2021,East,Unimportant,0.04903,132,3570,0.04195,0.05611
