year,pgisced97,regtyp,plh0109,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No answer / don't know,Urban regions,Very important,0.52013,39,39,0.36128,0.67898
1990,Pre-primary Level,Urban regions,Very important,0.42601,37,71,0.31017,0.54185
1990,Pre-primary Level,Urban regions,Important,0.43627,34,71,0.32009,0.55244
1990,Lower Secondary Level,Urban regions,Very important,0.55027,678,1163,0.52167,0.57887
1990,Lower Secondary Level,Urban regions,Important,0.30673,350,1163,0.28021,0.33324
1990,Lower Secondary Level,Urban regions,Less important,0.05182,56,1163,0.03908,0.06457
1990,Lower Secondary Level,Urban regions,Unimportant,0.09118,79,1163,0.07463,0.10773
1990,Lower Secondary Level,Rural regions,Very important,0.54523,250,369,0.49435,0.59610
1990,Lower Secondary Level,Rural regions,Important,0.29982,119,369,0.25301,0.34664
1990,Upper Secondary Level,Urban regions,Very important,0.65917,2056,2923,0.64198,0.67635
1990,Upper Secondary Level,Urban regions,Important,0.25999,700,2923,0.24409,0.27590
1990,Upper Secondary Level,Urban regions,Less important,0.04246,94,2923,0.03515,0.04977
1990,Upper Secondary Level,Urban regions,Unimportant,0.03838,73,2923,0.03142,0.04535
1990,Upper Secondary Level,Rural regions,Very important,0.66511,642,903,0.63431,0.69591
1990,Upper Secondary Level,Rural regions,Important,0.24801,225,903,0.21983,0.27619
1990,Upper Secondary Level,Rural regions,Less important,0.05194,36,903,0.03746,0.06642
1990,Post-secondary Non-tertiary Level,Urban regions,Very important,0.69931,124,157,0.62735,0.77127
1990,Post-secondary Non-tertiary Level,Urban regions,Important,0.20169,33,157,0.13872,0.26466
1990,First Stage of Tertiary Education,Urban regions,Very important,0.70987,284,351,0.66232,0.75741
1990,First Stage of Tertiary Education,Urban regions,Important,0.17726,67,351,0.13725,0.21727
1990,First Stage of Tertiary Education,Rural regions,Very important,0.62893,78,78,0.52103,0.73684
1990,Second Stage of Tertiary Education,Urban regions,Very important,0.68147,394,521,0.64143,0.72152
1990,Second Stage of Tertiary Education,Urban regions,Important,0.24543,127,521,0.20844,0.28242
1990,Second Stage of Tertiary Education,Rural regions,Very important,0.65566,69,69,0.54272,0.76860
1992,No answer / don't know,Urban regions,Very important,0.58458,48,48,0.44369,0.72547
1992,Pre-primary Level,Urban regions,Very important,0.42246,38,74,0.30915,0.53578
1992,Pre-primary Level,Urban regions,Important,0.43532,36,74,0.32158,0.54906
1992,Pre-primary Level,Rural regions,Very important,0.54983,32,32,0.37469,0.72497
1992,Primary Level,Urban regions,Very important,0.61619,34,34,0.45027,0.78212
1992,Lower Secondary Level,Urban regions,Very important,0.57271,723,1190,0.54459,0.60083
1992,Lower Secondary Level,Urban regions,Important,0.28831,334,1190,0.26256,0.31405
1992,Lower Secondary Level,Urban regions,Less important,0.05921,63,1190,0.04579,0.07262
1992,Lower Secondary Level,Urban regions,Unimportant,0.07978,70,1190,0.06438,0.09518
1992,Lower Secondary Level,Rural regions,Very important,0.54105,416,712,0.50442,0.57768
1992,Lower Secondary Level,Rural regions,Important,0.27142,186,712,0.23874,0.30411
1992,Lower Secondary Level,Rural regions,Less important,0.05952,36,712,0.04213,0.07691
1992,Lower Secondary Level,Rural regions,Unimportant,0.12801,74,712,0.10345,0.15256
1992,Upper Secondary Level,No answer / don't know,Very important,0.93029,59,59,0.86476,0.99583
1992,Upper Secondary Level,Urban regions,Very important,0.68310,2586,3558,0.66781,0.69839
1992,Upper Secondary Level,Urban regions,Important,0.23424,757,3558,0.22033,0.24816
1992,Upper Secondary Level,Urban regions,Less important,0.03038,92,3558,0.02474,0.03602
1992,Upper Secondary Level,Urban regions,Unimportant,0.05228,123,3558,0.04496,0.05959
1992,Upper Secondary Level,Rural regions,Very important,0.68411,1737,2369,0.66539,0.70283
1992,Upper Secondary Level,Rural regions,Important,0.23205,487,2369,0.21505,0.24905
1992,Upper Secondary Level,Rural regions,Less important,0.03880,82,2369,0.03102,0.04657
1992,Upper Secondary Level,Rural regions,Unimportant,0.04505,63,2369,0.03669,0.05340
1992,Post-secondary Non-tertiary Level,Urban regions,Very important,0.68645,152,198,0.62166,0.75123
1992,Post-secondary Non-tertiary Level,Urban regions,Important,0.23909,46,198,0.17952,0.29865
1992,Post-secondary Non-tertiary Level,Rural regions,Very important,0.79018,60,60,0.68628,0.89408
1992,First Stage of Tertiary Education,Urban regions,Very important,0.71286,348,431,0.67009,0.75562
1992,First Stage of Tertiary Education,Urban regions,Important,0.20968,83,431,0.17120,0.24815
