year,regtyp,sampreg,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Urban regions,West,No,0.99377,6640,6640,0.99188,0.99567
2007,Urban regions,East,No,0.99661,941,941,0.99290,1.00033
2007,Rural regions,West,No,0.99253,2017,2017,0.98878,0.99629
2007,Rural regions,East,No,0.99789,1813,1813,0.99578,1.00000
2008,Urban regions,West,Yes,0.00914,35,6262,0.00678,0.01150
2008,Urban regions,West,No,0.99086,6227,6262,0.98850,0.99322
2008,Urban regions,East,No,0.99431,924,924,0.98945,0.99916
2008,Rural regions,West,No,0.98755,1894,1894,0.98255,0.99254
2008,Rural regions,East,No,0.99392,1711,1711,0.99023,0.99760
2009,Urban regions,West,Yes,0.00964,36,5801,0.00713,0.01216
2009,Urban regions,West,No,0.99036,5765,5801,0.98784,0.99287
2009,Urban regions,East,No,0.98736,892,892,0.98002,0.99469
2009,Rural regions,West,No,0.98986,1808,1808,0.98524,0.99448
2009,Rural regions,East,No,0.99036,1645,1645,0.98563,0.99508
2010,Urban regions,West,Yes,0.01427,60,7964,0.01166,0.01687
2010,Urban regions,West,No,0.98573,7904,7964,0.98313,0.98834
2010,Urban regions,East,No,0.98497,1112,1112,0.97782,0.99213
2010,Rural regions,West,No,0.98250,2646,2646,0.97750,0.98749
2010,Rural regions,East,No,0.98798,2014,2014,0.98323,0.99274
2011,Urban regions,West,Yes,0.01853,107,9266,0.01579,0.02128
2011,Urban regions,West,No,0.98147,9159,9266,0.97872,0.98421
2011,Urban regions,East,No,0.98358,1285,1285,0.97663,0.99053
2011,Rural regions,West,No,0.98320,3358,3358,0.97886,0.98755
2011,Rural regions,East,Yes,0.02055,48,2348,0.01481,0.02629
2011,Rural regions,East,No,0.97945,2300,2348,0.97371,0.98519
2012,Urban regions,West,Yes,0.01993,119,8975,0.01704,0.02283
2012,Urban regions,West,No,0.98007,8856,8975,0.97717,0.98296
2012,Urban regions,East,No,0.97907,1249,1249,0.97113,0.98702
2012,Rural regions,West,Yes,0.01610,32,3383,0.01186,0.02034
2012,Rural regions,West,No,0.98390,3351,3383,0.97966,0.98814
2012,Rural regions,East,Yes,0.02421,50,2337,0.01798,0.03044
2012,Rural regions,East,No,0.97579,2287,2337,0.96956,0.98202
2013,Urban regions,West,Yes,0.01747,130,10357,0.01495,0.02000
2013,Urban regions,West,No,0.98253,10227,10357,0.98000,0.98505
2013,Urban regions,East,No,0.97130,1258,1258,0.96207,0.98053
2013,Rural regions,West,Yes,0.01564,41,3610,0.01160,0.01969
2013,Rural regions,West,No,0.98436,3569,3610,0.98031,0.98840
2013,Rural regions,East,Yes,0.02700,52,2277,0.02034,0.03366
2013,Rural regions,East,No,0.97300,2225,2277,0.96634,0.97966
2014,Urban regions,West,Yes,0.01682,129,9099,0.01418,0.01946
2014,Urban regions,West,No,0.98318,8970,9099,0.98054,0.98582
2014,Urban regions,East,No,0.97006,1188,1188,0.96037,0.97976
2014,Rural regions,West,Yes,0.01809,47,3226,0.01349,0.02269
2014,Rural regions,West,No,0.98191,3179,3226,0.97731,0.98651
2014,Rural regions,East,Yes,0.02069,34,2137,0.01465,0.02672
2014,Rural regions,East,No,0.97931,2103,2137,0.97328,0.98535
2015,Urban regions,West,Yes,0.01662,120,8982,0.01398,0.01927
2015,Urban regions,West,No,0.98338,8862,8982,0.98073,0.98602
2015,Urban regions,East,No,0.96513,1149,1149,0.95452,0.97574
2015,Rural regions,West,Yes,0.01348,45,3210,0.00949,0.01747
2015,Rural regions,West,No,0.98652,3165,3210,0.98253,0.99051
2015,Rural regions,East,Yes,0.02271,34,2007,0.01619,0.02923
2015,Rural regions,East,No,0.97729,1973,2007,0.97077,0.98381
2016,Urban regions,West,Yes,0.01784,118,8161,0.01497,0.02071
2016,Urban regions,West,No,0.98216,8043,8161,0.97929,0.98503
2016,Urban regions,East,No,0.97071,1090,1090,0.96069,0.98072
2016,Rural regions,West,Yes,0.01388,41,2917,0.00964,0.01813
2016,Rural regions,West,No,0.98612,2876,2917,0.98187,0.99036
2016,Rural regions,East,Yes,0.02431,36,1907,0.01740,0.03123
2016,Rural regions,East,No,0.97569,1871,1907,0.96877,0.98260
2017,Urban regions,West,Yes,0.01961,130,10048,0.01690,0.02232
2017,Urban regions,West,No,0.98039,9918,10048,0.97768,0.98310
2017,Urban regions,East,No,0.97664,1324,1324,0.96850,0.98478
2017,Rural regions,West,Yes,0.01347,44,3567,0.00968,0.01725
2017,Rural regions,West,No,0.98653,3523,3567,0.98275,0.99032
2017,Rural regions,East,Yes,0.02359,38,2330,0.01743,0.02976
2017,Rural regions,East,No,0.97641,2292,2330,0.97024,0.98257
2018,Urban regions,West,Yes,0.02029,161,10431,0.01758,0.02299
2018,Urban regions,West,No,0.97971,10270,10431,0.97701,0.98242
2018,Urban regions,East,No,0.98017,1387,1387,0.97284,0.98751
2018,Rural regions,West,Yes,0.01792,59,3548,0.01355,0.02229
2018,Rural regions,West,No,0.98208,3489,3548,0.97771,0.98645
2018,Rural regions,East,Yes,0.01654,34,2330,0.01136,0.02171
2018,Rural regions,East,No,0.98346,2296,2330,0.97829,0.98864
2019,No answer / don't know,Does not apply,No,0.91020,58,58,0.83599,0.98442
2019,No answer / don't know,West,No,0.98254,334,334,0.96848,0.99661
2019,No answer / don't know,East,No,0.98023,64,64,0.94585,1.01461
2019,Urban regions,West,Yes,0.02413,158,10492,0.02119,0.02706
2019,Urban regions,West,No,0.97587,10334,10492,0.97294,0.97881
2019,Urban regions,East,No,0.97147,1394,1394,0.96272,0.98021
2019,Rural regions,West,Yes,0.01292,48,3529,0.00919,0.01664
2019,Rural regions,West,No,0.98708,3481,3529,0.98336,0.99081
2019,Rural regions,East,Yes,0.02307,37,2385,0.01705,0.02910
2019,Rural regions,East,No,0.97693,2348,2385,0.97090,0.98295
2020,Urban regions,West,Yes,0.02305,164,11687,0.02033,0.02578
2020,Urban regions,West,No,0.97695,11523,11687,0.97422,0.97967
2020,Urban regions,East,No,0.97461,1496,1496,0.96664,0.98259
2020,Rural regions,West,Yes,0.01389,39,3574,0.01006,0.01773
2020,Rural regions,West,No,0.98611,3535,3574,0.98227,0.98994
