,Unnamed: 0,year,hhtyp,hlc0061_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2005,Single-person household,No,1.0,2898,11175,0.9783,1.02238
1,1,2005,Couple without children,No,1.0,3681,11175,0.97642,1.02329
2,2,2005,Single parent,No,1.0,694,11175,0.9437,1.0565
3,3,2005,Couple with children,No,1.0,3697,11175,0.97313,1.02628
4,4,2005,Multi-generational household,No,1.0,105,11175,0.83195,1.177
5,5,2005,Other Combinations,No,1.0,100,11175,0.81218,1.20544
6,6,2006,Single-person household,No,1.0,3274,12236,0.9774,1.01959
7,7,2006,Couple without children,No,1.0,4151,12236,0.97833,1.02806
8,8,2006,Single parent,No,1.0,770,12236,0.95128,1.05048
9,9,2006,Couple with children,No,1.0,3831,12236,0.97161,1.03003
10,10,2006,Multi-generational household,No,1.0,105,12236,0.82617,1.21926
11,11,2006,Other Combinations,No,1.0,105,12236,0.81994,1.17357
12,12,2007,Single-person household,No,1.0,3091,11411,0.97602,1.02128
13,13,2007,Couple without children,No,1.0,3864,11411,0.97324,1.02605
14,14,2007,Single parent,No,1.0,707,11411,0.94048,1.04348
15,15,2007,Couple with children,No,1.0,3569,11411,0.97137,1.0295
16,16,2007,Multi-generational household,No,1.0,89,11411,0.82462,1.22656
17,17,2007,Other Combinations,No,1.0,91,11411,0.81582,1.19166
18,18,2008,Single-person household,Yes,0.01348,31,10787,0.01162,0.01567
19,19,2008,Single-person household,No,0.98652,2955,10787,0.96678,1.00539
20,20,2008,Couple without children,No,1.0,3721,10787,0.97221,1.02479
21,21,2008,Single parent,No,1.0,675,10787,0.9401,1.0486
22,22,2008,Couple with children,No,1.0,3251,10787,0.96654,1.02826
23,23,2008,Multi-generational household,No,1.0,79,10787,0.83378,1.24948
24,24,2008,Other Combinations,No,1.0,75,10787,0.81794,1.18917
25,25,2009,Single-person household,Yes,0.01562,35,10145,0.01301,0.01904
26,26,2009,Single-person household,No,0.98438,2812,10145,0.95869,1.00952
27,27,2009,Couple without children,No,1.0,3541,10145,0.96952,1.03366
28,28,2009,Single parent,No,1.0,628,10145,0.93436,1.05593
29,29,2009,Couple with children,No,1.0,2993,10145,0.96351,1.03656
30,30,2009,Multi-generational household,No,1.0,65,10145,0.80722,1.21432
31,31,2009,Other Combinations,No,1.0,71,10145,0.77433,1.30775
32,32,2010,Single-person household,Yes,0.0211,43,13752,0.0184,0.02389
33,33,2010,Single-person household,No,0.9789,2655,13752,0.95605,1.0055
34,34,2010,Couple without children,No,1.0,3349,13752,0.96557,1.02975
35,35,2010,Single parent,No,1.0,1831,13752,0.93226,1.04815
36,36,2010,Couple with children,Yes,0.01018,33,13752,0.00649,0.01369
37,37,2010,Couple with children,No,0.98982,5676,13752,0.953,1.03061
38,38,2010,Multi-generational household,No,1.0,99,13752,0.71054,1.34151
39,39,2010,Other Combinations,No,1.0,66,13752,0.77127,1.2679
40,40,2011,Single-person household,Yes,0.02476,71,16296,0.02144,0.02785
41,41,2011,Single-person household,No,0.97524,3419,16296,0.95541,0.99649
42,42,2011,Couple without children,Yes,0.01448,51,16296,0.0112,0.01849
43,43,2011,Couple without children,No,0.98552,4279,16296,0.95768,1.01194
44,44,2011,Single parent,Yes,0.0198,39,16296,0.01486,0.02612
45,45,2011,Single parent,No,0.9802,2241,16296,0.9344,1.02253
46,46,2011,Couple with children,Yes,0.00911,33,16296,0.00636,0.01282
47,47,2011,Couple with children,No,0.99089,5957,16296,0.96076,1.02129
48,48,2011,Multi-generational household,No,1.0,113,16296,0.81394,1.18695
49,49,2011,Other Combinations,No,1.0,93,16296,0.84092,1.13515
50,50,2012,Single-person household,Yes,0.02738,90,15922,0.02353,0.03094
51,51,2012,Single-person household,No,0.97262,3552,15922,0.94928,0.99528
52,52,2012,Couple without children,Yes,0.01461,51,15922,0.01112,0.01875
53,53,2012,Couple without children,No,0.98539,4341,15922,0.95821,1.00937
54,54,2012,Single parent,No,1.0,2113,15922,0.93939,1.03852
55,55,2012,Couple with children,Yes,0.01159,38,15922,0.00806,0.01548
56,56,2012,Couple with children,No,0.98841,5537,15922,0.94987,1.01495
57,57,2012,Multi-generational household,No,1.0,110,15922,0.79709,1.18695
58,58,2012,Other Combinations,No,1.0,90,15922,0.84162,1.1682
59,59,2013,Single-person household,Yes,0.02759,100,17506,0.02435,0.03073
60,60,2013,Single-person household,No,0.97241,3690,17506,0.95133,0.9915
61,61,2013,Couple without children,Yes,0.01206,54,17506,0.0095,0.01575
62,62,2013,Couple without children,No,0.98794,4523,17506,0.95917,1.01252
63,63,2013,Single parent,Yes,0.01948,32,17506,0.01445,0.02734
64,64,2013,Single parent,No,0.98052,2182,17506,0.93077,1.02307
65,65,2013,Couple with children,Yes,0.00927,41,17506,0.00597,0.01356
66,66,2013,Couple with children,No,0.99073,6405,17506,0.95791,1.02687
