year,regtyp,hlc0061_h,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2005,Urban regions,No,1.00000,7526,11175,0,0.98131,0,1.01754
2005,Rural regions,No,1.00000,3649,11175,0,0.97230,0,1.02339
2006,Urban regions,No,1.00000,8126,12236,0,0.98332,0,1.01558
2006,Rural regions,No,1.00000,4110,12236,0,0.97438,0,1.02398
2007,Urban regions,No,1.00000,7559,11411,0,0.98211,0,1.01777
2007,Rural regions,No,1.00000,3852,11411,0,0.97487,0,1.02673
2008,Urban regions,Yes,0.00883,39,10795,0,0.00762,0,0.01017
2008,Urban regions,No,0.99117,7133,10795,0,0.97571,0,1.00534
2008,Rural regions,No,1.00000,3623,10795,0,0.97341,0,1.03064
2009,Urban regions,Yes,0.00996,42,10152,0,0.00830,0,0.01189
2009,Urban regions,No,0.99004,6641,10152,0,0.97198,0,1.01058
2009,Rural regions,No,1.00000,3469,10152,0,0.97381,0,1.03056
2010,Urban regions,Yes,0.01436,68,13795,0,0.01183,0,0.01667
2010,Urban regions,No,0.98564,8992,13795,0,0.96388,0,1.00943
2010,Rural regions,Yes,0.01538,51,13795,0,0.01152,0,0.02003
2010,Rural regions,No,0.98462,4684,13795,0,0.94747,0,1.01892
2011,Urban regions,Yes,0.01838,123,16303,0,0.01595,0,0.02098
2011,Urban regions,No,0.98162,10421,16303,0,0.96309,0,1.00501
2011,Rural regions,Yes,0.01812,78,16303,0,0.01476,0,0.02281
2011,Rural regions,No,0.98188,5681,16303,0,0.95186,0,1.00889
2012,Urban regions,Yes,0.02008,136,15961,0,0.01750,0,0.02310
2012,Urban regions,No,0.97992,10087,15961,0,0.95839,0,0.99835
2012,Rural regions,Yes,0.01897,82,15961,0,0.01526,0,0.02321
2012,Rural regions,No,0.98103,5656,15961,0,0.95684,0,1.00483
2013,Urban regions,Yes,0.01860,152,17524,0,0.01561,0,0.02135
2013,Urban regions,No,0.98140,11466,17524,0,0.96398,0,1.00594
2013,Rural regions,Yes,0.02023,93,17524,0,0.01665,0,0.02398
2013,Rural regions,No,0.97977,5813,17524,0,0.95058,0,1.01057
2014,Urban regions,Yes,0.01804,152,15673,0,0.01549,0,0.02050
2014,Urban regions,No,0.98196,10143,15673,0,0.96080,0,0.99961
2014,Rural regions,Yes,0.01940,81,15673,0,0.01581,0,0.02437
2014,Rural regions,No,0.98060,5297,15673,0,0.95639,0,1.01142
2015,Urban regions,Yes,0.01831,147,15375,0,0.01527,0,0.02161
2015,Urban regions,No,0.98169,9997,15375,0,0.96102,0,1.00056
2015,Rural regions,Yes,0.01702,79,15375,0,0.01368,0,0.02098
2015,Rural regions,No,0.98298,5152,15375,0,0.95074,0,1.01705
2016,Urban regions,Yes,0.01885,135,14092,0,0.01601,0,0.02200
2016,Urban regions,No,0.98115,9121,14092,0,0.95873,0,1.00105
2016,Rural regions,Yes,0.01769,77,14092,0,0.01370,0,0.02185
2016,Rural regions,No,0.98231,4759,14092,0,0.95224,0,1.00908
2017,Urban regions,Yes,0.02009,149,17288,0,0.01737,0,0.02311
2017,Urban regions,No,0.97991,11223,17288,0,0.96036,0,0.99877
2017,Rural regions,Yes,0.01714,82,17288,0,0.01323,0,0.02150
2017,Rural regions,No,0.98286,5834,17288,0,0.95336,0,1.01535
2018,Urban regions,Yes,0.02032,179,17714,0,0.01748,0,0.02385
2018,Urban regions,No,0.97968,11641,17714,0,0.95809,0,1.00315
2018,Rural regions,Yes,0.01748,93,17714,0,0.01352,0,0.02226
2018,Rural regions,No,0.98252,5801,17714,0,0.94748,0,1.01334
2019,Urban regions,Yes,0.02453,177,17819,0,0.02098,0,0.02874
2019,Urban regions,No,0.97547,11714,17819,0,0.95286,0,0.99822
2019,Rural regions,Yes,0.01648,85,17819,0,0.01214,0,0.02047
2019,Rural regions,No,0.98352,5843,17819,0,0.95472,0,1.01685
2020,Urban regions,Yes,0.02322,179,19050,0,0.01978,0,0.02688
2020,Urban regions,No,0.97678,12997,19050,0,0.95185,0,1.00224
2020,Rural regions,Yes,0.01559,78,19050,0,0.01140,0,0.01874
2020,Rural regions,No,0.98441,5796,19050,0,0.95521,0,1.01669
2021,Urban regions,Yes,0.02046,129,12453,0,0.01694,0,0.02402
2021,Urban regions,No,0.97954,8406,12453,0,0.95130,0,1.01120
2021,Rural regions,Yes,0.01656,67,12453,0,0.01218,0,0.02207
2021,Rural regions,No,0.98344,3851,12453,0,0.94479,0,1.02308
