year,hhtyp,quintil_oecd_hh,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Single-person household,1st Quintile,No,0.98374,825,825,0.97510,0.99237
2007,Single-person household,2nd Quintile,No,0.99416,590,590,0.98801,1.00031
2007,Single-person household,3rd Quintile,No,0.99198,553,553,0.98454,0.99942
2007,Single-person household,4th Quintile,No,0.99737,564,564,0.99313,1.00160
2007,Single-person household,5th Quintile,No,0.99810,556,556,0.99448,1.00172
2007,Couple without children,1st Quintile,No,0.96454,379,379,0.94590,0.98318
2007,Couple without children,3rd Quintile,No,0.99676,721,721,0.99261,1.00091
2007,Couple without children,4th Quintile,No,0.99571,814,814,0.99122,1.00020
2007,Couple without children,5th Quintile,No,0.99895,1316,1316,0.99720,1.00070
2007,Single parent,1st Quintile,No,0.99588,295,295,0.98856,1.00320
2007,Single parent,2nd Quintile,No,0.99341,140,140,0.97996,1.00686
2007,Single parent,4th Quintile,No,0.97376,77,77,0.93783,1.00970
2007,Couple with children,1st Quintile,No,0.99577,410,410,0.98948,1.00206
2007,Couple with children,2nd Quintile,No,0.99776,700,700,0.99426,1.00126
2007,Couple with children,3rd Quintile,No,0.99886,781,781,0.99649,1.00123
2007,Couple with children,4th Quintile,No,0.99852,827,827,0.99590,1.00114
2007,Couple with children,5th Quintile,No,0.99907,851,851,0.99702,1.00112
2008,Single-person household,1st Quintile,No,0.97133,768,768,0.95952,0.98314
2008,Single-person household,2nd Quintile,No,0.98873,574,574,0.98009,0.99737
2008,Single-person household,3rd Quintile,No,0.99159,553,553,0.98396,0.99921
2008,Single-person household,4th Quintile,No,0.99233,522,522,0.98484,0.99982
2008,Single-person household,5th Quintile,No,0.99568,536,536,0.99012,1.00124
2008,Couple without children,1st Quintile,No,0.97931,398,398,0.96531,0.99331
2008,Couple without children,2nd Quintile,No,0.99932,592,592,0.99722,1.00142
2008,Couple without children,3rd Quintile,No,0.99026,717,717,0.98306,0.99745
2008,Couple without children,4th Quintile,No,0.99619,725,725,0.99170,1.00068
2008,Couple without children,5th Quintile,No,0.99891,1289,1289,0.99710,1.00071
2008,Single parent,1st Quintile,No,0.99349,279,279,0.98404,1.00294
2008,Single parent,2nd Quintile,No,0.98213,150,150,0.96086,1.00340
2008,Single parent,3rd Quintile,No,0.99752,110,110,0.98818,1.00686
2008,Single parent,5th Quintile,No,0.97203,56,56,0.92846,1.01561
2008,Couple with children,1st Quintile,No,0.99349,381,381,0.98540,1.00157
2008,Couple with children,2nd Quintile,No,0.98901,621,621,0.98080,0.99722
2008,Couple with children,3rd Quintile,No,0.99325,738,738,0.98734,0.99916
2008,Couple with children,4th Quintile,No,0.99708,741,741,0.99319,1.00097
2008,Couple with children,5th Quintile,No,0.99298,770,770,0.98708,0.99888
2009,Single-person household,1st Quintile,No,0.97351,757,757,0.96207,0.98496
2009,Single-person household,2nd Quintile,No,0.97196,546,546,0.95810,0.98582
2009,Single-person household,3rd Quintile,No,0.99548,541,541,0.98983,1.00114
2009,Single-person household,4th Quintile,No,0.99066,474,474,0.98199,0.99933
2009,Single-person household,5th Quintile,No,0.99773,491,491,0.99352,1.00194
2009,Couple without children,1st Quintile,No,0.98154,373,373,0.96787,0.99522
2009,Couple without children,2nd Quintile,No,0.99326,604,604,0.98674,0.99979
2009,Couple without children,3rd Quintile,No,0.99614,613,613,0.99122,1.00105
2009,Single parent,1st Quintile,No,0.98331,251,251,0.96743,0.99919
2009,Single parent,2nd Quintile,No,0.99583,143,143,0.98522,1.00643
2009,Couple with children,1st Quintile,No,0.98387,360,360,0.97083,0.99690
2009,Couple with children,2nd Quintile,No,0.98665,547,547,0.97702,0.99627
2009,Couple with children,3rd Quintile,No,0.99421,657,657,0.98841,1.00002
2009,Couple with children,4th Quintile,No,0.99638,718,718,0.99198,1.00078
2009,Couple with children,5th Quintile,No,0.99270,710,710,0.98644,0.99897
2010,Single-person household,1st Quintile,No,0.95325,701,701,0.93761,0.96889
2010,Single-person household,2nd Quintile,No,0.97717,542,542,0.96458,0.98975
2010,Single-person household,3rd Quintile,No,0.99529,499,499,0.98928,1.00130
2010,Single-person household,4th Quintile,No,0.98286,456,456,0.97094,0.99479
2010,Single-person household,5th Quintile,No,0.99947,455,455,0.99734,1.00159
2010,Couple without children,1st Quintile,No,0.96815,326,326,0.94906,0.98724
2010,Couple without children,2nd Quintile,No,0.99274,574,574,0.98579,0.99969
2010,Couple without children,3rd Quintile,No,0.99896,600,600,0.99638,1.00154
2010,Couple without children,4th Quintile,No,0.99102,720,720,0.98413,0.99792
2010,Couple without children,5th Quintile,No,0.99579,1129,1129,0.99201,0.99957
2010,Single parent,1st Quintile,No,0.99212,884,884,0.98629,0.99795
2010,Single parent,2nd Quintile,No,0.94957,417,417,0.92855,0.97060
2010,Single parent,3rd Quintile,No,0.98643,271,271,0.97263,1.00023
2010,Single parent,4th Quintile,No,0.99344,161,161,0.98094,1.00595
2010,Couple with children,1st Quintile,No,0.98707,1148,1148,0.98053,0.99361
2010,Couple with children,2nd Quintile,No,0.97421,1318,1318,0.96565,0.98277
2010,Couple with children,3rd Quintile,No,0.99677,1136,1136,0.99347,1.00007
2010,Couple with children,4th Quintile,No,0.99239,1069,1069,0.98718,0.99760
2010,Couple with children,5th Quintile,No,0.99762,1005,1005,0.99461,1.00063
2011,Single-person household,1st Quintile,No,0.96104,980,980,0.94891,0.97316
2011,Single-person household,2nd Quintile,No,0.97425,705,705,0.96255,0.98595
2011,Single-person household,3rd Quintile,No,0.98740,649,649,0.97881,0.99599
2011,Single-person household,4th Quintile,No,0.97842,535,535,0.96609,0.99074
2011,Single-person household,5th Quintile,No,0.98315,548,548,0.97236,0.99394
2011,Couple without children,1st Quintile,No,0.96185,454,454,0.94421,0.97949
2011,Couple without children,2nd Quintile,No,0.97992,706,706,0.96956,0.99027
2011,Couple without children,3rd Quintile,No,0.98810,788,788,0.98052,0.99567
2011,Couple without children,4th Quintile,No,0.99049,941,941,0.98429,0.99670
2011,Couple without children,5th Quintile,No,0.99204,1390,1390,0.98736,0.99671
2011,Single parent,1st Quintile,No,0.98693,1015,1015,0.97993,0.99392
2011,Single parent,2nd Quintile,No,0.97700,529,529,0.96422,0.98979
2011,Single parent,3rd Quintile,No,0.97120,364,364,0.95400,0.98841
2011,Single parent,4th Quintile,No,0.97936,218,218,0.96044,0.99828
2011,Single parent,5th Quintile,No,0.97746,115,115,0.95021,1.00471
2011,Couple with children,1st Quintile,No,0.98212,1090,1090,0.97426,0.98999
2011,Couple with children,2nd Quintile,No,0.98092,1321,1321,0.97354,0.98830
2011,Couple with children,3rd Quintile,No,0.99639,1292,1292,0.99312,0.99966
2011,Couple with children,4th Quintile,No,0.99176,1228,1228,0.98670,0.99682
2011,Couple with children,5th Quintile,No,0.99971,1026,1026,0.99865,1.00076
2012,Single-person household,1st Quintile,Yes,0.04075,31,1061,0.02884,0.05265
2012,Single-person household,1st Quintile,No,0.95925,1030,1061,0.94735,0.97116
2012,Single-person household,2nd Quintile,No,0.96870,707,707,0.95586,0.98155
2012,Single-person household,3rd Quintile,No,0.97784,645,645,0.96648,0.98921
2012,Single-person household,4th Quintile,No,0.98846,606,606,0.97995,0.99697
2012,Single-person household,5th Quintile,No,0.97852,559,559,0.96649,0.99055
2012,Couple without children,1st Quintile,No,0.96858,441,441,0.95228,0.98488
2012,Couple without children,2nd Quintile,No,0.97095,716,716,0.95864,0.98326
2012,Couple without children,3rd Quintile,No,0.99003,827,827,0.98326,0.99681
2012,Couple without children,4th Quintile,No,0.99147,942,942,0.98559,0.99734
2012,Couple without children,5th Quintile,No,0.99203,1414,1414,0.98740,0.99667
2012,Single parent,1st Quintile,No,0.98527,949,949,0.97760,0.99294
2012,Single parent,2nd Quintile,No,0.98848,529,529,0.97937,0.99758
2012,Single parent,3rd Quintile,No,0.97486,330,330,0.95795,0.99178
2012,Single parent,4th Quintile,No,0.97971,189,189,0.95955,0.99986
2012,Couple with children,1st Quintile,No,0.98024,977,977,0.97151,0.98897
2012,Couple with children,2nd Quintile,No,0.98255,1190,1190,0.97511,0.98999
2012,Couple with children,3rd Quintile,No,0.99251,1249,1249,0.98773,0.99730
2012,Couple with children,4th Quintile,No,0.98784,1152,1152,0.98150,0.99417
2012,Couple with children,5th Quintile,No,0.99519,969,969,0.99084,0.99955
2013,Single-person household,1st Quintile,Yes,0.04173,38,1079,0.02979,0.05367
2013,Single-person household,1st Quintile,No,0.95827,1041,1079,0.94633,0.97021
2013,Single-person household,2nd Quintile,No,0.97092,803,803,0.95929,0.98255
2013,Single-person household,3rd Quintile,No,0.96262,652,652,0.94804,0.97719
2013,Single-person household,4th Quintile,No,0.98792,597,597,0.97915,0.99669
2013,Single-person household,5th Quintile,No,0.99152,592,592,0.98413,0.99891
2013,Couple without children,1st Quintile,No,0.98297,555,555,0.97220,0.99375
2013,Couple without children,2nd Quintile,No,0.97064,742,742,0.95849,0.98280
2013,Couple without children,3rd Quintile,No,0.99467,859,859,0.98979,0.99954
2013,Couple without children,4th Quintile,No,0.99022,953,953,0.98397,0.99647
2013,Couple without children,5th Quintile,No,0.99375,1412,1412,0.98964,0.99787
2013,Single parent,1st Quintile,No,0.98367,993,993,0.97578,0.99155
2013,Single parent,2nd Quintile,No,0.96763,568,568,0.95306,0.98219
2013,Single parent,3rd Quintile,No,0.98702,326,326,0.97471,0.99933
2013,Single parent,4th Quintile,No,0.97788,178,178,0.95622,0.99955
2013,Single parent,5th Quintile,No,0.99684,117,117,0.98664,1.00705
2013,Couple with children,1st Quintile,No,0.98267,1328,1328,0.97565,0.98969
2013,Couple with children,2nd Quintile,No,0.98038,1489,1489,0.97333,0.98743
2013,Couple with children,3rd Quintile,No,0.99732,1355,1355,0.99457,1.00007
2013,Couple with children,4th Quintile,No,0.99238,1220,1220,0.98750,0.99726
2013,Couple with children,5th Quintile,No,0.99729,1013,1013,0.99409,1.00049
2013,Multi-generational household,1st Quintile,No,0.91952,41,41,0.83521,1.00382
2013,Multi-generational household,2nd Quintile,No,0.99610,33,33,0.97450,1.01770
2013,Other Combinations,1st Quintile,No,0.97590,123,123,0.94869,1.00311
2013,Other Combinations,2nd Quintile,No,0.93124,81,81,0.87579,0.98669
2013,Other Combinations,3rd Quintile,No,0.98843,60,60,0.96115,1.01572
2013,Other Combinations,4th Quintile,No,0.92359,50,50,0.84920,0.99797
2014,Single-person household,1st Quintile,Yes,0.04181,38,1019,0.02952,0.05411
2014,Single-person household,1st Quintile,No,0.95819,981,1019,0.94589,0.97048
2014,Single-person household,2nd Quintile,No,0.96292,702,702,0.94893,0.97690
2014,Single-person household,3rd Quintile,No,0.98444,638,638,0.97483,0.99405
2014,Single-person household,4th Quintile,No,0.97818,565,565,0.96612,0.99024
2014,Single-person household,5th Quintile,No,0.99015,555,555,0.98193,0.99837
2014,Couple without children,1st Quintile,No,0.97987,473,473,0.96720,0.99254
2014,Couple without children,2nd Quintile,No,0.97838,724,724,0.96777,0.98898
2014,Couple without children,3rd Quintile,No,0.98912,820,820,0.98202,0.99623
2014,Couple without children,4th Quintile,No,0.99218,918,918,0.98648,0.99788
2014,Couple without children,5th Quintile,No,0.99431,1326,1326,0.99026,0.99836
2014,Single parent,1st Quintile,No,0.97518,792,792,0.96434,0.98602
2014,Single parent,2nd Quintile,No,0.97778,431,431,0.96384,0.99171
2014,Single parent,3rd Quintile,No,0.96898,295,295,0.94917,0.98880
2014,Single parent,4th Quintile,No,0.97444,165,165,0.95028,0.99859
2014,Single parent,5th Quintile,No,0.99665,88,88,0.98450,1.00879
2014,Couple with children,1st Quintile,No,0.98799,993,993,0.98121,0.99477
2014,Couple with children,2nd Quintile,No,0.98969,1270,1270,0.98414,0.99525
2014,Couple with children,3rd Quintile,No,0.99933,1219,1219,0.99788,1.00078
2014,Couple with children,4th Quintile,No,0.99861,1149,1149,0.99645,1.00076
2014,Couple with children,5th Quintile,No,0.99497,975,975,0.99052,0.99941
2014,Other Combinations,1st Quintile,No,0.88375,70,70,0.80811,0.95938
2014,Other Combinations,2nd Quintile,No,0.96891,67,67,0.92704,1.01078
2014,Other Combinations,3rd Quintile,No,0.98557,45,45,0.95034,1.02081
2014,Other Combinations,4th Quintile,No,0.92690,42,42,0.84721,1.00658
2015,Single-person household,1st Quintile,Yes,0.05267,37,1019,0.03895,0.06639
2015,Single-person household,1st Quintile,No,0.94733,982,1019,0.93361,0.96105
2015,Single-person household,2nd Quintile,No,0.96650,766,766,0.95374,0.97925
2015,Single-person household,3rd Quintile,No,0.98145,631,631,0.97091,0.99199
2015,Single-person household,4th Quintile,No,0.99367,551,551,0.98704,1.00030
2015,Single-person household,5th Quintile,No,0.99567,528,528,0.99006,1.00128
2015,Couple without children,1st Quintile,No,0.95489,470,470,0.93611,0.97367
2015,Couple without children,2nd Quintile,No,0.98060,761,761,0.97079,0.99041
2015,Couple without children,3rd Quintile,No,0.99199,791,791,0.98578,0.99821
2015,Couple without children,4th Quintile,No,0.99324,915,915,0.98793,0.99855
2015,Couple without children,5th Quintile,No,0.99807,1301,1301,0.99569,1.00046
2015,Single parent,1st Quintile,No,0.97358,716,716,0.96183,0.98534
2015,Single parent,2nd Quintile,No,0.97050,410,410,0.95410,0.98690
2015,Single parent,3rd Quintile,No,0.99199,254,254,0.98100,1.00297
2015,Single parent,4th Quintile,No,0.99788,169,169,0.99092,1.00484
2015,Couple with children,1st Quintile,No,0.99126,1094,1094,0.98574,0.99678
2015,Couple with children,2nd Quintile,No,0.99037,1198,1198,0.98483,0.99590
2015,Couple with children,3rd Quintile,No,0.99224,1166,1166,0.98720,0.99728
2015,Couple with children,4th Quintile,No,0.99965,1046,1046,0.99853,1.00078
2015,Couple with children,5th Quintile,No,0.99897,949,949,0.99694,1.00101
2015,Multi-generational household,1st Quintile,No,0.84318,40,40,0.72906,0.95731
2015,Multi-generational household,2nd Quintile,No,0.88856,33,33,0.77953,0.99759
2015,Other Combinations,1st Quintile,No,0.94441,79,79,0.89356,0.99526
2015,Other Combinations,2nd Quintile,No,0.96735,55,55,0.91995,1.01475
2015,Other Combinations,3rd Quintile,No,0.89123,36,36,0.78808,0.99438
2015,Other Combinations,4th Quintile,No,0.99114,35,35,0.95963,1.02264
2016,Single-person household,1st Quintile,Yes,0.05475,47,979,0.04049,0.06901
2016,Single-person household,1st Quintile,No,0.94525,932,979,0.93099,0.95951
2016,Single-person household,2nd Quintile,No,0.95581,690,690,0.94046,0.97115
2016,Single-person household,3rd Quintile,No,0.97822,612,612,0.96665,0.98979
2016,Single-person household,4th Quintile,No,0.98726,537,537,0.97777,0.99676
2016,Single-person household,5th Quintile,No,0.99679,474,474,0.99170,1.00189
2016,Couple without children,1st Quintile,No,0.97474,410,410,0.95953,0.98995
2016,Couple without children,2nd Quintile,No,0.97671,684,684,0.96539,0.98802
2016,Couple without children,3rd Quintile,No,0.99426,733,733,0.98878,0.99973
2016,Couple without children,4th Quintile,No,0.99768,915,915,0.99457,1.00080
2016,Couple without children,5th Quintile,No,0.99655,1243,1243,0.99328,0.99981
2016,Single parent,1st Quintile,No,0.98846,638,638,0.98016,0.99675
2016,Single parent,2nd Quintile,No,0.97725,392,392,0.96247,0.99203
2016,Single parent,3rd Quintile,No,0.99457,226,226,0.98497,1.00417
2016,Couple with children,1st Quintile,No,0.98600,907,907,0.97835,0.99365
2016,Couple with children,2nd Quintile,No,0.98409,1094,1094,0.97668,0.99151
2016,Couple with children,3rd Quintile,No,0.99470,1034,1034,0.99028,0.99913
2016,Couple with children,4th Quintile,No,0.99606,963,963,0.99211,1.00002
2016,Couple with children,5th Quintile,No,0.99973,878,878,0.99864,1.00082
2016,Multi-generational household,1st Quintile,No,0.96627,31,31,0.90167,1.03087
2016,Multi-generational household,2nd Quintile,No,0.99769,34,34,0.98129,1.01408
2016,Other Combinations,1st Quintile,No,0.87225,55,55,0.78322,0.96129
2016,Other Combinations,2nd Quintile,No,0.94891,42,42,0.88152,1.01631
2016,Other Combinations,3rd Quintile,No,0.90605,35,35,0.80798,1.00412
2017,Single-person household,1st Quintile,Yes,0.06787,61,1386,0.05463,0.08112
2017,Single-person household,1st Quintile,No,0.93213,1325,1386,0.91888,0.94537
2017,Single-person household,2nd Quintile,No,0.96304,801,801,0.94997,0.97611
2017,Single-person household,3rd Quintile,No,0.98705,694,694,0.97863,0.99547
2017,Single-person household,4th Quintile,No,0.98483,589,589,0.97495,0.99471
2017,Single-person household,5th Quintile,No,0.99646,555,555,0.99152,1.00141
2017,Couple without children,1st Quintile,No,0.96130,486,486,0.94413,0.97847
2017,Couple without children,2nd Quintile,No,0.97910,739,739,0.96878,0.98942
2017,Couple without children,3rd Quintile,No,0.99616,882,882,0.99208,1.00025
2017,Couple without children,4th Quintile,No,0.99963,1057,1057,0.99848,1.00079
2017,Couple without children,5th Quintile,No,0.99692,1409,1409,0.99403,0.99982
2017,Single parent,1st Quintile,No,0.98700,779,779,0.97904,0.99496
2017,Single parent,2nd Quintile,No,0.99456,397,397,0.98731,1.00180
2017,Single parent,3rd Quintile,No,0.99137,228,228,0.97934,1.00340
2017,Single parent,4th Quintile,No,0.99707,166,166,0.98882,1.00532
2017,Couple with children,1st Quintile,No,0.98739,1868,1868,0.98233,0.99245
