year,hhtyp,rentown,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Single-person household,Owner,No,0.99882,895,895,0.99657,1.00107
2007,Single-person household,Tenant,No,0.98972,2196,2196,0.98550,0.99394
2007,Couple without children,Owner,No,0.99945,2169,2169,0.99846,1.00044
2007,Couple without children,Tenant,No,0.98784,1695,1695,0.98262,0.99306
2007,Single parent,Owner,No,0.99060,209,209,0.97749,1.00371
2007,Single parent,Tenant,No,0.99575,498,498,0.99002,1.00147
2007,Couple with children,Owner,No,0.99912,2226,2226,0.99790,1.00035
2007,Couple with children,Tenant,No,0.99689,1343,1343,0.99391,0.99987
2008,Single-person household,Owner,No,0.99463,895,895,0.98984,0.99942
2008,Single-person household,Tenant,No,0.98316,2060,2060,0.97760,0.98872
2008,Couple without children,Owner,No,0.99766,2108,2108,0.99560,0.99973
2008,Couple without children,Tenant,No,0.99035,1613,1613,0.98558,0.99512
2008,Single parent,Tenant,No,0.98787,474,474,0.97800,0.99774
2008,Couple with children,Owner,No,0.99421,2066,2066,0.99094,0.99748
2008,Couple with children,Tenant,No,0.99177,1185,1185,0.98662,0.99692
2009,Single-person household,Owner,No,0.99519,864,864,0.99058,0.99981
2009,Single-person household,Tenant,Yes,0.02031,33,1981,0.01409,0.02652
2009,Single-person household,Tenant,No,0.97969,1948,1981,0.97348,0.98591
2009,Couple without children,Tenant,No,0.99095,1539,1539,0.98621,0.99568
2009,Single parent,Owner,No,0.99408,193,193,0.98322,1.00493
2009,Single parent,Tenant,No,0.99107,435,435,0.98222,0.99992
2009,Couple with children,Owner,No,0.99275,1910,1910,0.98895,0.99656
2009,Couple with children,Tenant,No,0.98977,1083,1083,0.98378,0.99577
2010,Single-person household,Owner,No,0.99477,852,852,0.98993,0.99962
2010,Single-person household,Tenant,Yes,0.02853,38,1841,0.02093,0.03614
2010,Single-person household,Tenant,No,0.97147,1803,1841,0.96386,0.97907
2010,Couple without children,Owner,No,0.99430,1908,1908,0.99093,0.99768
2010,Couple without children,Tenant,No,0.98839,1441,1441,0.98285,0.99392
2010,Single parent,Owner,No,0.98750,405,405,0.97666,0.99833
2010,Single parent,Tenant,No,0.98009,1426,1426,0.97283,0.98734
2010,Couple with children,Owner,No,0.99263,3035,3035,0.98959,0.99567
2010,Couple with children,Tenant,No,0.98535,2641,2641,0.98077,0.98994
2010,Multi-generational household,Owner,No,0.97920,63,63,0.94367,1.01472
