year,regtyp,rentown,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Urban regions,Owner,No,0.99858,3466,3466,0.99732,0.99983
2007,Urban regions,Tenant,No,0.99115,4115,4115,0.98829,0.99401
2007,Rural regions,Owner,No,0.99942,2147,2147,0.99840,1.00044
2007,Rural regions,Tenant,No,0.98976,1683,1683,0.98495,0.99457
2008,Urban regions,Owner,No,0.99658,3302,3302,0.99458,0.99857
2008,Urban regions,Tenant,Yes,0.01237,32,3881,0.00889,0.01585
2008,Urban regions,Tenant,No,0.98763,3849,3881,0.98415,0.99111
2008,Rural regions,Owner,No,0.99471,2065,2065,0.99159,0.99784
2008,Rural regions,Tenant,No,0.98491,1540,1540,0.97882,0.99100
2009,Urban regions,Owner,No,0.99731,3094,3094,0.99549,0.99914
2009,Urban regions,Tenant,Yes,0.01500,36,3599,0.01103,0.01897
2009,Urban regions,Tenant,No,0.98500,3563,3599,0.98103,0.98897
2009,Rural regions,Owner,No,0.99431,1959,1959,0.99098,0.99764
2009,Rural regions,Tenant,No,0.98540,1494,1494,0.97931,0.99148
2010,Urban regions,Owner,No,0.99435,3819,3819,0.99197,0.99673
2010,Urban regions,Tenant,Yes,0.02070,54,5251,0.01685,0.02456
2010,Urban regions,Tenant,No,0.97930,5197,5251,0.97544,0.98315
2010,Rural regions,Owner,No,0.99228,2481,2481,0.98883,0.99572
2010,Rural regions,Tenant,Yes,0.02420,35,2214,0.01780,0.03060
2010,Rural regions,Tenant,No,0.97580,2179,2214,0.96940,0.98220
2011,Urban regions,Owner,No,0.99077,4499,4499,0.98798,0.99357
2011,Urban regions,Tenant,Yes,0.02498,98,6043,0.02104,0.02891
2011,Urban regions,Tenant,No,0.97502,5945,6043,0.97109,0.97896
2011,Rural regions,Owner,No,0.99307,3017,3017,0.99011,0.99603
2011,Rural regions,Tenant,Yes,0.03065,59,2700,0.02415,0.03716
2011,Rural regions,Tenant,No,0.96935,2641,2700,0.96284,0.97585
2012,Urban regions,Owner,No,0.99123,4401,4401,0.98847,0.99398
2012,Urban regions,Tenant,Yes,0.02835,117,5821,0.02409,0.03261
2012,Urban regions,Tenant,No,0.97165,5704,5821,0.96739,0.97591
2012,Rural regions,Owner,No,0.99161,2997,2997,0.98835,0.99488
2012,Rural regions,Tenant,Yes,0.03070,64,2705,0.02420,0.03721
2012,Rural regions,Tenant,No,0.96930,2641,2705,0.96279,0.97580
2013,Urban regions,Owner,No,0.99450,4572,4572,0.99236,0.99665
2013,Urban regions,Tenant,Yes,0.02810,138,7051,0.02424,0.03196
2013,Urban regions,Tenant,No,0.97190,6913,7051,0.96804,0.97576
2013,Rural regions,Owner,No,0.99032,2932,2932,0.98677,0.99386
2013,Rural regions,Tenant,Yes,0.03077,70,2932,0.02452,0.03703
2013,Rural regions,Tenant,No,0.96923,2862,2932,0.96297,0.97548
2014,Urban regions,Owner,No,0.99675,4212,4212,0.99503,0.99847
2014,Urban regions,Tenant,Yes,0.02915,138,6084,0.02493,0.03338
2014,Urban regions,Tenant,No,0.97085,5946,6084,0.96662,0.97507
2014,Rural regions,Owner,No,0.99126,2721,2721,0.98776,0.99476
2014,Rural regions,Tenant,Yes,0.02972,60,2621,0.02322,0.03622
2014,Rural regions,Tenant,No,0.97028,2561,2621,0.96378,0.97678
2015,Urban regions,Owner,No,0.99723,3937,3937,0.99559,0.99887
2015,Urban regions,Tenant,Yes,0.03026,133,6207,0.02600,0.03452
2015,Urban regions,Tenant,No,0.96974,6074,6207,0.96548,0.97400
2015,Rural regions,Owner,No,0.99534,2580,2580,0.99271,0.99797
2015,Rural regions,Tenant,Yes,0.02950,64,2622,0.02302,0.03597
2015,Rural regions,Tenant,No,0.97050,2558,2622,0.96403,0.97698
2016,Urban regions,Owner,No,0.99804,3705,3705,0.99662,0.99946
2016,Urban regions,Tenant,Yes,0.03189,128,5555,0.02727,0.03651
2016,Urban regions,Tenant,No,0.96811,5427,5555,0.96349,0.97273
2016,Rural regions,Owner,No,0.99541,2460,2460,0.99274,0.99808
2016,Rural regions,Tenant,Yes,0.03207,65,2352,0.02495,0.03919
2016,Rural regions,Tenant,No,0.96793,2287,2352,0.96081,0.97505
2017,Urban regions,Owner,No,0.99767,4197,4197,0.99621,0.99913
2017,Urban regions,Tenant,Yes,0.03373,141,7186,0.02956,0.03790
2017,Urban regions,Tenant,No,0.96627,7045,7186,0.96210,0.97044
2017,Rural regions,Owner,No,0.99558,2746,2746,0.99310,0.99806
2017,Rural regions,Tenant,Yes,0.03090,68,3137,0.02484,0.03695
2017,Rural regions,Tenant,No,0.96910,3069,3137,0.96305,0.97516
2018,Urban regions,Owner,No,0.99860,4038,4038,0.99745,0.99976
2018,Urban regions,Tenant,Yes,0.03509,174,7793,0.03100,0.03918
2018,Urban regions,Tenant,No,0.96491,7619,7793,0.96082,0.96900
2018,Rural regions,Owner,No,0.99427,2628,2628,0.99139,0.99716
2018,Rural regions,Tenant,Yes,0.03010,74,3231,0.02421,0.03599
2018,Rural regions,Tenant,No,0.96990,3157,3231,0.96401,0.97579
2019,No answer / don't know,Owner,No,0.99323,155,155,0.98028,1.00618
2019,No answer / don't know,Tenant,No,0.96810,301,301,0.94822,0.98799
2019,Urban regions,Owner,No,0.99752,4694,4694,0.99609,0.99894
