"hlc0061_h","year","hhtyp","quintil","n","percent","lower_confidence","upper_confidence"
"Ja","2005","1-Pers.- Haushalt","1","","","",""
"Ja","2005","1-Pers.- Haushalt","2","","","",""
"Ja","2005","1-Pers.- Haushalt","3","","","",""
"Ja","2005","1-Pers.- Haushalt","4","","","",""
"Ja","2005","1-Pers.- Haushalt","5","","","",""
"Ja","2005","(Ehe-)Paar ohne Kind(er)","1","","","",""
"Ja","2005","(Ehe-)Paar ohne Kind(er)","2","","","",""
"Ja","2005","(Ehe-)Paar ohne Kind(er)","3","","","",""
"Ja","2005","(Ehe-)Paar ohne Kind(er)","4","","","",""
"Ja","2005","(Ehe-)Paar ohne Kind(er)","5","","","",""
"Ja","2005","Alleinerziehende","1","","","",""
"Ja","2005","Alleinerziehende","2","","","",""
"Ja","2005","Alleinerziehende","3","","","",""
"Ja","2005","Alleinerziehende","4","","","",""
"Ja","2005","Alleinerziehende","5","","","",""
"Ja","2005","Paar mit Kind(ern)","1","","","",""
"Ja","2005","Paar mit Kind(ern)","2","","","",""
"Ja","2005","Paar mit Kind(ern)","3","","","",""
"Ja","2005","Paar mit Kind(ern)","4","","","",""
"Ja","2005","Paar mit Kind(ern)","5","","","",""
"Ja","2005","Sonstige","1","","","",""
"Ja","2005","Sonstige","2","","","",""
"Ja","2005","Sonstige","3","","","",""
"Ja","2005","Sonstige","4","","","",""
"Ja","2005","Sonstige","5","","","",""
"Nein","2005","1-Pers.- Haushalt","1","688","0.993278751702395","0.987186615425658","0.999370887979131"
"Nein","2005","1-Pers.- Haushalt","2","553","0.996198214699477","0.991078234604241","1.00131819479471"
"Nein","2005","1-Pers.- Haushalt","3","583","0.997019317664677","0.992598004260771","1.00144063106858"
"Nein","2005","1-Pers.- Haushalt","4","632","0.998418641355802","0.995323234322832","1.00151404838877"
"Nein","2005","1-Pers.- Haushalt","5","450","1","1","1"
"Nein","2005","(Ehe-)Paar ohne Kind(er)","1","848","0.980636807567195","0.971437883500301","0.98983573163409"
"Nein","2005","(Ehe-)Paar ohne Kind(er)","2","1164","0.997565286768698","0.994738967354863","1.00039160618253"
"Nein","2005","(Ehe-)Paar ohne Kind(er)","3","1550","0.997975371800236","0.995739047488021","1.00021169611245"
"Nein","2005","(Ehe-)Paar ohne Kind(er)","4","1726","1","1","1"
"Nein","2005","(Ehe-)Paar ohne Kind(er)","5","2074","0.999435033919697","0.998412864490463","1.00045720334893"
"Nein","2005","Alleinerziehende","1","848","1","1","1"
"Nein","2005","Alleinerziehende","2","386","1","1","1"
"Nein","2005","Alleinerziehende","3","259","1","1","1"
"Nein","2005","Alleinerziehende","4","163","1","1","1"
"Nein","2005","Alleinerziehende","5","80","1","1","1"
"Nein","2005","Paar mit Kind(ern)","1","2758","0.999668642485739","0.998989765112195","1.00034751985928"
"Nein","2005","Paar mit Kind(ern)","2","3177","0.99779420534865","0.996165434125571","0.99942297657173"
"Nein","2005","Paar mit Kind(ern)","3","3005","0.999637950017298","0.998958210325458","1.00031768970914"
"Nein","2005","Paar mit Kind(ern)","4","2823","1","1","1"
"Nein","2005","Paar mit Kind(ern)","5","2144","1","1","1"
"Nein","2005","Sonstige","1","221","0.974360747944954","0.95370840168151","0.995013094208397"
"Nein","2005","Sonstige","2","198","1","1","1"
"Nein","2005","Sonstige","3","135","1","1","1"
"Nein","2005","Sonstige","4","110","1","1","1"
"Nein","2005","Sonstige","5","81","1","1","1"
"Ja","2006","1-Pers.- Haushalt","1","","","",""
"Ja","2006","1-Pers.- Haushalt","2","","","",""
"Ja","2006","1-Pers.- Haushalt","3","","","",""
"Ja","2006","1-Pers.- Haushalt","4","","","",""
"Ja","2006","1-Pers.- Haushalt","5","","","",""
"Ja","2006","(Ehe-)Paar ohne Kind(er)","1","","","",""
"Ja","2006","(Ehe-)Paar ohne Kind(er)","2","","","",""
"Ja","2006","(Ehe-)Paar ohne Kind(er)","3","","","",""
"Ja","2006","(Ehe-)Paar ohne Kind(er)","4","","","",""
"Ja","2006","(Ehe-)Paar ohne Kind(er)","5","","","",""
"Ja","2006","Alleinerziehende","1","","","",""
"Ja","2006","Alleinerziehende","2","","","",""
"Ja","2006","Alleinerziehende","3","","","",""
"Ja","2006","Alleinerziehende","4","","","",""
"Ja","2006","Alleinerziehende","5","","","",""
"Ja","2006","Paar mit Kind(ern)","1","","","",""
"Ja","2006","Paar mit Kind(ern)","2","","","",""
"Ja","2006","Paar mit Kind(ern)","3","","","",""
"Ja","2006","Paar mit Kind(ern)","4","","","",""
"Ja","2006","Paar mit Kind(ern)","5","","","",""
"Ja","2006","Sonstige","1","","","",""
"Ja","2006","Sonstige","2","","","",""
"Ja","2006","Sonstige","3","","","",""
"Ja","2006","Sonstige","4","","","",""
"Ja","2006","Sonstige","5","","","",""
"Nein","2006","1-Pers.- Haushalt","1","800","0.978714159670826","0.968780460593292","0.98864785874836"
"Nein","2006","1-Pers.- Haushalt","2","594","0.997624680080869","0.993713261848809","1.00153609831293"
"Nein","2006","1-Pers.- Haushalt","3","632","0.998354578731721","0.995197196240411","1.00151196122303"
"Nein","2006","1-Pers.- Haushalt","4","738","1","1","1"
"Nein","2006","1-Pers.- Haushalt","5","522","0.997391100610819","0.993019317010941","1.0017628842107"
"Nein","2006","(Ehe-)Paar ohne Kind(er)","1","1008","0.976749876799921","0.967510834511596","0.985988919088247"
"Nein","2006","(Ehe-)Paar ohne Kind(er)","2","1420","1","1","1"
"Nein","2006","(Ehe-)Paar ohne Kind(er)","3","1656","1","1","1"
"Nein","2006","(Ehe-)Paar ohne Kind(er)","4","1964","1","1","1"
"Nein","2006","(Ehe-)Paar ohne Kind(er)","5","2254","1","1","1"
"Nein","2006","Alleinerziehende","1","913","0.990197065655406","0.983830678555097","0.996563452755714"
"Nein","2006","Alleinerziehende","2","420","1","1","1"
"Nein","2006","Alleinerziehende","3","274","1","1","1"
"Nein","2006","Alleinerziehende","4","211","1","1","1"
"Nein","2006","Alleinerziehende","5","99","1","1","1"
"Nein","2006","Paar mit Kind(ern)","1","2738","0.996213736234786","0.993917474322557","0.998509998147015"
"Nein","2006","Paar mit Kind(ern)","2","3298","0.999190009850088","0.998219523929422","1.00016049577075"
"Nein","2006","Paar mit Kind(ern)","3","3218","0.998924864735945","0.997793114239267","1.00005661523262"
"Nein","2006","Paar mit Kind(ern)","4","3009","0.999556176809563","0.998803983950042","1.00030836966908"
"Nein","2006","Paar mit Kind(ern)","5","2106","1","1","1"
"Nein","2006","Sonstige","1","217","1","1","1"
"Nein","2006","Sonstige","2","193","1","1","1"
"Nein","2006","Sonstige","3","130","1","1","1"
"Nein","2006","Sonstige","4","133","1","1","1"
"Nein","2006","Sonstige","5","67","1","1","1"
"Ja","2007","1-Pers.- Haushalt","1","","","",""
"Ja","2007","1-Pers.- Haushalt","2","","","",""
"Ja","2007","1-Pers.- Haushalt","3","","","",""
"Ja","2007","1-Pers.- Haushalt","4","","","",""
"Ja","2007","1-Pers.- Haushalt","5","","","",""
"Ja","2007","(Ehe-)Paar ohne Kind(er)","1","","","",""
"Ja","2007","(Ehe-)Paar ohne Kind(er)","2","","","",""
"Ja","2007","(Ehe-)Paar ohne Kind(er)","3","","","",""
"Ja","2007","(Ehe-)Paar ohne Kind(er)","4","","","",""
"Ja","2007","(Ehe-)Paar ohne Kind(er)","5","","","",""
"Ja","2007","Alleinerziehende","1","","","",""
"Ja","2007","Alleinerziehende","2","","","",""
"Ja","2007","Alleinerziehende","3","","","",""
"Ja","2007","Alleinerziehende","4","","","",""
"Ja","2007","Alleinerziehende","5","","","",""
"Ja","2007","Paar mit Kind(ern)","1","","","",""
"Ja","2007","Paar mit Kind(ern)","2","","","",""
"Ja","2007","Paar mit Kind(ern)","3","","","",""
"Ja","2007","Paar mit Kind(ern)","4","","","",""
"Ja","2007","Paar mit Kind(ern)","5","","","",""
"Ja","2007","Sonstige","1","","","",""
"Ja","2007","Sonstige","2","","","",""
"Ja","2007","Sonstige","3","","","",""
"Ja","2007","Sonstige","4","","","",""
"Ja","2007","Sonstige","5","","","",""
"Nein","2007","1-Pers.- Haushalt","1","730","0.972800095621117","0.961119487720759","0.984480703521475"
"Nein","2007","1-Pers.- Haushalt","2","560","0.997960446732094","0.994227164262398","1.00169372920179"
"Nein","2007","1-Pers.- Haushalt","3","585","0.997275851022893","0.993055754721134","1.00149594732465"
"Nein","2007","1-Pers.- Haushalt","4","719","1","1","1"
"Nein","2007","1-Pers.- Haushalt","5","506","0.997901637012899","0.993918472101695","1.0018848019241"
"Nein","2007","(Ehe-)Paar ohne Kind(er)","1","810","0.963296058029407","0.950472920099727","0.976119195959087"
"Nein","2007","(Ehe-)Paar ohne Kind(er)","2","1322","0.997396725504599","0.994652005489565","1.00014144551963"
"Nein","2007","(Ehe-)Paar ohne Kind(er)","3","1552","0.997043163987633","0.994343602751225","0.999742725224042"
"Nein","2007","(Ehe-)Paar ohne Kind(er)","4","1866","0.999497832146299","0.998481875824054","1.00051378846854"
"Nein","2007","(Ehe-)Paar ohne Kind(er)","5","2178","0.99922340780704","0.998054049368602","1.00039276624548"
"Nein","2007","Alleinerziehende","1","820","0.990525797118628","0.983923431480012","0.997128162757243"
"Nein","2007","Alleinerziehende","2","407","0.992062412362482","0.98348332788423","1.00064149684073"
"Nein","2007","Alleinerziehende","3","281","1","1","1"
"Nein","2007","Alleinerziehende","4","146","1","1","1"
"Nein","2007","Alleinerziehende","5","109","1","1","1"
"Nein","2007","Paar mit Kind(ern)","1","2302","0.995827064815015","0.993199418195574","0.998454711434456"
"Nein","2007","Paar mit Kind(ern)","2","2968","0.99966808051826","0.999013080895883","1.00032308014064"
"Nein","2007","Paar mit Kind(ern)","3","3051","0.997982498943693","0.996391870589827","0.999573127297558"
"Nein","2007","Paar mit Kind(ern)","4","2905","0.999338924248024","0.998404739213853","1.00027310928219"
"Nein","2007","Paar mit Kind(ern)","5","2099","1","1","1"
"Nein","2007","Sonstige","1","182","0.938600052146868","0.90410030539899","0.973099798894747"
"Nein","2007","Sonstige","2","146","1","1","1"
"Nein","2007","Sonstige","3","127","1","1","1"
