year,migback,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,No migration background,Urban regions,2825,12.03607570765347,11.44578727043615,12.626364144870792,3.0,8.0,15.0,0.0,33.0,8.0,8.0,9.0
1985,No migration background,Rural regions,838,12.979249859870832,11.575620118565825,14.382879601175839,2.0,6.0,15.349014749588358,0.0,35.372536873970894,6.0,4.0,7.0
1985,Direct migration background,Urban regions,1417,9.401946360156348,8.760131885468487,10.043760834844209,3.0,6.0,12.0,0.0,25.5,6.0,5.0,7.0
1985,Direct migration background,Rural regions,184,7.47676801625677,5.871085502917844,9.082450529595697,2.0,3.0,10.0,1.0,22.0,3.0,1.0,3.0
1985,Indirect migration background,Urban regions,47,10.16790770730676,7.2539237873732905,13.08189162724023,2.0,7.0,15.0,1.0,34.5,7.0,-1.0,11.0
1985,Indirect migration background,Rural regions,,,,,,,,,,,,
1986,No migration background,Urban regions,,,,,,,,,,,,
1986,No migration background,Rural regions,,,,,,,,,,,,
1986,Direct migration background,Urban regions,,,,,,,,,,,,
1986,Direct migration background,Rural regions,,,,,,,,,,,,
1986,Indirect migration background,Urban regions,,,,,,,,,,,,
1986,Indirect migration background,Rural regions,,,,,,,,,,,,
1987,No migration background,Urban regions,,,,,,,,,,,,
1987,No migration background,Rural regions,,,,,,,,,,,,
1987,Direct migration background,Urban regions,,,,,,,,,,,,
1987,Direct migration background,Rural regions,,,,,,,,,,,,
1987,Indirect migration background,Urban regions,,,,,,,,,,,,
1987,Indirect migration background,Rural regions,,,,,,,,,,,,
1988,No migration background,Urban regions,,,,,,,,,,,,
1988,No migration background,Rural regions,,,,,,,,,,,,
1988,Direct migration background,Urban regions,,,,,,,,,,,,
1988,Direct migration background,Rural regions,,,,,,,,,,,,
1988,Indirect migration background,Urban regions,,,,,,,,,,,,
1988,Indirect migration background,Rural regions,,,,,,,,,,,,
1989,No migration background,Urban regions,,,,,,,,,,,,
1989,No migration background,Rural regions,,,,,,,,,,,,
1989,Direct migration background,Urban regions,,,,,,,,,,,,
1989,Direct migration background,Rural regions,,,,,,,,,,,,
1989,Indirect migration background,Urban regions,,,,,,,,,,,,
1989,Indirect migration background,Rural regions,,,,,,,,,,,,
1990,No migration background,Urban regions,2498,13.200388405584224,12.49695174408902,13.903825067079428,4.0,8.0,16.0,0.0,34.0,8.0,7.0,8.0
1990,No migration background,Rural regions,722,16.555243270450735,14.744237528412707,18.366249012488762,3.0,10.0,20.0,0.0,45.5,10.0,8.0,12.0
1990,Direct migration background,Urban regions,1219,10.633511860519818,9.914610936314185,11.35241278472545,3.0,6.0,15.0,0.0,33.0,6.0,5.0,6.0
1990,Direct migration background,Rural regions,185,10.108914896091088,7.681894809226269,12.535934982955908,2.0,5.0,10.106142481723442,0.0,22.265356204308603,5.0,4.0,7.0
1990,Indirect migration background,Urban regions,111,9.92885947423453,8.277984879342636,11.579734069126424,4.0,8.0,12.053558321365832,1.0,24.133895803414582,8.0,6.0,11.0
1990,Indirect migration background,Rural regions,,,,,,,,,,,,
1991,No migration background,Urban regions,187,48.12447291027048,29.585220396751016,66.66372542378994,6.0,10.0,20.0,0.0,41.0,10.0,7.974999999999994,10.0
1991,No migration background,Rural regions,633,40.38896619288948,32.470497046241185,48.30743533953777,7.0,10.169413347152467,20.0,1.0,39.5,10.0,8.0,10.0
1991,Direct migration background,Urban regions,,,,,,,,,,,,
1991,Direct migration background,Rural regions,,,,,,,,,,,,
1991,Indirect migration background,Urban regions,,,,,,,,,,,,
1991,Indirect migration background,Rural regions,,,,,,,,,,,,
1992,No migration background,Urban regions,170,29.84400755580991,17.40858789521532,42.2794272164045,8.0,12.0,20.0,1.0,38.0,12.0,9.0,14.0
1992,No migration background,Rural regions,569,42.14487571436326,33.575240486149944,50.714510942576574,7.0,12.0,25.0,1.0,52.0,12.0,9.0,12.0
1992,Direct migration background,Urban regions,,,,,,,,,,,,
1992,Direct migration background,Rural regions,,,,,,,,,,,,
1992,Indirect migration background,Urban regions,,,,,,,,,,,,
1992,Indirect migration background,Rural regions,,,,,,,,,,,,
1993,No migration background,Urban regions,3320,11.818757170746217,11.355116453423348,12.282397888069086,3.0,7.0,15.0,0.0,33.0,7.0,6.0,7.0
1993,No migration background,Rural regions,2041,11.406934640706554,10.696969533340056,12.116899748073052,2.0,5.0,15.0,0.0,34.5,5.0,4.0,5.0
1993,Direct migration background,Urban regions,1163,9.619579666933724,9.00448359372996,10.234675740137488,2.0,6.0,14.0,0.0,32.0,6.0,5.0,7.0
1993,Direct migration background,Rural regions,192,11.036083718207957,8.435039141622818,13.637128294793095,2.0,5.0,12.0,0.0,27.0,5.0,3.0,7.0
1993,Indirect migration background,Urban regions,210,9.483401139019747,8.276846169067198,10.689956108972297,2.0,7.0,12.0,0.0,27.0,7.0,5.974999999999994,9.0
1993,Indirect migration background,Rural regions,42,6.6856175518276935,4.668925830427655,8.702309273227732,1.0,3.0,10.0,0.0,23.5,3.0,-4.0,4.0
1994,No migration background,Urban regions,,,,,,,,,,,,
1994,No migration background,Rural regions,,,,,,,,,,,,
1994,Direct migration background,Urban regions,,,,,,,,,,,,
1994,Direct migration background,Rural regions,,,,,,,,,,,,
1994,Indirect migration background,Urban regions,,,,,,,,,,,,
1994,Indirect migration background,Rural regions,,,,,,,,,,,,
1995,No migration background,Urban regions,3231,13.849216439466096,13.148979375280009,14.549453503652183,3.0,8.0,17.0,0.0,38.0,8.0,7.0,9.0
1995,No migration background,Rural regions,2197,14.363179189437304,13.07608131647642,15.650277062398187,2.0,7.0,18.0,0.0,42.0,7.0,6.0,8.0
1995,Direct migration background,Urban regions,1212,10.051062845165408,9.309142136162649,10.792983554168167,2.0,6.0,13.0,0.0,29.5,6.0,5.0,7.0
1995,Direct migration background,Rural regions,224,16.697200684080357,11.064859012008792,22.329542356151922,2.0,5.0,16.701524891494277,0.0,38.7538122287357,5.0,1.0,7.0
1995,Indirect migration background,Urban regions,240,11.16986725356358,9.820627732204208,12.519106774922953,3.0,8.0,15.0,0.0,33.0,8.0,6.0,10.0
1995,Indirect migration background,Rural regions,46,13.446897683781657,6.397652859611684,20.49614250795163,2.0,4.643358107998761,21.137214569623527,0.0,49.84303642405882,5.0,-11.0,7.0249999999999995
1996,No migration background,Urban regions,,,,,,,,,,,,
1996,No migration background,Rural regions,,,,,,,,,,,,
1996,Direct migration background,Urban regions,,,,,,,,,,,,
1996,Direct migration background,Rural regions,,,,,,,,,,,,
1996,Indirect migration background,Urban regions,,,,,,,,,,,,
1996,Indirect migration background,Rural regions,,,,,,,,,,,,
1997,No migration background,Urban regions,1416,30.507425208265552,27.68015349461958,33.33469692191152,10.81895375497086,19.0,30.0,1.0,58.77156936754371,19.0,18.0,21.0
1997,No migration background,Rural regions,1167,31.232698812139443,28.222464720908256,34.24293290337063,12.0,18.0,30.0,1.0,57.0,18.0,16.0,19.0
1997,Direct migration background,Urban regions,403,23.434847476519653,19.08123079919077,27.788464153848537,8.0,15.0,25.0,1.0,50.5,15.0,14.0,18.0
1997,Direct migration background,Rural regions,93,30.735138533574503,19.21678193117137,42.25349513597764,10.980133882906117,15.0,39.80295688121435,2.0,83.03719137867671,15.0,10.0,17.0
1997,Indirect migration background,Urban regions,108,24.405920634199532,16.40748934367362,32.40435192472545,10.0,15.0,25.24295614972639,3.0,48.10739037431597,15.0,10.0,16.0
1997,Indirect migration background,Rural regions,,,,,,,,,,,,
1998,No migration background,Urban regions,3473,15.19479931704799,14.632660402251325,15.756938231844654,4.0,10.0,20.0,0.0,44.0,10.0,10.0,10.0
1998,No migration background,Rural regions,2221,16.061287629502694,15.170041490162072,16.952533768843313,3.0,10.0,20.0,0.0,45.5,10.0,10.0,12.0
1998,Direct migration background,Urban regions,930,11.470064842692402,10.549406552722967,12.390723132661837,3.0,7.0,15.0,0.0,33.0,7.0,6.0,8.0
1998,Direct migration background,Rural regions,162,14.671978166242718,11.960067939825452,17.383888392659983,3.0,6.676717272687387,18.827323771813045,1.0,42.56830942953262,7.0,3.9749999999999943,10.0
1998,Indirect migration background,Urban regions,299,11.403356863986428,10.078043999370195,12.72866972860266,3.0,8.0,15.0,0.0,33.0,8.0,6.0,10.0
1998,Indirect migration background,Rural regions,58,12.490434156875308,8.331982173260219,16.648886140490397,3.0,10.0,14.749764908670032,1.0,32.374412271675084,10.0,8.0,15.0
1999,No migration background,Urban regions,1701,28.44847516629799,26.1557203291665,30.74123000342948,11.0,20.0,30.0,2.0,58.5,20.0,20.0,22.0
1999,No migration background,Rural regions,1371,31.528219373975684,28.075414264531297,34.98102448342007,10.0,17.0,30.0,2.0,60.0,17.0,15.0,19.0
1999,Direct migration background,Urban regions,409,19.765812596716838,16.95877187982019,22.572853313613486,7.0,15.0,20.0,2.0,39.5,15.0,15.0,18.0
1999,Direct migration background,Rural regions,84,25.96187521677376,12.474530252636567,39.44922018091095,8.0,13.0,20.0,3.0,38.0,13.0,10.0,16.0
