year,age_gr,migback,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,unter 18 J.,kein Migrationshintergrund,,,,,,,,,,,,
1984,unter 18 J.,direkter Migrationshintergrund,,,,,,,,,,,,
1984,unter 18 J.,indirekter Migrationshintergrund,,,,,,,,,,,,
1984,18-29 J.,kein Migrationshintergrund,,,,,,,,,,,,
1984,18-29 J.,direkter Migrationshintergrund,,,,,,,,,,,,
1984,18-29 J.,indirekter Migrationshintergrund,,,,,,,,,,,,
1984,30-45 J.,kein Migrationshintergrund,,,,,,,,,,,,
1984,30-45 J.,direkter Migrationshintergrund,,,,,,,,,,,,
1984,30-45 J.,indirekter Migrationshintergrund,,,,,,,,,,,,
1984,46-65 J.,kein Migrationshintergrund,,,,,,,,,,,,
1984,46-65 J.,direkter Migrationshintergrund,,,,,,,,,,,,
1984,46-65 J.,indirekter Migrationshintergrund,,,,,,,,,,,,
1984,66 und älter,kein Migrationshintergrund,,,,,,,,,,,,
1984,66 und älter,direkter Migrationshintergrund,,,,,,,,,,,,
1984,66 und älter,indirekter Migrationshintergrund,,,,,,,,,,,,
1985,unter 18 J.,kein Migrationshintergrund,,,,,,,,,,,,
1985,unter 18 J.,direkter Migrationshintergrund,,,,,,,,,,,,
1985,unter 18 J.,indirekter Migrationshintergrund,,,,,,,,,,,,
1985,18-29 J.,kein Migrationshintergrund,1159,11.940706365986506,11.533775728277023,12.347637003695988,3.0,8.0,15.0,0.0,33.0,8.0,8.0,9.0
1985,18-29 J.,direkter Migrationshintergrund,410,9.172905963563025,8.688487902182953,9.657324024943097,3.0,6.0,11.0,0.0,23.0,6.0,4.0,7.0
1985,18-29 J.,indirekter Migrationshintergrund,42,16.904296530251525,14.121639258003876,19.686953802499172,3.7886312045788526,13.194548712271907,15.0,1.0,31.81705319313172,13.0,11.0,22.0
1985,30-45 J.,kein Migrationshintergrund,1397,13.223168364821893,12.742966109980669,13.703370619663117,3.0,8.0,16.0,0.0,35.5,8.0,7.0,9.0
1985,30-45 J.,direkter Migrationshintergrund,707,8.652988603736791,8.242246653450202,9.06373055402338,2.0,5.0,12.0,0.0,27.0,5.0,4.0,5.0
1985,30-45 J.,indirekter Migrationshintergrund,,,,,,,,,,,,
1985,46-65 J.,kein Migrationshintergrund,1050,11.702975380128889,11.177791952303465,12.228158807954312,3.0,7.0,15.0,0.0,33.0,7.0,6.0,8.0
1985,46-65 J.,direkter Migrationshintergrund,473,9.884293875960193,9.261209035580746,10.50737871633964,3.0,5.0,12.0,0.0,25.5,5.0,2.0,6.0
1985,46-65 J.,indirekter Migrationshintergrund,,,,,,,,,,,,
