"year","bildungsniveau","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median","NA"
"1985","(Fach-)Abitur","12.45","7.5","351","2","3","15","26","75","10.42","14.48","1","250","6","8",""
"1985","(noch) kein Abschluss","7.65","4.5","429","1","2","10","20","40","6.85","8.45","0","60","4","5",""
"1985","AkademikerIn","15","7.5","490","2","4","20","35","86","13.44","16.56","1","113","7","10",""
"1985","Hauptschule","11.56","6.5","3020","1","3","15","25","70","10.93","12.19","0","360","6","7",""
"1985","Realschule","11.7","7.5","962","1","3","15","26","60","10.89","12.51","0","130","8","10",""
"1986","(Fach-)Abitur","","","","","","","","","","","","","","",""
"1986","(noch) kein Abschluss","","","","","","","","","","","","","","",""
"1986","AkademikerIn","","","","","","","","","","","","","","",""
"1986","Hauptschule","","","","","","","","","","","","","","",""
"1986","Realschule","","","","","","","","","","","","","","",""
"1987","(Fach-)Abitur","","","","","","","","","","","","","","",""
"1987","(noch) kein Abschluss","","","","","","","","","","","","","","",""
"1987","AkademikerIn","","","","","","","","","","","","","","",""
"1987","Hauptschule","","","","","","","","","","","","","","",""
"1987","Realschule","","","","","","","","","","","","","","",""
"1988","(Fach-)Abitur","","","","","","","","","","","","","","",""
"1988","(noch) kein Abschluss","","","","","","","","","","","","","","",""
"1988","AkademikerIn","","","","","","","","","","","","","","",""
"1988","Hauptschule","","","","","","","","","","","","","","",""
"1988","Realschule","","","","","","","","","","","","","","",""
"1989","(Fach-)Abitur","","","","","","","","","","","","","","",""
"1989","(noch) kein Abschluss","","","","","","","","","","","","","","",""
"1989","AkademikerIn","","","","","","","","","","","","","","",""
"1989","Hauptschule","","","","","","","","","","","","","","",""
"1989","Realschule","","","","","","","","","","","","","","",""
"1990","(Fach-)Abitur","17.04","9.5","348","2","5","20","35","150","14.51","19.57","1","207","8","10",""
"1990","(noch) kein Abschluss","10.05","5.5","338","1","2","13","25","60","8.93","11.17","0","80","4","5",""
"1990","AkademikerIn","17.8","9.5","469","2","5","22","40","95","15.41","20.19","0","330","10","12",""
"1990","Hauptschule","12.07","6.5","2567","2","3","15","25","75","11.43","12.71","0","300","6","7",""
"1990","Realschule","13.59","8.5","936","2","4","18","30","88","12.4","14.78","1","330","8","10",""
"1991","(Fach-)Abitur","","","","","","","","","","","","","","",""
"1991","(noch) kein Abschluss","","","","","","","","","","","","","","",""
"1991","AkademikerIn","43.42","11.5","200","5","8","20","45","750","27.11","59.73","2","750","10","12",""
"1991","Hauptschule","28.91","9.5","186","4","6","15","25","500","15.96","41.86","1","700","10","11",""
"1991","Realschule","47.13","9.5","423","5","7","25","100","600","36.19","58.07","0","999","10","15",""
"1992","(Fach-)Abitur","","","","","","","","","","","","","","",""
"1992","(noch) kein Abschluss","","","","","","","","","","","","","","",""
"1992","AkademikerIn","31.63","13.5","187","5","8","23","45","450","21.08","42.18","3","550","11","15",""
