year,hhtyp,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,Much Too Small,0.01891,38,1287,0.01146,0.02635
1984,Single-person household,A Bit Too Small,0.09120,137,1287,0.07547,0.10694
1984,Single-person household,Just Right,0.75414,956,1287,0.73060,0.77767
1984,Single-person household,A Bit Too Large,0.10905,122,1287,0.09201,0.12608
1984,Single-person household,Much Too Large,0.02670,34,1287,0.01789,0.03551
1984,Couple without children,A Bit Too Small,0.10400,157,1322,0.08754,0.12046
1984,Couple without children,Just Right,0.80094,1069,1322,0.77941,0.82247
1984,Couple without children,A Bit Too Large,0.08053,96,1322,0.06586,0.09521
1984,Single parent,A Bit Too Small,0.13117,48,289,0.09218,0.17016
1984,Single parent,Just Right,0.76413,241,289,0.71510,0.81317
1984,Couple with children,Much Too Small,0.03910,141,2624,0.03168,0.04652
1984,Couple with children,A Bit Too Small,0.16892,523,2624,0.15458,0.18326
1984,Couple with children,Just Right,0.73676,1855,2624,0.71990,0.75361
1984,Couple with children,A Bit Too Large,0.04944,105,2624,0.04114,0.05774
1984,Multi-generational household,Just Right,0.66905,83,83,0.56720,0.77090
1984,Other Combinations,Just Right,0.78326,99,99,0.70168,0.86484
1985,Single-person household,Much Too Small,0.02041,33,1108,0.01208,0.02874
1985,Single-person household,A Bit Too Small,0.08892,121,1108,0.07215,0.10568
1985,Single-person household,Just Right,0.76478,848,1108,0.73980,0.78977
1985,Single-person household,A Bit Too Large,0.10357,106,1108,0.08562,0.12152
1985,Couple without children,A Bit Too Small,0.07849,111,1190,0.06321,0.09378
1985,Couple without children,Just Right,0.81727,981,1190,0.79531,0.83924
1985,Couple without children,A Bit Too Large,0.08733,98,1190,0.07128,0.10338
1985,Single parent,A Bit Too Small,0.13660,49,255,0.09437,0.17884
1985,Single parent,Just Right,0.73269,206,255,0.67826,0.78712
1985,Couple with children,Much Too Small,0.03406,111,2347,0.02672,0.04139
1985,Couple with children,A Bit Too Small,0.16014,444,2347,0.14530,0.17498
1985,Couple with children,Just Right,0.74850,1697,2347,0.73095,0.76606
1985,Couple with children,A Bit Too Large,0.05176,95,2347,0.04280,0.06073
1985,Multi-generational household,Just Right,0.75151,83,83,0.65798,0.84505
1985,Other Combinations,Just Right,0.79415,94,94,0.71198,0.87633
