"year","alter_gr","migback","mean","median","n","lower_confidence","upper_confidence"
"1985","16-34 Jahre alt","direkter Migrationshintergrund","37.42","40","703","36.7","38.14"
"1985","16-34 Jahre alt","indirekter Migrationshintergrund","37.28","40","53","35.38","39.18"
"1985","16-34 Jahre alt","kein Migrationshintergrund ","","","","",""
"1985","35-65 Jahre alt","direkter Migrationshintergrund","","","","",""
"1985","35-65 Jahre alt","indirekter Migrationshintergrund","37.32","39.56","9","29.77","44.87"
"1985","35-65 Jahre alt","kein Migrationshintergrund ","","","","",""
"1985","66 und Ã¤lter","direkter Migrationshintergrund","","","","",""
"1985","66 und Ã¤lter","indirekter Migrationshintergrund","","","","",""
"1985","66 und Ã¤lter","kein Migrationshintergrund ","27.92","20","38","21.06","34.78"
"1986","16-34 Jahre alt","direkter Migrationshintergrund","36.21","40","678","35.47","36.95"
"1986","16-34 Jahre alt","indirekter Migrationshintergrund","36.6","40","69","34.98","38.22"
"1986","16-34 Jahre alt","kein Migrationshintergrund ","","","","",""
"1986","35-65 Jahre alt","direkter Migrationshintergrund","","","","",""
"1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1986","35-65 Jahre alt","kein Migrationshintergrund ","","","","",""
"1986","66 und Ã¤lter","direkter Migrationshintergrund","","","","",""
"1986","66 und Ã¤lter","indirekter Migrationshintergrund","","","","",""
"1986","66 und Ã¤lter","kein Migrationshintergrund ","","","","",""
"1987","16-34 Jahre alt","direkter Migrationshintergrund","37.25","40","663","36.65","37.85"
"1987","16-34 Jahre alt","indirekter Migrationshintergrund","38.16","40","71","35.91","40.41"
"1987","16-34 Jahre alt","kein Migrationshintergrund ","","","","",""
"1987","35-65 Jahre alt","direkter Migrationshintergrund","","","","",""
"1987","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1987","35-65 Jahre alt","kein Migrationshintergrund ","","","","",""
"1987","66 und Ã¤lter","direkter Migrationshintergrund","","","","",""
"1987","66 und Ã¤lter","indirekter Migrationshintergrund","","","","",""
"1987","66 und Ã¤lter","kein Migrationshintergrund ","","","","",""
"1988","16-34 Jahre alt","direkter Migrationshintergrund","36.42","40","651","35.78","37.06"
"1988","16-34 Jahre alt","indirekter Migrationshintergrund","36.48","39","95","34.61","38.35"
"1988","16-34 Jahre alt","kein Migrationshintergrund ","","","","",""
"1988","35-65 Jahre alt","direkter Migrationshintergrund","","","","",""
"1988","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1988","35-65 Jahre alt","kein Migrationshintergrund ","","","","",""
"1988","66 und Ã¤lter","direkter Migrationshintergrund","","","","",""
"1988","66 und Ã¤lter","indirekter Migrationshintergrund","","","","",""
"1988","66 und Ã¤lter","kein Migrationshintergrund ","22.77","20","31","16.75","28.79"
"1989","16-34 Jahre alt","direkter Migrationshintergrund","37.24","38","574","36.57","37.91"
"1989","16-34 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1989","16-34 Jahre alt","kein Migrationshintergrund ","","","","",""
"1989","35-65 Jahre alt","direkter Migrationshintergrund","35.84","39","923","35.27","36.41"
"1989","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1989","35-65 Jahre alt","kein Migrationshintergrund ","","","","",""
"1989","66 und Ã¤lter","direkter Migrationshintergrund","","","","",""
"1989","66 und Ã¤lter","indirekter Migrationshintergrund","","","","",""
"1989","66 und Ã¤lter","kein Migrationshintergrund ","","","","",""
"1990","16-34 Jahre alt","direkter Migrationshintergrund","35.49","37","738","34.89","36.09"
"1990","16-34 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1990","16-34 Jahre alt","kein Migrationshintergrund ","","","","",""
"1990","35-65 Jahre alt","direkter Migrationshintergrund","","","","",""
"1990","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1990","35-65 Jahre alt","kein Migrationshintergrund ","","","","",""
"1990","66 und Ã¤lter","direkter Migrationshintergrund","","","","",""
"1990","66 und Ã¤lter","indirekter Migrationshintergrund","","","","",""
"1990","66 und Ã¤lter","kein Migrationshintergrund ","","","","",""
"1991","16-34 Jahre alt","direkter Migrationshintergrund","36.63","38","584","35.96","37.3"
"1991","16-34 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1991","16-34 Jahre alt","kein Migrationshintergrund ","","","","",""
"1991","35-65 Jahre alt","direkter Migrationshintergrund","","","","",""
"1991","35-65 Jahre alt","indirekter Migrationshintergrund","","","","",""
"1991","35-65 Jahre alt","kein Migrationshintergrund ","35.02","38","3710","34.7","35.34"
"1991","66 und Ã¤lter","direkter Migrationshintergrund","4.65","2.27","4","-24.88","34.18"
"1991","66 und Ã¤lter","indirekter Migrationshintergrund","","","","",""
"1991","66 und Ã¤lter","kein Migrationshintergrund ","22.6","20","31","17.61","27.59"
"1992","16-34 Jahre alt","direkter Migrationshintergrund","36.22","37","549","35.51","36.93"
"1992","16-34 Jahre alt","indirekter Migrationshintergrund","","","","",""
