"year","alter_gr","sex","mean","median","n","lower_confidence","upper_confidence"
"1985","16-34 Jahre alt","maennlich","38.13","40","1483","37.69","38.57"
"1985","16-34 Jahre alt","weiblich","32.07","35","1125","31.47","32.67"
"1985","35-65 Jahre alt","maennlich","39.38","40","2348","39.05","39.71"
"1985","35-65 Jahre alt","weiblich","27.07","25","1254","26.42","27.72"
"1985","66 und älter","maennlich","","","","",""
"1985","66 und älter","weiblich","","","","",""
"1986","16-34 Jahre alt","maennlich","38.03","40","1487","37.6","38.46"
"1986","16-34 Jahre alt","weiblich","32.47","35","1118","31.91","33.03"
"1986","35-65 Jahre alt","maennlich","39.01","40","2279","38.69","39.33"
"1986","35-65 Jahre alt","weiblich","27.62","25","1238","26.97","28.27"
"1986","66 und älter","maennlich","","","","",""
"1986","66 und älter","weiblich","","","","",""
"1987","16-34 Jahre alt","maennlich","38.92","40","1480","38.54","39.3"
"1987","16-34 Jahre alt","weiblich","32.89","35","1093","32.35","33.43"
"1987","35-65 Jahre alt","maennlich","39.59","40","2173","39.28","39.9"
"1987","35-65 Jahre alt","weiblich","28.73","30","1207","28.09","29.37"
"1987","66 und älter","maennlich","","","","",""
"1987","66 und älter","weiblich","","","","",""
"1988","16-34 Jahre alt","maennlich","38.74","40","1438","38.37","39.11"
"1988","16-34 Jahre alt","weiblich","32.79","35","1044","32.22","33.36"
"1988","35-65 Jahre alt","maennlich","39.09","40","2080","38.78","39.4"
"1988","35-65 Jahre alt","weiblich","27.92","30","1212","27.3","28.54"
"1988","66 und älter","maennlich","","","","",""
"1988","66 und älter","weiblich","","","","",""
"1989","16-34 Jahre alt","maennlich","38.23","39","1376","37.85","38.61"
"1989","16-34 Jahre alt","weiblich","32.33","35","1012","31.74","32.92"
"1989","35-65 Jahre alt","maennlich","38.94","40","1894","38.63","39.25"
"1989","35-65 Jahre alt","weiblich","28.25","30","1096","27.58","28.92"
"1989","66 und älter","maennlich","","","","",""
"1989","66 und älter","weiblich","","","","",""
"1990","16-34 Jahre alt","maennlich","38.4","39","1662","38.09","38.71"
"1990","16-34 Jahre alt","weiblich","31.41","35","1399","30.92","31.9"
"1990","35-65 Jahre alt","maennlich","37.99","39","1957","37.7","38.28"
"1990","35-65 Jahre alt","weiblich","27.7","30","1318","27.14","28.26"
"1990","66 und älter","maennlich","","","","",""
"1990","66 und älter","weiblich","","","","",""
"1991","16-34 Jahre alt","maennlich","38.45","40","2018","38.1","38.8"
"1991","16-34 Jahre alt","weiblich","32.38","35","1583","31.93","32.83"
"1991","35-65 Jahre alt","maennlich","38.77","40","2831","38.51","39.03"
"1991","35-65 Jahre alt","weiblich","29.61","30","2004","29.15","30.07"
"1991","66 und älter","maennlich","","","","",""
"1991","66 und älter","weiblich","","","","",""
"1992","16-34 Jahre alt","maennlich","37.62","38","1376","37.21","38.03"
"1992","16-34 Jahre alt","weiblich","31.74","35","1014","31.15","32.33"
"1992","35-65 Jahre alt","maennlich","38.21","40","1902","37.89","38.53"
"1992","35-65 Jahre alt","weiblich","27.31","30","1240","26.71","27.91"
"1992","66 und älter","maennlich","","","","",""
"1992","66 und älter","weiblich","","","","",""
"1993","16-34 Jahre alt","maennlich","38.39","40","1803","38.04","38.74"
"1993","16-34 Jahre alt","weiblich","32","35","1420","31.51","32.49"
"1993","35-65 Jahre alt","maennlich","38.67","40","2540","38.39","38.95"
"1993","35-65 Jahre alt","weiblich","28.73","30","1800","28.24","29.22"
"1993","66 und älter","maennlich","","","","",""
"1993","66 und älter","weiblich","","","","",""
"1994","16-34 Jahre alt","maennlich","38.69","40","1693","38.34","39.04"
"1994","16-34 Jahre alt","weiblich","32.54","35","1358","32.08","33"
"1994","35-65 Jahre alt","maennlich","38.59","40","2394","38.31","38.87"
"1994","35-65 Jahre alt","weiblich","28.97","30","1748","28.5","29.44"
"1994","66 und älter","maennlich","","","","",""
"1994","66 und älter","weiblich","","","","",""
"1995","16-34 Jahre alt","maennlich","37.56","40","1813","37.07","38.05"
"1995","16-34 Jahre alt","weiblich","31.63","35","1419","31.06","32.2"
"1995","35-65 Jahre alt","maennlich","37.84","40","2549","37.46","38.22"
"1995","35-65 Jahre alt","weiblich","27.42","30","1872","26.89","27.95"
"1995","66 und älter","maennlich","","","","",""
"1995","66 und älter","weiblich","","","","",""
"1996","16-34 Jahre alt","maennlich","","","","",""
"1996","16-34 Jahre alt","weiblich","","","","",""
"1996","35-65 Jahre alt","maennlich","","","","",""
"1996","35-65 Jahre alt","weiblich","","","","",""
"1996","66 und älter","maennlich","","","","",""
"1996","66 und älter","weiblich","","","","",""
"1997","16-34 Jahre alt","maennlich","38.96","40","1670","38.55","39.37"
"1997","16-34 Jahre alt","weiblich","32.51","35","1283","31.96","33.06"
"1997","35-65 Jahre alt","maennlich","39.04","40","2407","38.72","39.36"
