"year","bildungsniveau","migback","mean","median","n","lower_confidence","upper_confidence"
"1985","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1985","(Fach-)Abitur","kein Migrationshintergrund ","","","","",""
"1985","(noch) kein Abschluss","direkter Migrationshintergrund","38.51","40","471","37.75","39.27"
"1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1985","(noch) kein Abschluss","kein Migrationshintergrund ","","","","",""
"1985","AkademikerInnen","direkter Migrationshintergrund","33.47","39.62","79","31.43","35.51"
"1985","AkademikerInnen","indirekter Migrationshintergrund","","","","",""
"1985","AkademikerInnen","kein Migrationshintergrund ","35.17","40","493","34.25","36.09"
"1985","Hauptschulabschluss","direkter Migrationshintergrund","","","","",""
"1985","Hauptschulabschluss","indirekter Migrationshintergrund","34.77","40","42","32.62","36.92"
"1985","Hauptschulabschluss","kein Migrationshintergrund ","","","","",""
"1985","Realschulabschluss","direkter Migrationshintergrund","34.44","40","79","32.31","36.57"
"1985","Realschulabschluss","indirekter Migrationshintergrund","","","","",""
"1985","Realschulabschluss","kein Migrationshintergrund ","","","","",""
"1986","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"1986","(Fach-)Abitur","indirekter Migrationshintergrund","37.32","38.45","4","29.74","44.9"
"1986","(Fach-)Abitur","kein Migrationshintergrund ","","","","",""
"1986","(noch) kein Abschluss","direkter Migrationshintergrund","37.73","40","451","36.77","38.69"
"1986","(noch) kein Abschluss","indirekter Migrationshintergrund","40","40","4","40","40"
"1986","(noch) kein Abschluss","kein Migrationshintergrund ","","","","",""
"1986","AkademikerInnen","direkter Migrationshintergrund","34.43","40","79","31.99","36.87"
"1986","AkademikerInnen","indirekter Migrationshintergrund","","","","",""
"1986","AkademikerInnen","kein Migrationshintergrund ","35.02","38","486","34.15","35.89"
"1986","Hauptschulabschluss","direkter Migrationshintergrund","","","","",""
"1986","Hauptschulabschluss","indirekter Migrationshintergrund","34.32","38","53","32.23","36.41"
"1986","Hauptschulabschluss","kein Migrationshintergrund ","","","","",""
"1986","Realschulabschluss","direkter Migrationshintergrund","34.44","35.17","82","32.29","36.59"
"1986","Realschulabschluss","indirekter Migrationshintergrund","","","","",""
"1986","Realschulabschluss","kein Migrationshintergrund ","34.21","38","987","33.58","34.84"
"1987","(Fach-)Abitur","direkter Migrationshintergrund","","","","",""
"1987","(Fach-)Abitur","indirekter Migrationshintergrund","37.61","35.96","5","34.4","40.82"
"1987","(Fach-)Abitur","kein Migrationshintergrund ","","","","",""
"1987","(noch) kein Abschluss","direkter Migrationshintergrund","37.42","40","422","36.68","38.16"
"1987","(noch) kein Abschluss","indirekter Migrationshintergrund","35.82","34.95","4","28.54","43.1"
"1987","(noch) kein Abschluss","kein Migrationshintergrund ","","","","",""
"1987","AkademikerInnen","direkter Migrationshintergrund","36.73","39","71","34.38","39.08"
"1987","AkademikerInnen","indirekter Migrationshintergrund","","","","",""
