"year","bildungsniveau","mean","median","n","lower_confidence","upper_confidence"
"1985","(Fach-)Abitur","33.08","35","413","31.92","34.24"
"1985","(noch) kein Abschluss","37.1","40","502","36.35","37.85"
"1985","AkademikerInnen","35.09","40","574","34.25","35.93"
"1985","Hauptschulabschluss","35.47","40","3584","35.12","35.82"
"1985","Realschulabschluss","34.33","40","1104","33.7","34.96"
"1986","(Fach-)Abitur","33.49","35","431","32.54","34.44"
"1986","(noch) kein Abschluss","36.73","40","482","35.81","37.65"
"1986","AkademikerInnen","34.95","38","568","34.13","35.77"
"1986","Hauptschulabschluss","35.51","40","3500","35.17","35.85"
"1986","Realschulabschluss","34.24","38","1086","33.64","34.84"
"1987","(Fach-)Abitur","34.23","36","428","33.16","35.3"
"1987","(noch) kein Abschluss","36.45","40","455","35.68","37.22"
"1987","AkademikerInnen","35.77","40","548","34.9","36.64"
"1987","Hauptschulabschluss","35.98","40","3373","35.66","36.3"
"1987","Realschulabschluss","35.66","38","1084","35.08","36.24"
"1988","(Fach-)Abitur","34.61","36","396","33.62","35.6"
"1988","(noch) kein Abschluss","35.67","40","409","34.77","36.57"
"1988","AkademikerInnen","34.98","38","542","34.17","35.79"
"1988","Hauptschulabschluss","35.5","39","3272","35.17","35.83"
"1988","Realschulabschluss","35.15","38","1078","34.57","35.73"
"1989","(Fach-)Abitur","33.8","37","398","32.79","34.81"
"1989","(noch) kein Abschluss","36.15","39","342","35.26","37.04"
"1989","AkademikerInnen","35.02","38","524","34.16","35.88"
"1989","Hauptschulabschluss","35.4","38","3001","35.06","35.74"
"1989","Realschulabschluss","35.01","38","1042","34.44","35.58"
"1990","(Fach-)Abitur","35.37","37","589","34.73","36.01"
"1990","(noch) kein Abschluss","36.13","38","503","35.42","36.84"
"1990","AkademikerInnen","34.35","36","563","33.57","35.13"
"1990","Hauptschulabschluss","34.54","37","3354","34.22","34.86"
"1990","Realschulabschluss","33.42","37","1203","32.89","33.95"
"1991","(Fach-)Abitur","34.04","37","512","33.17","34.91"
"1991","(noch) kein Abschluss","34.47","38","400","33.55","35.39"
"1991","AkademikerInnen","35.83","38","1282","35.32","36.34"
"1991","Hauptschulabschluss","35.15","38","3888","34.85","35.45"
